
Trying combination 
es'u --> oneniatte
pansyru --> abensuniriarte
mimu --> ymeniriante
cih'cu --> yceh'niriacte

Trying combination make_polite antiben volitional perfective dir2 polite subordinate
kanu --> oganiriente
kenu --> oganiriente
kinu --> yganiriente
konu --> oganiriente
kynu --> uganiriente
kuny --> oganiriente
diru --> ydanirierte
sudy --> ozaniriette
pabadu --> abebaniriotte
pocsu --> obacnirieste
kulsy --> ogalnirieste
es'u --> onaniette
pansyru --> abensaniryurte
mimu --> ymaniriente
cih'cu --> ycah'niriecte

Trying combination whodoes
kanu --> kaneu
kenu --> keneu
kinu --> kineu
konu --> koneu
kynu --> kyneu
kuny --> kuneu
diru --> direu
sudy --> sudeu
pabadu --> pabadeu
pocsu --> pocseu
kulsy --> kulseu
es'u --> es'eu
pansyru --> pansyreu
mimu --> mimeu
cih'cu --> cih'ceu

Trying combination whodoesf
kanu --> kanec
kenu --> kenec
kinu --> kinec
konu --> konec
kynu --> kynec
kuny --> kunec
diru --> direc
sudy --> sudec
pabadu --> pabadec
pocsu --> pocsec
kulsy --> kulsec
es'u --> es'ec
pansyru --> pansyrec
mimu --> mimec
cih'cu --> cih'cec

Trying combination participle
kanu --> kaina
kenu --> keina
kinu --> kiena
konu --> koina
kynu --> kyina
kuny --> kuina
diru --> diera
sudy --> suida
pabadu --> pabaida
pocsu --> pocisa
kulsy --> kulisa
es'u --> eis'a
pansyru --> pansyira
mimu --> miema
cih'cu --> cih'ica

Trying combination action
kanu --> kani
kenu --> kani
kinu --> keni
konu --> kani
kynu --> keni
kuny --> koni
diru --> deri
sudy --> sodi
pabadu --> pabadi
pocsu --> pacsi
kulsy --> kolsi
es'u --> as'i
pansyru --> panseri
mimu --> memi
cih'cu --> ceh'ci
