"Journal Report 1 (R2)","Number of Successful Article Requests by Month and Journal","","","","","","","","","","","","","","","","","",""
"University of Fishwick","","","","","","","","","","","","","","","","","","",""
"Date run:","","","","","","","","","","","","","","","","","","",""
"2008-06-30","","","","","","","","","","","","","","","","","","",""
"","Publisher","Platform","Print ISSN","Online ISSN","Jan-2006","Feb-2006","Mar-2006","Apr-2006","May-2006","Jun-2006","Jul-2006","Aug-2006","Sep-2006","Oct-2006","Nov-2006","Dec-2006","YTD Total","YTD HTML","YTD PDF"
"Elementary School Journal","University of Chicago Press","JSTOR","0013-5984","1554-8279","0","6","6","28","25","0","0","0","1","19","6","13","104","85","19"
"ELH","The Johns Hopkins University Press","JSTOR","0013-8304","1080-6547","14","42","26","188","153","6","25","7","67","39","129","100","796","608","168"
"English Historical Review","Oxford University Press","JSTOR","0013-8266","","4","27","15","21","21","10","3","18","10","12","43","17","201","178","22"
"English Journal","National Council of Teachers of English","JSTOR","0013-8274","","9","51","46","90","125","16","13","10","24","56","78","92","610","553","55"
"Environmental Health Perspectives","The National Institute of Environmental Health Sciences (NIEHS)","JSTOR","0091-6765","","0","0","0","0","0","0","0","0","15","43","74","130","262","203","59"
"Estuaries","Estuarine Research Federation","JSTOR","0160-8347","","7","1","18","58","52","2","0","0","3","49","50","12","252","195","57"
"Ethics","University of Chicago Press","JSTOR","0014-1704","1539-297X","7","13","3","43","34","9","7","1","2","41","74","37","271","188","83"
"Ethnohistory","Duke University Press","JSTOR","0014-1801","1527-5477","0","9","1","27","10","6","7","0","11","15","19","14","119","91","25"
"Ethnomusicology","Society for Ethnomusicology","JSTOR","0014-1836","","4","14","4","9","4","5","8","0","9","37","10","5","109","85","24"
"Ethos","University of California Press","JSTOR","0091-2131","1548-1352","3","4","77","64","7","0","1","0","11","23","14","18","222","150","66"
"Europe-Asia Studies","Taylor &amp; Francis, Ltd. ","JSTOR","0966-8136","","6","1","6","20","67","0","0","2","1","8","5","9","125","93","30"
"European Journal of Education","Blackwell Publishing","JSTOR","0141-8211","","0","0","2","2","1","0","0","1","0","3","0","0","9","7","2"
"European Journal of Epidemiology","Springer Science + Business Media","JSTOR","0393-2990","","0","0","0","0","0","0","0","0","0","0","15","0","15","14","1"
"European Journal of Health Economics","Springer Science + Business Media","JSTOR","1618-7598","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"European Sociological Review","Oxford University Press","JSTOR","0266-7215","","0","3","1","2","1","0","0","0","0","0","2","0","9","6","3"
"Evolution","Society for the Study of Evolution","JSTOR","0014-3820","","5","14","13","20","73","4","4","7","46","35","19","25","265","188","74"
"Family Relations","National Council on Family Relations","JSTOR","0197-6664","","2","2","6","15","44","3","2","0","1","20","39","28","162","133","28"
"Feminist Review","Palgrave Macmillan Journals","JSTOR","0141-7789","","15","23","13","83","45","1","4","7","13","72","32","18","326","235","88"
"Feminist Studies","Feminist Studies, Inc.","JSTOR","0046-3663","","7","15","9","25","34","3","9","7","6","30","38","32","215","166","44"
"Film Quarterly","University of California Press","JSTOR","0015-1386","","5","9","11","96","68","5","2","4","22","49","175","130","576","489","79"
"Florida Entomologist","Florida Entomological Society","JSTOR","0015-4040","","0","0","0","0","0","0","0","0","3","11","1","0","15","14","1"
"Folklore","Taylor &amp; Francis, Ltd. ","JSTOR","0015-587X","","12","10","18","19","53","18","1","0","4","16","23","23","197","179","18"
"Foreign Policy","Carnegie Endowment for International Peace","JSTOR","0015-7228","","12","71","52","185","91","7","3","3","15","40","155","33","667","508","156"
"French Historical Studies","Duke University Press","JSTOR","0016-1071","1527-5493","8","6","6","0","4","3","0","1","3","4","5","1","41","34","6"
"French Review","American Association of Teachers of French","JSTOR","0016-111X","","7","19","3","30","30","14","4","4","6","37","47","51","252","227","24"
"French Review. Special Issue","American Association of Teachers of French","JSTOR","0271-3349","","0","0","0","4","0","0","0","0","0","0","0","0","4","3","1"
"Frontiers: A Journal of Women Studies","University of Nebraska Press","JSTOR","0160-9009","","0","0","0","0","5","0","1","14","3","5","45","25","98","69","26"
"Functional Ecology","Blackwell Publishing","JSTOR","0269-8463","","0","15","12","27","33","1","0","2","3","19","7","6","125","93","32"
"Future of Children","The Brookings Institution","JSTOR","1054-8289","","0","0","8","113","2","1","0","0","7","11","55","2","199","145","49"
"Galpin Society Journal","Galpin Society","JSTOR","0072-0127","","0","0","1","1","1","0","0","0","0","14","15","0","32","32","0"
"Garden History","The Garden History Society","JSTOR","0307-1243","","0","0","0","37","1","2","0","0","1","0","6","2","49","38","11"
"Gender and Society","Sage Publications","JSTOR","0891-2432","","18","122","10","107","63","0","0","6","9","33","40","38","446","313","122"
"Geografiska Annaler ","Swedish Society for Anthropology","JSTOR","1651-3215","","1","1","0","0","0","0","0","0","0","0","0","0","2","2","0"
"Geografiska Annaler. Series A, Physical Geography","Swedish Society for Anthropology","JSTOR","0435-3676","","2","2","1","2","0","0","0","0","0","0","2","0","9","8","1"
"Geografiska Annaler. Series B, Human Geography","Swedish Society for Anthropology","JSTOR","0435-3684","","1","5","2","5","6","0","0","0","0","6","5","1","31","26","5"
"Geographical Journal","Royal Geographical Society","JSTOR","0016-7398","","2","22","15","29","20","3","0","8","12","26","20","5","162","131","31"
"Geographical Review","American Geographical Society","JSTOR","0016-7428","","3","13","14","51","39","4","11","4","37","55","30","51","312","249","59"
"German Quarterly","American Association of Teachers of German","JSTOR","0016-8831","","12","3","7","4","6","7","2","2","7","17","29","22","118","104","14"
"German Studies Review","German Studies Association","JSTOR","0149-7952","","6","21","7","1","16","0","2","1","5","0","13","2","74","68","6"
"Gesta","International Center of Medieval Art","JSTOR","0016-920X","","0","0","1","1","7","0","0","7","5","23","15","27","86","63","23"
"Global Ecology and Biogeography","Blackwell Publishing","JSTOR","1466-822X","","0","1","1","13","1","0","0","2","6","13","0","1","38","33","5"
"Greece &amp; Rome","The Classical Association","JSTOR","0017-3835","","0","35","12","36","62","1","0","2","20","22","16","8","214","162","52"
"Grey Room","MIT Press","JSTOR","1526-3819","","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0"
"Harvard Journal of Asiatic Studies","Harvard-Yenching Institute","JSTOR","0073-0548","","121","146","38","73","15","10","2","9","6","30","37","41","528","387","118"
"Harvard Law Review","Harvard Law Review Association","JSTOR","0017-811X","","0","22","6","57","17","11","7","2","7","43","13","21","206","167","32"
"Harvard Studies in Classical Philology","Department of the Classics, Harvard University","JSTOR","0073-0688","","4","4","3","12","33","3","3","4","5","26","1","11","109","78","30"
"Harvard Theological Review","Harvard Divinity School","JSTOR","0017-8160","","4","0","14","17","13","0","2","4","2","3","11","14","84","69","14"
"Hastings Center Report","The Hastings Center","JSTOR","0093-0334","","0","0","0","0","0","0","0","0","0","8","117","9","134","93","41"
"Hastings Center Studies","The Hastings Center","JSTOR","0093-3252","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herpetological Monographs","Herpetologists' League","JSTOR","0733-1347","","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"Hesperia","American School of Classical Studies at Athens","JSTOR","0018-098X","","0","12","1","12","8","0","0","0","8","1","1","1","44","34","10"
"Hesperia Supplements","American School of Classical Studies at Athens","JSTOR","1064-1173","","0","0","0","0","5","0","0","0","0","0","0","0","5","4","1"
"Higher Education","Springer","JSTOR","0018-1560","","0","0","0","0","0","0","0","0","0","2","7","8","17","12","5"
"Hispania","American Association of Teachers of Spanish and Portuguese","JSTOR","0018-2133","","4","22","11","20","23","1","2","1","13","33","29","50","209","198","11"
"Hispanic American Historical Review","Duke University Press","JSTOR","0018-2168","1527-1900","0","10","6","17","8","41","0","5","10","6","11","11","125","108","16"
"Hispanic Review","University of Pennsylvania Press","JSTOR","0018-2176","","0","2","4","7","21","0","0","3","18","20","22","12","109","87","20"
"Historical Journal","Cambridge University Press","JSTOR","0018-246X","","113","99","22","117","46","7","1","2","113","34","30","6","590","447","127"
"History and Theory","Wesleyan University","JSTOR","0018-2656","","2","14","1","10","4","5","0","3","3","13","12","5","72","59","12"
"History in Africa","African Studies Association","JSTOR","0361-5413","","3","9","19","21","7","0","0","9","7","6","8","2","91","71","18"
"History of Education Quarterly","History of Education Society","JSTOR","0018-2680","","8","11","26","24","7","0","0","0","16","21","8","16","137","109","28"
"History of Religions","University of Chicago Press","JSTOR","0018-2710","1545-6935","5","18","22","42","15","5","1","0","6","15","9","14","152","131","21"
"History Teacher","Society for History Education","JSTOR","0018-2745","","7","22","25","47","50","5","7","10","191","18","61","29","472","339","122"
"Human Rights Quarterly","The Johns Hopkins University Press","JSTOR","0275-0392","","0","7","9","54","3","1","0","0","20","12","13","11","130","103","27"
"Imago Mundi","Taylor &amp; Francis, Ltd. ","JSTOR","0308-5694","","0","2","1","3","0","0","0","0","1","1","8","1","17","16","1"
"Indonesia","Cornell University's Southeast Asia Program Publications","JSTOR","0019-7289","","0","0","0","0","0","0","0","0","2","25","1","4","32","22","10"
"Industrial and Labor Relations Review","Cornell University, School of Industrial and labor Relations","JSTOR","0019-7939","","1","3","8","34","11","0","0","0","2","11","21","15","106","76","30"
"International Affairs (Royal Institute of International Affairs 1944-)","Royal Institute of International Affairs","JSTOR","0020-5850","","0","62","35","105","51","3","2","5","20","37","66","23","409","317","89"
"International and Comparative Law Quarterly","Oxford University Press","JSTOR","0020-5893","1471-6895","3","31","10","29","10","0","0","4","6","17","10","12","132","106","23"
"International Economic Review","Economics Department of the University of Pennsylvania","JSTOR","0020-6598","","2","0","0","4","0","0","0","0","2","0","1","0","9","6","3"
"International Family Planning Perspectives","Alan Guttmacher Institute","JSTOR","0190-3187","","0","1","9","14","0","2","0","3","3","11","19","2","64","45","19"
"International Journal of African Historical Studies","Boston University African Studies Center","JSTOR","0361-7882","","5","27","12","55","34","3","0","8","35","18","104","54","355","261","91"
"International Journal of American Linguistics","University of Chicago Press","JSTOR","0020-7071","1545-7001","0","0","0","4","0","3","0","1","3","3","7","5","26","21","5"
"International Journal of Health Care Finance and Economics","Springer Science + Business Media","JSTOR","1389-6563","","0","0","0","0","0","0","0","0","0","0","0","4","4","2","2"
"International Journal of Middle East Studies","Cambridge University Press","JSTOR","0020-7438","","4","16","0","18","6","0","0","0","8","13","52","6","123","92","29"
"International Journal of Plant Sciences","University of Chicago Press","JSTOR","1058-5893","1537-5315","0","2","8","28","10","1","3","0","28","43","1","6","130","111","19"
"International Migration Review","Center for Migration Studies","JSTOR","0197-9183","","9","19","20","103","24","1","12","17","8","58","64","35","370","290","77"
"International Organization","Cambridge University Press","JSTOR","0020-8183","","16","346","140","291","70","4","4","3","4","16","13","28","935","599","300"
"International Political Science Review &#47; Revue internationale de science politique","Sage Publications","JSTOR","0192-5121","","0","4","9","43","7","0","1","1","8","10","11","12","106","80","25"
"International Review of Education &#47; Internationale Zeitschrift f&uuml;r Erziehungswissenschaft &#47; Revue Internationale de l'Education","Springer","JSTOR","0020-8566","","0","0","0","0","0","0","0","4","9","4","9","1","27","21","6"
"International Review of the Aesthetics and Sociology of Music","Croatian Musicological Society","JSTOR","0351-5796","","1","0","1","0","5","0","0","1","0","0","4","7","19","15","4"
"International Security","MIT Press","JSTOR","0162-2889","","30","126","32","121","73","2","3","0","17","15","50","15","484","317","155"
"International Statistical Review &#47; Revue Internationale de Statistique","International Statistical Institute (ISI)","JSTOR","0306-7734","","0","0","1","0","0","0","0","0","0","0","0","1","2","2","0"
"International Studies Quarterly","The International Studies Association","JSTOR","0020-8833","","1","15","19","74","26","0","5","0","6","24","13","4","187","148","34"
"International Studies Review","The International Studies Association","JSTOR","1521-9488","","0","5","1","6","4","0","0","2","0","5","3","0","26","21","5"
"Invertebrate Biology","American Microscopical Society","JSTOR","1077-8306","","2","1","5","6","8","2","1","0","2","0","12","2","41","34","7"
"IRB: Ethics and Human Research","The Hastings Center","JSTOR","0193-7758","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isis","University of Chicago Press","JSTOR","0021-1753","1545-6994","1","26","4","34","28","7","7","48","67","11","11","23","267","218","48"
"Islamic Law and Society","Brill Academic Publishers","JSTOR","0928-9380","","0","0","0","0","0","0","0","0","0","2","2","5","9","6","3"
"Italica","American Association of Teachers of Italian","JSTOR","0021-3020","","2","5","16","27","2","1","0","0","3","35","39","19","149","126","22"
"Japanese Language and Literature","Association of Teachers of Japanese","JSTOR","1536-7827","","10","51","7","9","0","2","1","2","55","9","16","48","210","165","43"
"Jewish Quarterly Review","University of Pennsylvania Press","JSTOR","0021-6682","","0","1","5","10","3","0","2","0","0","2","3","7","33","29","4"
"Journal for Research in Mathematics Education","National Council of Teachers of Mathematics","JSTOR","0021-8251","","0","0","0","1","0","0","0","0","0","0","0","2","3","3","0"
"Journal for Research in Mathematics Education. Monograph","National Council of Teachers of Mathematics","JSTOR","0883-9530","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Journal for the Scientific Study of Religion","Society for the Scientific Study of Religion","JSTOR","0021-8294","","0","17","7","23","7","11","0","5","12","7","16","11","116","94","21"
"Journal of Accounting Research","University of Chicago Graduate School of Business Institute of Professional Accounting","JSTOR","0021-8456","","0","0","0","0","0","0","0","0","0","2","0","4","6","5","1"
"Journal of Aesthetic Education","The University of Illinois Press","JSTOR","0021-8510","","0","0","0","12","22","2","0","1","10","11","24","10","92","74","18"
"Journal of Aesthetics and Art Criticism","The American Society for Aesthetics","JSTOR","0021-8529","","3","8","12","40","15","7","3","7","13","35","31","26","200","166","33"
"Journal of African American History","Association for the Study of African-American Life and History, Inc.","JSTOR","1548-1867","","7","14","37","29","36","24","5","7","8","39","59","67","332","265","64"
"Journal of African Cultural Studies","Taylor &amp; Francis, Ltd. ","JSTOR","1369-6815","","0","1","3","4","0","0","0","0","1","0","3","0","12","8","4"
"Journal of African History","Cambridge University Press","JSTOR","0021-8537","","5","63","23","101","32","7","7","6","19","30","55","20","368","276","80"
"Journal of African Law","School of Oriental and African Studies","JSTOR","0021-8553","","0","0","3","12","1","0","0","0","4","5","28","2","55","49","6"
"Journal of Agricultural, Biological, and Environmental Statistics","American Statistical Association","JSTOR","1085-7117","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Journal of American Folklore","The University of Illinois Press","JSTOR","0021-8715","","5","17","15","37","39","52","6","28","5","30","34","15","283","230","52"
"Journal of American History","Organization of American Historians","JSTOR","0021-8723","1936-0967","21","137","98","116","113","11","30","28","220","105","300","277","1456","1082","353"
"Journal of Animal Ecology","Blackwell Publishing","JSTOR","0021-8790","","0","16","41","15","86","0","1","1","12","17","24","21","234","189","45"
"Journal of Anthropological Research","University of New Mexico","JSTOR","0091-7710","","0","0","0","0","0","0","0","0","0","0","0","3","3","2","1"
"Journal of Applied Ecology","Blackwell Publishing","JSTOR","0021-8901","","0","4","1","4","0","0","0","1","4","10","1","1","26","22","4"
"Journal of Applied Econometrics","John Wiley &amp; Sons","JSTOR","0883-7252","","0","0","0","2","0","0","0","0","0","0","3","6","11","9","2"
"Journal of Applied Probability","Applied Probability Trust","JSTOR","0021-9002","","0","0","0","0","1","0","0","0","0","0","0","2","3","3","0"
"Journal of Architectural Education (1984-)","Blackwell Publishing","JSTOR","1046-4883","","0","10","0","17","10","0","2","4","8","3","11","8","73","53","18"
"Journal of Asian Studies","Association for Asian Studies","JSTOR","0021-9118","","64","76","46","125","30","11","25","18","140","131","68","126","860","678","168"
"Journal of Biblical Literature","The Society for Biblical Literature","JSTOR","0021-9231","","0","3","9","27","5","0","1","0","0","2","11","7","65","59","6"
"Journal of Biogeography","Blackwell Publishing","JSTOR","0305-0270","","1","5","0","5","0","0","1","1","3","4","6","5","31","24","7"
"Journal of Black Studies","Sage Publications","JSTOR","0021-9347","","8","22","19","81","40","8","1","0","4","55","76","38","352","278","73"
"Journal of Blacks in Higher Education","CH II Publishers","JSTOR","1077-3711","","7","19","0","46","28","2","4","1","25","80","75","62","349","287","59"
"Journal of British Studies","University of Chicago Press","JSTOR","0021-9371","1545-6986","3","12","11","16","32","0","2","2","70","22","12","21","203","153","48"
"Journal of Business","University of Chicago Press","JSTOR","0021-9398","1537-5374","1","2","10","0","6","0","0","4","19","8","1","4","55","43","12"
"Journal of Business &amp; Economic Statistics","American Statistical Association","JSTOR","0735-0015","","0","0","1","0","3","0","0","0","1","1","0","0","6","5","1"
"Journal of Cell Biology","The Rockefeller University Press","JSTOR","0021-9525","","0","0","3","49","14","0","0","0","36","37","11","8","158","126","32"
"Journal of Community Health Nursing","Lawrence Erlbaum Associates, Inc.","JSTOR","0737-0016","","0","0","0","0","0","0","0","0","0","1","0","2","3","3","0"
"Journal of Computational and Graphical Statistics","American Statistical Association","JSTOR","1061-8600","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Journal of Conflict Resolution","Sage Publications","JSTOR","0022-0027","","24","100","23","66","39","5","0","3","2","28","24","3","317","215","94"
"Journal of Consumer Psychology","Taylor &amp; Francis, Ltd. ","JSTOR","1057-7408","","0","0","0","5","3","0","0","0","0","0","0","0","8","8","0"
"Journal of Consumer Research","University of Chicago Press","JSTOR","0093-5301","1537-5277","2","0","4","12","5","1","0","0","3","8","7","6","48","40","6"
"Journal of Contemporary History","Sage Publications","JSTOR","0022-0094","","8","36","17","32","25","14","10","8","168","26","62","10","416","307","108"
"Journal of Criminal Law and Criminology (1973-)","Northwestern University","JSTOR","0091-4169","","0","11","8","50","19","2","1","4","0","27","120","21","263","194","59"
"Journal of Crustacean Biology","The Crustacean Society","JSTOR","0278-0372","","0","1","3","7","9","0","0","0","9","5","8","3","45","35","10"
"Journal of Cuneiform Studies","American Schools of Oriental Research","JSTOR","0022-0256","","0","0","2","9","0","0","0","0","0","0","0","0","11","11","0"
"Journal of Decorative and Propaganda Arts","Florida International University Board of Trustees on behalf of The Wolfsonian - FIU","JSTOR","0888-7314","","0","0","1","2","2","3","0","0","1","7","4","1","21","18","3"
"Journal of Design History","Oxford University Press","JSTOR","0952-4649","","0","4","7","4","4","5","4","1","2","2","3","2","38","25","13"
"Journal of Ecology","Blackwell Publishing","JSTOR","0022-0477","","3","4","13","11","16","5","0","5","13","16","9","5","100","80","20"
"Journal of Economic Education","Heldref Publications","JSTOR","0022-0485","","0","1","1","4","5","0","0","0","1","12","9","2","35","30","5"
"Journal of Economic History","Economic History Association","JSTOR","0022-0507","","76","134","67","76","94","6","7","6","16","108","24","14","628","445","166"
"Journal of Economic Literature","American Economic Association","JSTOR","0022-0515","","1","22","35","33","13","3","2","0","44","41","41","16","251","183","62"
"Journal of Economic Perspectives","American Economic Association","JSTOR","0895-3309","","60","124","194","168","66","0","3","4","47","30","32","20","748","509","217"
"Journal of Educational and Behavioral Statistics","American Educational Research Association","JSTOR","1076-9986","","0","0","0","1","0","2","0","0","0","0","1","1","5","5","0"
"Journal of Educational Measurement","National Council on Measurement in Education","JSTOR","0022-0655","","0","0","0","2","0","1","0","0","0","1","3","0","7","5","2"
"Journal of Field Archaeology","Boston University","JSTOR","0093-4690","","1","8","10","60","17","0","1","4","8","20","57","11","197","159","35"
"Journal of Finance","Blackwell Publishing","JSTOR","0022-1082","","1","6","4","4","12","1","1","2","73","54","6","52","216","161","55"
"Journal of Financial and Quantitative Analysis","University of Washington School of Business Administration","JSTOR","0022-1090","","0","0","0","1","0","1","2","1","2","8","2","9","26","21","5"
"Journal of Health and Social Behavior","American Sociological Association","JSTOR","0022-1465","","0","19","6","18","35","0","0","0","1","11","14","24","128","95","31"
"Journal of Hellenic Studies","Society for the Promotion of Hellenic Studies","JSTOR","0075-4269","","0","21","7","49","35","2","0","0","5","22","9","11","161","130","31"
"Journal of Herpetology","Society for the Study of Amphibians and Reptiles","JSTOR","0022-1511","","0","0","4","2","0","0","0","3","2","4","31","15","61","45","16"
"Journal of Higher Education","Ohio State University Press","JSTOR","0022-1546","1538-4640","1","7","8","22","25","0","0","0","2","7","7","14","93","78","15"
"Journal of Human Resources","University of Wisconsin Press","JSTOR","0022-166X","","8","4","2","46","7","6","2","1","64","30","5","8","183","135","42"
"Journal of Industrial Economics","Blackwell Publishing","JSTOR","0022-1821","","0","1","1","1","14","0","0","4","2","5","2","1","31","27","4"
"Journal of Interdisciplinary History","MIT Press","JSTOR","0022-1953","","7","22","12","21","23","3","9","3","14","111","39","24","288","214","71"
"Journal of International Business Studies","Palgrave Macmillan Journals","JSTOR","0047-2506","","5","1","2","2","6","0","0","0","3","1","8","31","59","46","13"
"Journal of Japanese Studies","The Society for Japanese Studies","JSTOR","0095-6848","","137","173","20","40","61","3","5","14","48","106","72","138","817","626","164"
"Journal of Labor Economics","University of Chicago Press","JSTOR","0734-306X","1537-5307","1","1","0","6","5","4","1","0","2","8","27","15","70","49","20"
"Journal of Latin American Studies","Cambridge University Press","JSTOR","0022-216X","","2","23","12","11","9","13","0","4","6","16","19","5","120","90","30"
"Journal of Law and Economics","University of Chicago Press","JSTOR","0022-2186","","110","2","20","22","29","1","0","1","11","15","6","20","237","165","61"
"Journal of Law and Religion","Journal of Law and Religion, Inc.","JSTOR","0748-0814","","1","2","3","4","2","0","0","0","5","0","6","3","26","23","3"
"Journal of Law and Society","Cardiff University","JSTOR","0263-323X","","0","11","5","24","6","0","0","0","0","6","8","8","68","47","19"
"Journal of Law, Economics, &amp; Organization","Oxford University Press","JSTOR","8756-6222","","0","1","2","2","1","1","1","0","11","14","6","5","44","34","10"
"Journal of Legal Studies","University of Chicago Press","JSTOR","0047-2530","1537-5366","0","2","5","10","3","6","2","0","11","38","17","15","109","81","27"
"Journal of Mammalogy","American Society of Mammalogists","JSTOR","0022-2372","1545-1542","0","9","3","6","2","0","0","12","4","8","7","1","52","43","9"
"Journal of Marketing","American Marketing Association","JSTOR","0022-2429","","0","0","0","23","31","4","0","0","1","6","5","6","76","70","6"
"Journal of Marketing Research","American Marketing Association","JSTOR","0022-2437","","0","2","0","15","5","1","2","0","4","0","2","3","34","29","5"
"Journal of Marriage and the Family","National Council on Family Relations","JSTOR","0022-2445","","11","112","23","77","41","2","7","0","4","26","81","61","445","314","112"
"Journal of Military History","Society for Military History","JSTOR","0899-3718","","22","48","17","36","60","1","1","5","62","177","103","25","557","442","95"
"Journal of Modern African Studies","Cambridge University Press","JSTOR","0022-278X","","5","27","5","134","46","6","0","2","14","19","24","8","290","219","68"
"Journal of Modern History","University of Chicago Press","JSTOR","0022-2801","1537-5358","8","87","9","17","31","3","5","11","17","57","35","13","293","235","51"
"Journal of Money, Credit and Banking","Ohio State University Press","JSTOR","0022-2879","1538-4616","6","0","6","6","2","0","2","0","4","12","3","4","45","29","16"
"Journal of Music Theory","Yale University Department of Music","JSTOR","0022-2909","","0","1","0","0","1","0","0","0","1","0","1","0","4","4","0"
"Journal of Musicology","University of California Press","JSTOR","0277-9269","","0","3","0","1","7","11","0","1","4","2","8","1","38","32","6"
"Journal of Near Eastern Studies","University of Chicago Press","JSTOR","0022-2968","1545-6978","1","0","5","28","52","0","5","3","6","14","8","2","124","109","13"
"Journal of Negro Education","Journal of Negro Education","JSTOR","0022-2984","","1","26","20","75","40","12","0","3","14","56","59","88","394","320","69"
"Journal of Organizational Behavior","John Wiley &amp; Sons","JSTOR","0894-3796","","0","1","1","2","3","0","0","0","0","0","4","0","11","9","1"
"Journal of Orthoptera Research","Orthopterists' Society","JSTOR","1082-6467","","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0"
"Journal of Paleontology","Society for Sedimentary Geology (SEPM)","JSTOR","0022-3360","","0","0","1","0","0","0","0","0","0","4","0","2","7","6","1"
"Journal of Palestine Studies","Institute of Palestine Studies","JSTOR","0377-919X","","1","1","5","15","13","0","2","13","42","43","80","11","226","153","73"
"Journal of Parasitology","American Society of Parasitologists","JSTOR","0022-3395","","0","3","18","4","13","0","0","0","0","1","15","12","66","50","16"
"Journal of Peace Research","Sage Publications","JSTOR","0022-3433","","5","44","44","121","52","4","6","17","6","24","27","24","374","279","94"
"Journal of Philosophy","Journal of Philosophy","JSTOR","0022-362X","","3","45","3","23","9","6","0","14","14","20","26","49","212","158","51"
"Journal of Policy Analysis and Management","John Wiley &amp; Sons","JSTOR","0276-8739","","0","0","0","45","14","7","0","1","5","10","5","3","90","71","19"
"Journal of Political Economy","University of Chicago Press","JSTOR","0022-3808","1537-534X","5","6","15","30","19","5","5","4","24","68","9","23","213","161","49"
"Journal of Politics","Southern Political Science Association","JSTOR","0022-3816","","32","102","44","117","78","20","0","14","106","55","127","55","750","544","190"
"Journal of Public Administration Research and Theory: J-PART","Public Management Research Association","JSTOR","1053-1858","","0","0","0","5","0","0","0","0","0","0","0","0","5","4","1"
"Journal of Public Health Policy","Palgrave Macmillan Journals","JSTOR","0197-5897","","0","0","0","0","2","9","1","4","1","2","12","7","38","32","6"
"Journal of Religion","University of Chicago Press","JSTOR","0022-4189","1549-6538","3","58","30","89","52","4","6","10","15","34","23","62","386","319","59"
"Journal of Religion in Africa","Brill Academic Publishers","JSTOR","0022-4200","","0","4","7","27","8","5","2","2","5","4","15","2","81","59","22"
"Journal of Research in Music Education","MENC: The National Association for Music Education","JSTOR","0022-4294","","0","0","0","0","1","0","0","0","0","6","20","0","27","24","3"
"Journal of Risk and Insurance","Blackwell Publishing","JSTOR","0022-4367","","0","0","11","8","2","0","4","0","0","12","4","2","43","33","8"
"Journal of Roman Studies","Society for the Promotion of Roman Studies","JSTOR","0075-4358","","4","51","16","26","42","7","3","1","7","14","7","8","186","140","43"
"Journal of Southern African Studies","Taylor &amp; Francis, Ltd. ","JSTOR","0305-7070","","6","7","4","22","10","1","0","1","57","29","19","8","164","121","41"
"Journal of Southern History","Southern Historical Association","JSTOR","0022-4642","","2","47","33","20","31","6","24","3","43","77","45","80","411","315","83"
"Journal of Symbolic Logic","Association for Symbolic Logic","JSTOR","0022-4812","","0","0","0","1","0","0","0","0","0","1","0","0","2","2","0"
"Journal of the American Academy of Religion","Oxford University Press","JSTOR","0002-7189","","6","14","25","41","18","3","11","5","11","16","28","27","205","178","24"
"Journal of the American Institute for Conservation","American Institute for Conservation of Historic &amp; Artistic Works","JSTOR","0197-1360","","1","1","0","4","1","0","0","0","1","1","5","1","15","13","2"
"Journal of the American Mathematical Society","American Mathematical Society","JSTOR","0894-0347","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Journal of the American Musicological Society","University of California Press","JSTOR","0003-0139","","3","5","0","12","12","7","0","3","5","14","21","2","84","69","11"
"Journal of the American Oriental Society","American Oriental Society","JSTOR","0003-0279","","106","35","18","52","11","0","1","2","6","44","15","6","296","253","35"
"Journal of the American Statistical Association","American Statistical Association","JSTOR","0162-1459","","1","4","20","6","2","0","1","0","5","7","4","1","51","37","13"
"Journal of the Early Republic","University of Pennsylvania Press","JSTOR","0275-1275","","1","10","9","30","2","8","13","15","4","7","21","13","133","93","34"
"Journal of the Economic and Social History of the Orient","Brill Academic Publishers","JSTOR","0022-4995","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Journal of the History of Ideas","The Johns Hopkins University Press","JSTOR","0022-5037","1086-3222","6","7","2","49","33","7","9","20","15","112","90","37","387","285","100"
"Journal of the Learning Sciences","Taylor &amp; Francis, Ltd. ","JSTOR","1050-8406","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Journal of the Midwest Modern Language Association","Midwest Modern Language Association","JSTOR","0742-5562","","2","1","2","1","0","0","0","4","2","5","11","13","41","34","7"
"Journal of the North American Benthological Society","North American Benthological Society","JSTOR","0887-3593","","1","1","1","2","0","9","0","0","1","0","8","1","24","18","6"
"Journal of the Operational Research Society","Palgrave Macmillan Journals","JSTOR","0160-5682","","0","0","3","2","7","1","1","0","0","1","3","1","19","15","4"
"Journal of the Royal Anthropological Institute","Royal Anthropological Institute of Great Britain and Ireland","JSTOR","1359-0987","","0","50","35","123","43","17","3","3","17","30","45","34","400","310","83"
