1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English name derived from the vocabulary word, from Greek kyanos, meaning "dark blue" and "lapis lazuli." The color cyan is also sometimes called blue-green, electric blue, and turquoise. | female. CYAN
1: English name derived from the vocabulary word, from Latin delectare, meaning "to allure, delight." | female. DELIGHT
1: English name derived from the vocabulary word, from Latin destinare, "to establish, make firm," hence "fate, fortune." | female. DESTINY
1: English name derived from the vocabulary word, from Latin essentia, meaning "essence; being." | female. ESSENCE
1: English name derived from the vocabulary word, from Latin fortuna, meaning "fortune, luck." | female. FORTUNE
1: English name derived from the vocabulary word, from Latin lacus, meaning "pond, lake." | male. LAKE
1: English name derived from the vocabulary word, from Latin libertas, meaning "freedom." | female. LIBERTY
1: English name derived from the vocabulary word, from Latin miraculum, meaning "marvel, wonder." | female. MIRACLE
1: English name derived from the vocabulary word, from Latin nobilis, meaning "noble." | male. NOBLE
1: English name derived from the vocabulary word, from Latin regalis, meaning "king." | male. ROYAL
1: English name derived from the vocabulary word, from Latin viola, meaning "violet color" or "violet flower." | female. VIOLET
1: English name derived from the vocabulary word, from Middle French modestie, from Latin modestus, meaning "moderate, sober." | female. MODESTY
1: English name derived from the vocabulary word, from Old English heofon, meaning "home of God," earlier "sky." | female. HEAVEN
1: English name derived from the vocabulary word, from Old English lufu, meaning "affection, friendliness, love." Compare with masculine Love. | female. LOVE
1: English name derived from the vocabulary word, from Persian yasmin, meaning "jasmine flower," a plant in the olive family. Compare with masculine Jasmin. | female. JASMIN
1: English name derived from the vocabulary word, from the Middle English word sterrling, meaning "little star." | male. STERLING
1: English name derived from the vocabulary word "grace," from Old French grace "pleasing quality, favor, good will, thanks," which in turn came from Latin gratia "pleasing quality, good will, gratitude," from gratus "pleasing, agreeable." In 1175 the word grace was defined as "God's favor or help." | female. GRACE
1: English name derived from the vocabulary word harmony, from Greek Harmonia, meaning "concord, harmony." | female. HARMONY
1: English name derived from the vocabulary word harmony, from Greek Harmonia, meaning "concord, harmony." | female. HARMONY
1: English name derived from the vocabulary word "honey." Also a term of endearment. | female. HONEY
1: English name derived from the vocabulary word "hope." It is one of the Puritan virtue names; some others are Charity, Chastity, Faith, Honor, and Prudence. | female. HOPE
1: English name derived from the vocabulary word, "joy." | female. JOY
1: English name derived from the vocabulary word, "king," from Old English cyning, probably meaning "family, race." | male. KING
1: English name derived from the vocabulary word, Latin corona, meaning "crown, garland, wreath." The outer atmosphere of a star is called a corona. | female. CORONA
1: English name derived from the vocabulary word, lily, meaning simply "lily flower." | female. LILY
1: English name derived from the vocabulary word, "meadow." | female. MEADOW
1: English name derived from the vocabulary word, meaning "amber," the gem or color. Actually the word is of Arabic origin, from anbargris (ambergris), which refers to an oily, perfumed substance (used in making perfumes) secreted by the sperm whale. | female. AMBER
1: English name derived from the vocabulary word, meaning "black," as a heraldic color. It is sometimes confused with the mammal of the same name but which has brown fur, not black, and which has a different origin. | female. SABLE
1: English name derived from the vocabulary word, meaning "blue-green" or "teal duck." | female. TEAL
1: English name derived from the vocabulary word, meaning "candy."English pet form of Latin Candace, meaning "prince of servants." | female. CANDY
1: English name derived from the vocabulary word, meaning "cherry." Variant spelling of English Cherie, meaning "darling." | female. CHERRY
1: English name derived from the vocabulary word, meaning "dawn." | female. DAWN
1: English name derived from the vocabulary word, meaning "day."Feminine form of Middle English Daye, meaning "day." | female. DAY
1: English name derived from the vocabulary word, meaning "dim, cloudy, vague." It is often chosen as a name because of the mental images it evokes, such as a misty autumn morning or a hazy tropical island. | female. MISTY
1: English name derived from the vocabulary word, meaning "forgiveness, mercy." | female. MERCY
1: English name derived from the vocabulary word, meaning "glory." | female. GLORY
1: English name derived from the vocabulary word, meaning "happy." Compare with masculine Gay. | female. GAY
1: English name derived from the vocabulary word, meaning "jewel." | female. JEWEL
1: English name derived from the vocabulary word, meaning "lace-like." | female. LACY
1: English name derived from the vocabulary word, meaning "light brown, tawny." | female. TAWNY
1: English name derived from the vocabulary word, meaning "melody." | female. MELODY
1: English name derived from the vocabulary word, meaning "moderation, self-restraint." | female. TEMPERANCE
1: English name derived from the vocabulary word, meaning "oneness, unity." | female. UNITY
1: English name derived from the vocabulary word, meaning "peace." | female. PEACE
1: English name derived from the vocabulary word, meaning "piety." | female. PIETY
1: English name derived from the vocabulary word, meaning "rowan tree." Compare with masculine Rowan. | female. ROWAN
1: English name derived from the vocabulary word, meaning "sapphire." This is a birthstone for the month of August. | female. SAPPHIRE
1: English name derived from the vocabulary word, meaning "serenity." | female. SERENITY
1: English name derived from the vocabulary word, meaning simply "berry." Compare with masculine Berry. | female. BERRY
1: English name derived from the vocabulary word, meaning simply "pleasant." | female. PLEASANT
1: English name derived from the vocabulary word, meaning simply "scout," used by author Harper Lee for a character in her novel To Kill a Mockingbird. | female. SCOUT
1: English name derived from the vocabulary word, meaning simply "wolf." Compare with another form of Wolf. | male. WOLF
1: English name derived from the vocabulary word, meaning "stormy." | female. STORMY
1: English name derived from the vocabulary word, meaning "tempest, violent storm." | female. TEMPEST
1: English name derived from the vocabulary word, meaning "to comfort, help, strengthen." | female. COMFORT
1: English name derived from the vocabulary word, myrtle, the name of a flowering shrub or tree, derived from the Old French diminutive myrtille, meaning "little myrtle." | female. MYRTLE
1: English name derived from the vocabulary word, "praise," from Old French preisier, from Late Latin preciare, meaning "price," hence "to value." | female. PRAISE
1: English name derived from the vocabulary word, queen, from Old English cwen "queen," from Germanic kwen, meaning "wife." | female. QUEEN
1: English name derived from the vocabulary word sienna, meaning "reddish-orange." | female. SIENNA
1: English name derived from the vocabulary word, "star." | female. STAR
1: English name derived from the vocabulary word, summer, from Old English sumor, meaning "summer," the hot season of the year. | female. SUMMER
1: English name derived from the vocabulary word, Sunday, from Old English Sunnandæg, literally meaning "day of the sun." | female. SUNDAY
1: English name derived from the vocabulary word, "sunshine." | female. SUNSHINE
1: English name derived from the vocabulary word, "symphony," from Greek symphonos, meaning "concordant in sound." | female. SYMPHONY
1: English name derived from the vocabulary word tiara, from Latin tiara, originally a headdress worn by Persian kings and other men of rank. Of uncertain origin. But the first element might be related to Sumerian ti, meaning "life." And the second element ara, might be related to Ara/Ur, the name of the city of the Chaldees, meaning "light/flame of fire" or "revelation." Hence, possibly "life-light." | female. TIARA
1: English name derived from the vocabulary word "topsail," a sail set above another sail. | female. TOPSY
1: English name derived from the vocabulary word, "treasure." | female. TREASURE
1: English name derived from the vocabulary word, trinity," meaning "a triad; three; triple." As a religious name, it refers to "the Father, Son, and Holy Spirit." | female. TRINITY
1: English name derived from the week day name, composed of the Old English elements mona "moon" and dæg "day," hence "moon day." | female. MONDAY
1: English name derived from the wine name, from the name of a place in France which got its name from Latin Burgundiones, literally meaning "highlanders." May also sometimes be given as a color name. | female. BURGUNDY
1: English name derived from the word aureole, a diminutive form of Latin aura ("air, breeze, wind"), hence "little breeze" or "little wind." | female. AUREOLE
1: English name derived from the word, chalice, from Latin calix, meaning "cup." | female. CHALICE
1: English name having several possible origins, the most likely being from the place name invented by Henry Schoolcraft, composed of the prefix Al- from the Native American tribal name Algonquin, and the suffix -goma from the Algonquin word goma, meaning "lake." | female. ALGOMA
1: English name invented by the 17th century poet Fulke Greville, which may have been based on the Greek word myrrha, "myrrh," a fragrant, bitter sap derived from the Commiphora tree and used in healing salves, perfumes and incenses. In ancient times, myrrh was worth more than its weight in gold, priced at 5 times that of frankincense, and it was one of the gifts of the Magi to the baby Jesus. | female. MYRA
1: English name mostly used by African-Americans, derived from the continent name, meaning "land of the Afri." The Afri were a tribe, possibly Berber, who dwelled in North Africa. The origin of the word Afri (pl.), Afer (sing.), may be connected with the Phoenician word 'afar, meaning "dust," which is also found in other Semitic languages, such as Hebrew Afra. | female. AFRICA
1: English name not found before the 16th century, probably originally a Puritan virtue name, derived from the Greek word aletheia, meaning "truth." | female. ALETHEA
1: English name of Germanic origin, probably composed of the elements tal "destroy" and bod "message, tidings," hence "messenger of destruction." | male. TOLBERT
1: English name of Greek origin, derived from the word genesis, meaning "creation, generation, origin, source," from gignesthai "to be born," which is related to genos "birth, descent, race." In the bible, this is the name of the first book of the Old Testament. | female. GENESIS (Γένεσις)
1: English name of Latin origin, meaning "sing." | female. CHARMAINE
1: English name of Latin origin, meaning "zealous." | female. ZELIA
1: English name of Russian origin, meaning "toothy." Compare with other forms of Zubin. | male. ZUBIN
1: English name of the B-29 bomber that dropped the atomic bomb, "Little Boy," on Hiroshima on August 6, 1945. The pilot, Colonel Paul W. Tibbets, Jr. named the aircraft after his mother, Enola Gay Tibbets, who in turn had been named after the heroine of a novel; it is the reverse spelling of the word "alone."  | female. ENOLA
1: English name of uncertain origin, possibly a form of Arabic Zara, meaning "blooming flower." | female. XARA
1: English name of uncertain origin, possibly an altered form of Melville, meaning "bad settlement." | male. MELVIN
1: English name originally derived from the name of a Germanic tribe called the Franks, meaning "French." It is also used as a short form of Franklin "freeman" and Francis "French." | male. FRANK
1: English name, possibly derived from an elaborated form of the word "toy," and used as a term of endearment. Compare with French Bibi. | female. TOYA
1: English name possibly derived from Spanish del mar, meaning "of the sea." Once popular among African Americans. | male. DELMAR
1: English name possibly derived from the Old English word drǽfend, meaning "hunter." | male. DRAVEN
1: English name possibly derived from the Old French phrase del roy, meaning "son or servant of the king." | male. DELROY
1: English name, possibly derived from the vocabulary word ray, meaning "sunbeam." | female. RAE
1: English name, possibly of Irish Gaelic origin, from a place name meaning "deep hollow, ravine." | male. COREY
1: English name, probably based on the word "twilight." | female. TWYLA
1: English name probably derived from Anglo-Saxon Cyneweard, meaning "royal guard." | male. KENNARD
1: English name, probably derived from an old nursery rhyme about "baby bunting." | female. BUNTY
1: English name probably derived from Germanic lindi, meaning "serpent." In some cases, it may have been derived from the Spanish word for "pretty." | female. LINDA
1: English name, probably derived from the plant genus name annona, from Taíno annon, a species of plants which produce nutritious edible pond-apples. | female. ANNONA
1: English name, probably derived from the vocabulary word alpine, meaning "of the Swiss Alps." | male. ALPINE
1: English name sometimes given to baby girls born in the month of May which was named after the Greek goddess Maia, meaning "nursing mother." Pet form of English Margaret "pearl" and Mary "obstinacy, rebelliousness" or "their rebellion." | female. MAY
1: English name thought to probably be an elaborated form of the Greek word anthos, meaning "flower." | female. MELANTHA
1: English name which derived from the name of any of several rivers in England which got their name from Celtic afon, meaning "river." | male. AVON
1: English name which may be an elaborated form of the Latin word cor, meaning "heart." This is the name of a legendary queen of the Britons. It is also the name of a moon of Uranus and an asteroid, both of which were named after a Shakespeare character who also bore this name. | female. CORDELIA
1: English name which may mean either "mace (the spice)" or "mace (the weapon)." | male. MACE
1: English name which may originally have been a Native American Indian word meaning "Englishman," and the origin for the word "Yankee." | male. YANCY
1: English occupational surname for a "dyer" or "seller of fabrics," transferred to forename use, derived from Old French escarlate, meaning "scarlet cloth." | female. SCARLETT
1: English occupational surname transferred to forename use, composed of the Old English elements sceara "shears" and mann "man," hence "shears-man." | male. SHERMAN
1: English occupational surname transferred to forename use, derived from French maçon, meaning "mason, stone-worker." | male. MASON
1: English occupational surname transferred to forename use, derived from Middle English calfhirde, meaning "calf-herder." | male. CALVERT
1: English occupational surname transferred to forename use, derived from Middle English saghier, meaning "to saw." | male. SAWYER
1: English occupational surname transferred to forename use, derived from Old English stigweard, composed of the elements stig "house" and weard "guard," meaning "house guard; steward." | male. STEWART
1: English occupational surname transferred to forename use, derived from Old English weard, meaning "guard, watchman." | male. WARD
1: English occupational surname transferred to forename use, derived from Old English wryhta/wyrhta, meaning "craftsman." | male. WRIGHT
1: English occupational surname transferred to forename use, derived from the Middle English word travis, meaning "crossing," a derivative of Old French traverser "to cross," a name used for someone who was a "collector of bridge or road tolls." | male. TRAVIS
1: English occupational surname transferred to forename use, derived from the Norman French word traverser, meaning "to cross," a name used for someone who was a "collector of bridge or road tolls." Compare with Travis. | male. TRAVERS
1: English occupational surname transferred to forename use, from a diminutive form of Old French corde, "rope," hence "little roper." The occupation consisted of making strings, cords, ropes, etc. | male. CORDELL
1: English occupational surname transferred to forename use, from a name for a "peddler, hawker," who drove a wagon, derived from the Middle English word traunter, meaning "to convey." | male. TRANTER
1: English occupational surname transferred to forename use, from Dutch kuper, from kup "tub; container," which in English became coop. A cooper was a maker and/or fixer of vessels such as buckets and barrels. | male. COOPER
1: English occupational surname transferred to forename use, from early Middle English webber, meaning "weaver." | male. WEBSTER
1: English occupational surname transferred to forename use, from Middle English parc "park," hence "park-keeper." Note: in the Middle Ages a park was an enclosed area where the park-owner hunted game. | male. PARKER
1: English occupational surname transferred to forename use, from Old French flechier (from Germanic fleche "arrow"), meaning "maker of arrows." | male. FLETCHER
1: English occupational surname transferred to forename use, from the Greek word diakonos, meaning "servant." | male. DEACON
1: English occupational surname transferred to forename use, from the Latin word decanus, meaning "dean; ecclesiastical supervisor." | male. DEAN
1: English occupational surname transferred to forename use, from the Middle English word gage ("pledge, surety" against money lent), hence "moneylender." | male. GAGE
1: English occupational surname transferred to forename use, from the Middle English word kempe "athlete, wrestler," from Old English kempa, meaning "champion, warrior." | male. KEMP
1: English occupational surname transferred to forename use, meaning "abbot, father, priest," from Latin abbas "priest," from Greek abbas, from Aramaic aba "father." First used as a forename in the 19th century. | male. ABBOTT
1: English occupational surname transferred to forename use, meaning "carter," someone who uses a cart. | male. CARTER
1: English occupational surname transferred to forename use, meaning "cartwright; wagon-maker." | male. WAYNE
1: English occupational surname transferred to forename use, meaning "carver" of wood or stone. | male. CARVER
1: English occupational surname transferred to forename use, meaning "clerk; secretary." | male. CLARK
1: English occupational surname transferred to forename use, meaning "cloth fuller." | male. TUCKER
1: English occupational surname transferred to forename use, meaning "dispenser (of provisions)." | male. SPENCER
1: English occupational surname transferred to forename use, meaning "doorkeeper." | male. PORTER
1: English occupational surname transferred to forename use, meaning "man of the master," i.e. "retainer" or "servant." | male. MASTERMAN
1: English occupational surname transferred to forename use, meaning "roof-tiler." | male. TYLER
1: English occupational surname transferred to forename use, originally denoting both a "book-binder" and a "scribe." | male. BOOKER
1: English occupational surname transferred to forename use, which could have derived from any of the following: 1) Middle English foster, meaning "foster-parent," 2) forster, meaning "forester," 3) forster, meaning "shearer," or 4) fuyster, meaning "saddle-tree maker." | male. FOSTER
1: English occupational surname transferred to unisex forename use, denoting someone who was employed at one of the houses called "temples," maintained by the Knights Templar. | female. TEMPLE
1: English occupational surname transferred to unisex forename use, denoting someone who was employed at one of the houses called "temples," maintained by the Knights Templar. | male. TEMPLE
1: English occupational surname transferred to unisex forename use, derived from Middle English pipere, meaning "pipe-player." | female. PIPER
1: English occupational surname transferred to unisex forename use, derived from Middle English pipere, meaning "pipe-player." | male. PIPER
1: English occupational surname transferred to unisex forename use, derived from the Middle English word tanner, possibly from a Celtic word for "oak," a wood used in tanning, hence "tanner of skins." | female. TANNER
1: English occupational surname transferred to unisex forename use, derived from the Middle English word tanner, possibly from a Celtic word for "oak," a wood used in tanning, hence "tanner of skins." | male. TANNER
1: English occupational surname transferred to unisex forename use, meaning "bailiff." | female. BAILEY
1: English occupational surname transferred to unisex forename use, meaning "bailiff." | male. BAILEY
1: English occupational surname transferred to unisex forename use, meaning "cutter of cloth, tailor." | female. TAYLOR
1: English occupational surname transferred to unisex forename use, meaning "cutter of cloth, tailor." | male. TAYLOR
1: English occupational surname transferred to unisex forename use, meaning "harp player." | female. HARPER
1: English occupational surname transferred to unisex forename use, meaning "harp player." | female. HARPER
1: English occupational surname transferred to unisex forename use, meaning "harp player." | male. HARPER
1: English occupational surname transferred to unisex forename use, meaning "hunter." | female. HUNTER
1: English occupational surname transferred to unisex forename use, meaning "hunter." | male. HUNTER
1: English patronymic surname transferred to forename use, meaning "son of Andrew." | male. ANDERSON
1: English patronymic surname transferred to forename use, meaning "son of Eade." | male. EASON
1: English patronymic surname transferred to forename use, meaning "son of Jack." | male. JACKSON
1: English patronymic surname transferred to forename use, meaning "son of Neal." | male. NILES
1: English patronymic surname transferred to forename use, meaning "son of Neil." | male. NELSON
1: English patronymic surname transferred to forename use, meaning "son of Tenney." | male. TENNYSON
1: English patronymic surname transferred to forename use, meaning "son of Will." | male. WILSON
1: English patronymic surname transferred to forename use, which may have been based on any of a number of Middle English names, i.e. "son of Ansel" or "son Agnes." | male. ANSON
1: English pet form of Bernard "bold as a bear" and Greek Barnabas "son of exhortation." | male. BARNEY
1: English pet form of Latin Hester "star" and English Harriet "little home-ruler." | female. HETTIE
1: English pet form of names beginning with Mor-. | female. MORA
1: English pet form of names beginning with the letter "K." | female. KIKI
1: English pet name for a boy who has the same name as his father, derived from Latin junior, meaning "young." | male. JUNIOR
1: English pet name transferred to forename use, meaning "youngster." | male. SONNY
1: English pronunciation of Irish Gaelic Siobhán, meaning "God is gracious." | female. CHEVONNE
1: English religious name derived from the last element of a title of the Virgin Mary, stella maris, "star of the sea," hence "of the sea." Compare with masculine Maris. | female. MARIS
1: English religious name, meaning simply "epiphany." | female. EPIPHANY
1: English Shakespearean character name of unknown etymology. It eventually became a synonym for a "loan shark, userer." | male. SHYLOCK
1: English Shakespearean name, derived from Latin mirandus, meaning "worthy of admiration." | female. MIRANDA
1: English Shakespearean name of the daughter of Shylock, probably based on Hebrew Yiska, meaning "one who beholds" or "one who looks out." | female. JESSICA
1: English Shakespeare character name derived from Roman Latin Porcius, meaning "pig." A moon of Uranus was given this name. | female. PORTIA
1: English Shakespeare creation, derived from Greek Nereis, meaning "nymph, sea sprite." | female. NERISSA
1: English Shakespearian name, possibly derived from the Irish Gaelic word ríogan, meaning "queen." | female. REGAN
1: English short form of both Latin Maximilian "the greatest rival" and Scottish Maxwell "the stream of Mack." | male. MAX
1: English short form of Latin Dominic "belongs to the lord" and English Nicholas "victor of the people." | male. NIC
1: English short form of Latin Maria "obstinate, rebellious" and Victoria "conqueror." Compare with another form of Ria. | female. RIA
1: English short form of longer names beginning with Den-. | male. DEN
1: English short form of longer names beginning with Eb-. | male. EB
1: English short form of longer names beginning with the element Em-. | female. EM
1: English short form of longer names beginning with the letter "K." Compare with masculine Kay. | female. KAYCEE
1: English short form of longer names ending with -arlene or -arline. | female. ARLINE
1: English short form of names beginning with the letter "J." May also be given as a bird name. Compare with another form of Jay. | male. JAY
1: English short form of names ending with -freda. | female. FREDA
1: English short form of names ending with -rika. Compare with another form of Rika. | female. RIKA
1: English short form of names ending with -tia. | female. TIA
1: English short form of names ending with -tria. | female. TRIA
1: English slang term for someone who breaks things transferred to forename use, originally derived from the verb bust, meaning "to break, smash," hence "breaker, destroyer, smasher." | male. BUSTER
1: English surname (Averill) transferred to forename use, meaning "the hill sown with oats." | male. AVERILL
1: English surname of Cornish origin, transferred to forename use, derived from a place name meaning "settlement of Elian." | male. TREVELYAN
1: English surname of French origin, transferred to forename use, meaning "from Troyes." | male. TROY
1: English surname of Norman French origin, transferred to forename use, from a place called La Varenne, meaning "game-park." | male. WARREN
1: English surname transferred to forename use, composed of Old English Cena and tun "settlement," hence "Cena's settlement." | male. KENTON
1: English surname transferred to forename use, composed of Old English wilig "willow" and Old Norse býr "settlement," hence "willow settlement." | male. WILLOUGHBY
1: English surname transferred to forename use, composed of the feminine personal name Elli and Old English denu "valley," hence "Elli's valley." | male. ELSDON
1: English surname transferred to forename use, composed of the masculine name Ella and the Old English word dun "hill," hence "Ella's hill." | male. ELDON
1: English surname transferred to forename use, composed of the Middle English elements ley "fallow" and land "land," hence "fallow land." | male. LELAND
1: English surname transferred to forename use, composed of the Middle English elements wild "wild" and bor "boar," hence "wild boar." | male. WILBER
1: English surname transferred to forename use, composed of the Middle English personal name Ella and tun "enclosure, settlement," hence "Ella's settlement." | male. ELTON
1: English surname transferred to forename use, composed of the Old English elements brad "broad" and burna "stream," hence "broad stream." | male. BRADBURN
1: English surname transferred to forename use, composed of the Old English elements burh "fortress, protection" and tun "enclosure, settlement," hence "fortified settlement." | male. BURTON
1: English surname transferred to forename use, composed of the Old English elements camp "enclosure" and denu "valley," hence "enclosed valley." | male. CAMDEN
1: English surname transferred to forename use, composed of the Old English elements clif "cliff, bank, slope" and ford "ford," hence "cliff river crossing." | male. CLIFFORD
1: English surname transferred to forename use, composed of the Old English elements clif "cliff, bank, slope," and land "land," hence "sloped land." | male. CLEVELAND
1: English surname transferred to forename use, composed of the Old English elements clif "cliff, bank, slope" and tun "enclosure, settlement," hence "cliff settlement." | male. CLIFTON
1: English surname transferred to forename use, composed of the Old English elements Dene "Dane" and fær "passage, crossing," hence "Dane crossing." | male. DENVER
1: English surname transferred to forename use, composed of the Old English elements denu "valley" and tun "enclosure, settlement," hence "valley settlement." | male. DENTON
1: English surname transferred to forename use, composed of the Old English elements dic "ditch, dike" and tun "enclosure, settlement," hence "dike settlement." | male. DAYTON
1: English surname transferred to forename use, composed of the Old English elements fenn "fen, marsh" and tun "enclosure, settlement," hence "marsh settlement." | male. FENTON
1: English surname transferred to forename use, composed of the Old English elements gara "triangular" (a derivative of gar "spear") and feld "open country," hence "lives by a triangular field." | male. GARFIELD
1: English surname transferred to forename use, composed of the Old English elements gara "triangular" (a derivative of gar "spear") and land "estate, cultivated land," hence "from the triangular estate." Compare with another form of Garland. | male. GARLAND
1: English surname transferred to forename use, composed of the Old English elements (ge)haeg "enclosure" and wudu "wood," hence "enclosed wood." | male. HAYWOOD
1: English surname transferred to forename use, composed of the Old English elements hadu "strife, war" and win(e) "friend," hence "war-friend." | male. HADWIN
1: English surname transferred to forename use, composed of the Old English elements hæð "heather" and leah "clearing, field," hence "heather field" or "heather meadow." | male. HEDLEY
1: English surname transferred to forename use, composed of the Old English elements hær "rock" and leah "meadow, pasture," hence "rocky meadow." | male. HARLEY
1: English surname transferred to forename use, composed of the Old English elements heafocere "falconer, hawker" and cot "hut," hence "from the falconer's/hawker's hut." | male. HARCOURT
1: English surname transferred to forename use, composed of the Old English elements hol "deep, hollow, sunken" and denu "valley," hence "deep valley." | male. HOLDEN
1: English surname transferred to forename use, composed of the Old English elements hunta "hunter" and leah "clearing, wood," hence "hunter's wood." | male. HUNTLEY
1: English surname transferred to forename use, composed of the Old English elements mylla "mill" and burne "stream," hence "mill stream." | male. MELBOURNE
1: English surname transferred to forename use, composed of the Old English elements ora "ore" and hyll "hill," hence "ore hill." | male. ORRELL
1: English surname transferred to forename use, composed of the Old English elements treowe "true, trustworthy" and mann "man," hence "true man." | male. TRUMAN
1: English surname transferred to forename use, composed of the Old English elements up "upper" and tun "enclosure, settlement," hence "upper settlement." | male. UPTON
1: English surname transferred to forename use, composed of the Old English elements þorn "thorn bush" and leah "clearing, wood," hence "thorn clearing." | male. THORLEY
1: English surname transferred to forename use, composed of the Old English elements þorn "thorn bush" and tun "enclosure, settlement," hence "thorn bush settlement." | male. THORNTON
1: English surname transferred to forename use, composed of the Old English personal name Hucc and the word leah "clearing, wood," hence "Hucc's clearing/wood." | male. HUXLEY
1: English surname transferred to forename use, composed of the Old Norse elements kolr "black, coal" and býr "settlement," hence "coal settlement." | male. COLBY
1: English surname transferred to forename use, composed of the Old Norse name Ormarr and Old English rod "clearing," hence "Ormarr's clearing." | male. ORMEROD
1: English surname transferred to forename use, derived from a byname for a "courteous" person, from Old French curteis. The name later became associated with Middle English curt "short" and hose "leggings," taking on the meaning "short leggings." | male. CURTIS
1: English surname transferred to forename use, derived from a byname for a person who is "fiery tempered," from the Old French word tison, meaning "firebrand." | male. TYSON
1: English surname transferred to forename use, derived from a byname for someone having a sunny disposition, composed of the Middle English elements merry "cheerful, lively" and wether "weather," hence "cheerful weather." | female. MERIWETHER
1: English surname transferred to forename use, derived from a contracted form of Athelmare, meaning "nobly famous." | male. AYLMER
1: English surname transferred to forename use, derived from a diminutive form of Old English Hob, hence "little Hob." | male. HOPKIN
1: English surname transferred to forename use, derived from a German short form of various names containing the element ragin ("advice, counsel"), hence "wise." Compare with feminine Rain. | male. RAIN
1: English surname transferred to forename use, derived from an Old English byname, Red, meaning "red-headed or ruddy-complexioned." | male. READ
1: English surname transferred to forename use, derived from a Norman baronial name meaning "new town." | male. NEVILLE
1: English surname transferred to forename use, derived from a pet form of Greek Tobias, meaning "God is good." | male. TOBIN
1: English surname transferred to forename use, derived from a place name composed of the Germanic name Hroda and the word eg "fen, island," hence "Hroda's fen/island." | male. RODNEY
1: English surname transferred to forename use, derived from a place name composed of the Old English elements heg "hay" and leah "field, meadow, pasture," hence "hay field." | female. HAYLEY
1: English surname transferred to forename use, derived from a place name composed of the Old English elements lind "linden, lime tree" and dun "hill," hence "lime tree hill." | male. LYNDON
1: English surname transferred to forename use, derived from a place name composed of the Old English elements ryge "rye" and hyll "hill," hence "rye hill." | male. ROYLE
1: English surname transferred to forename use, derived from a place name composed of the Old English elements staò "landing place" and ford "ford," hence "landing place at the river crossing." | male. STAFFORD
1: English surname transferred to forename use, derived from a place name composed of the Old English personal name Cola and the word tun "enclosure, settlement," hence "Cola's settlement." | male. COLTON
1: English surname transferred to forename use, derived from a place name composed of the Old Norse elements hryggr "ridge" and býr "farm, settlement," hence "ridge settlement." | male. RIGBY
1: English surname transferred to forename use, derived from a place name composed of the Old Norse elements rá "roe-deer" and skógr "copse, wood," hence "roe-deer wood." | male. ROSCOE
1: English surname transferred to forename use, derived from a place name known in the Middle Ages as "settlement of Royce." | male. ROYSTON
1: English surname transferred to forename use, derived from a place name meaning "the clearing belonging to Margaret." | male. MURGATROYD
1: English surname transferred to forename use, derived from a variant of Osborn, meaning "divine-bear." | male. OSBOURNE
1: English surname transferred to forename use, derived from a variant of the Norman French surname Chancey, originally a baronial habitational name (Chancé), meaning "good fortune." | male. CHAUNCEY
1: English surname transferred to forename use, derived from a variant of the surname Guilford, composed of Old English gylde "golden" and ford "ford," hence "golden river crossing." | male. GILFORD
1: English surname transferred to forename use, derived from Irish Brian, meaning "high hill." | male. BRYAN
1: English surname transferred to forename use, derived from Irish Brian, meaning "high hill." | male. BRYANT
1: English surname transferred to forename use, derived from Latin Clemens or Clement, meaning "gentle and merciful." | male. CLEMENTS
1: English surname transferred to forename use, derived from Latin palma, meaning "palm tree." Before it was a surname, Palmer was an old byname for "a pilgrim," someone who had been on a pilgrimage to the Holy Land and brought back a palm branch as proof that they had actually been there. | male. PALMER
1: English surname transferred to forename use, derived from medieval Jewish Moss (2), meaning "drawn out." Compare with another form of Moss. | male. MOSS
1: English surname transferred to forename use, derived from Middle English Gervase, meaning "spear servant." | male. JARVIS
1: English surname transferred to forename use, derived from Middle English Gladwyn, meaning "bright friend." | male. GLADWIN
1: English surname transferred to forename use, derived from Middle English slade, meaning "small valley." | male. SLADE
1: English surname transferred to forename use, derived from Norman French Hamon, meaning "home." | male. HAMMOND
1: English surname transferred to forename use, derived from Old English Cola, meaning "black, coal." This name is also sometimes used as a pet form of Nicholas, meaning "victor of the people." | male. COLE
1: English surname transferred to forename use, derived from Old English demere, meaning "judge." | male. DEEMER
1: English surname transferred to forename use, derived from Old English Godwin, meaning "God's friend." | male. GOODWIN
1: English surname transferred to forename use, derived from Old English graf "grove," hence "lives in a grove." | male. GROVER
1: English surname transferred to forename use, derived from Old English halh "nook, recess," hence "lives in a nook." | male. HALE
1: English surname transferred to forename use, derived from Old English heall "hall," hence "lives at the hall."Middle English name meaning "to cover, conceal." | male. HALL
1: English surname transferred to forename use, derived from Old Norse Thorsteinn, meaning "Thor's stone." | male. THURSTON
1: English surname transferred to forename use, derived from the Anglo-Saxon personal name Leofwine, meaning "dear friend." | male. LEWIN
1: English surname transferred to forename use, derived from the Anglo-Saxon personal name Osgod, meaning "divine Gaut." | male. OSGOOD
1: English surname transferred to forename use, derived from the Anglo-Saxon personal name Wilheard, meaning "strong-willed." | male. WILLARD
1: English surname transferred to forename use, derived from the Anglo-Saxon personal name Wynnstan, meaning "joy-stone." | male. WINSTON
1: English surname transferred to forename use, derived from the city name Chester, from an Old English form of Latin castra, meaning "legionary camp." | male. CHESTER
