Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size
CASY|Caseys General Stores, Inc. - Common Stock|Q|N|N|100
CATM|Cardtronics, Inc. - Common Stock|Q|N|N|100
CATY|Cathay General Bancorp - Common Stock|Q|N|N|100
CAVM|Cavium, Inc. - Common Stock|Q|N|N|100
CAZA|Cazador Acquisition Corporation Ltd. - Ordinary Shares|S|N|N|100
CAZAU|Cazador Acquisition Corporation Ltd. - Units: consisting of 1 Ordinary Share and 1 Warrant|S|N|N|100
CAZAW|Cazador Acquisition Corporation Ltd. - Warrants|S|N|N|100
CBAK|China BAK Battery, Inc. - Common Stock|G|N|D|100
CBAN|Colony Bankcorp, Inc. - Common Stock|G|N|N|100
CBEY|Cbeyond, Inc. - Common Stock|Q|N|N|100
CBIN|Community Bank Shares of Indiana, Inc. - Common Stock|S|N|N|100
CBKN|Capital Bank Corporation - Common Stock|Q|N|N|100
CBLI|Cleveland BioLabs, Inc. - Common Stock|S|N|N|100
CBMX|CombiMatrix Corporation - Common Stock|S|N|N|100
CBMXW|CombiMatrix Corporation - Warrants 5/01/2014|S|N|N|100
CBNJ|Cape Bancorp, Inc. - Common Stock|Q|N|N|100
CBNK|Chicopee Bancorp, Inc. - Common Stock|G|N|N|100
CBOE|CBOE Holdings, Inc. - Common Stock|Q|N|N|100
CBOU|Caribou Coffee Company, Inc. - Common Stock|Q|N|N|100
CBPO|China Biologic Products, Inc. - Common Stock|Q|N|N|100
CBRL|Cracker Barrel Old Country Store, Inc. - Common Stock|Q|N|N|100
CBRX|Columbia Laboratories, Inc. - Common Stock|G|N|N|100
CBSH|Commerce Bancshares, Inc. - Common Stock|Q|N|N|100
CBST|Cubist Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
CCBG|Capital City Bank Group - Common Stock|Q|N|N|100
CCCL|China Ceramics Co., Ltd. - Common Stock|G|N|N|100
CCCLU|China Ceramics Co., Ltd. - Units|G|N|N|100
CCCLW|China Ceramics Co., Ltd. - Warrants 11/16/2012|G|N|N|100
CCGM|China CGame, Inc - Common Stock|Q|N|D|100
CCIH|ChinaCache International Holdings Ltd. - American Depositary Shares|G|N|N|100
CCIX|Coleman Cable, Inc. - Common Stock|G|N|N|100
CCMP|Cabot Microelectronics Corporation - Common Stock|Q|N|N|100
CCNE|CNB Financial Corporation - Common Stock|Q|N|N|100
CCOI|Cogent Communications Group, Inc. - Common Stock|Q|N|N|100
CCRN|Cross Country Healthcare, Inc. - Common Stock|Q|N|N|100
CCRT|CompuCredit Holdings Corporation - Common Stock|Q|N|N|100
CCUR|Concurrent Computer Corporation - Common Stock|G|N|N|100
CCXI|ChemoCentryx, Inc. - Common Stock|Q|N|N|100
CDII|China Direct Industries, Inc. - Common Stock|G|N|D|100
CDNS|Cadence Design Systems, Inc. - Common Stock|Q|N|N|100
CDTI|Clean Diesel Technologies, Inc. - Common Stock|S|N|N|100
CDXS|Codexis, Inc. - Common Stock|Q|N|N|100
CDZI|Cadiz, Inc. - Common Stock|G|N|N|100
CEBK|Central Bancorp, Inc - Common Stock|G|N|N|100
CECE|CECO Environmental Corp. - Common Stock|G|N|N|100
CECO|Career Education Corporation - Common Stock|Q|N|N|100
CEDC|Central European Distribution Corporation - Common Stock|Q|N|N|100
CEDU|ChinaEdu Corporation - American Depositary Shares, each representing three Ordinary Shares|G|N|N|100
CELG|Celgene Corporation - Common Stock|Q|N|N|100
CELGZ|Celgene Corporation - Contingent Value Right|G|N|N|100
CELL|Brightpoint, Inc. - Common Stock|Q|N|N|100
CEMP|Cempra, Inc. - Common Stock|G|N|N|100
CENT|Central Garden & Pet Company - Common Stock|Q|N|N|100
CENTA|Central Garden & Pet Company - Class A Common Stock Nonvoting|Q|N|N|100
CENX|Century Aluminum Company - Common Stock|Q|N|N|100
CERE|Ceres, Inc. - Common Stock|Q|N|N|100
CERN|Cerner Corporation - Common Stock|Q|N|N|100
CERP|Cereplast, Inc. - Common Stock|S|N|N|100
CERS|Cerus Corporation - Common Stock|G|N|N|100
CETV|Central European Media Enterprises Ltd. - Class A Common Stock|Q|N|N|100
CEVA|CEVA, Inc. - Common Stock|Q|N|N|100
CFBK|Central Federal Corporation - Common Stock|S|N|D|100
CFFC|Community Financial Corp. - Common Stock|S|N|N|100
CFFI|C&F Financial Corporation - Common Stock|Q|N|N|100
CFFN|Capitol Federal Financial - Common Stock|Q|N|N|100
CFK|CE Franklin Ltd. - Common Stock|G|N|N|100
CFNB|California First National Bancorp - Common Stock|G|N|N|100
CFNL|Cardinal Financial Corporation - Common Stock|Q|N|N|100
CGEI|China Growth Equity Investment Ltd. - Ordinary Shares|S|N|N|100
CGEIU|China Growth Equity Investment Ltd. - Units|S|N|N|100
CGEIW|China Growth Equity Investment Ltd. - Warrant|S|N|N|100
CGEN|Compugen Ltd. - Ordinary Shares|S|N|N|100
CGNX|Cognex Corporation - Common Stock|Q|N|N|100
CHCI|Comstock Homebuilding Companies, Inc. - Class A Common Stock|S|N|N|100
CHCO|City Holding Company - Common Stock|Q|N|N|100
CHDN|Churchill Downs, Incorporated - Common Stock|Q|N|N|100
CHDX|Chindex International, Inc. - Common Stock|Q|N|N|100
CHEF|The Chefs' Warehouse, Inc. - Common Stock|Q|N|N|100
CHEV|Cheviot Financial Corp - Common Stock|S|N|N|100
CHFC|Chemical Financial Corporation - Common Stock|Q|N|N|100
CHFN|Charter Financial Corp. - Common Stock|S|N|N|100
CHKE|Cherokee Inc. - Common Stock|Q|N|N|100
CHKP|Check Point Software Technologies Ltd. - Ordinary Shares|Q|N|N|100
CHLN|China Housing & Land Development, Inc. - Common Stock|S|N|N|100
CHMP|Champion Industries, Inc. - Common Stock|G|N|D|100
CHNG|China Natural Gas, Inc. - Common Stock|Q|N|D|100
CHNR|China Natural Resources, Inc. - Common Stock|S|N|N|100
CHOP|China Gerui Advanced Materials Group Limited - Ordinary Shares|Q|N|N|100
CHRM|Charm Communications Inc. - American Depositary Shares representing 2 Class A Ordinary Shares|G|N|N|100
CHRS|Charming Shoppes, Inc. - Common Stock|Q|N|N|100
CHRW|C.H. Robinson Worldwide, Inc. - Common Stock|Q|N|N|100
CHSCP|CHS Inc - 8%  Cumulative Redeemable Preferred Stock|Q|N|N|100
CHSI|Catalyst Health Solutions, Inc - Common Stock|Q|N|N|100
CHTP|Chelsea Therapeutics International, Ltd. - Common Stock|S|N|N|100
CHTR|Charter Communications, Inc. - Class A Common Stock|Q|N|N|100
CHUX|O'Charley's Inc. - Common Stock|Q|N|N|100
CHYR|Chyron Corporation - Common Stock|G|N|N|100
CIDM|Cinedigm Digital Cinema Corp - Class A Common Stock|G|N|N|100
CIEN|Ciena Corporation - Common Stock|Q|N|N|100
CIGX|Star Scientific, Inc. - Common Stock|G|N|N|100
CIMT|Cimatron, Limited - Ordinary Shares|S|N|N|100
CINF|Cincinnati Financial Corporation - Common Stock|Q|N|N|100
CISG|CNinsure Inc. - American depositary shares, each representing 20 ordinary shares|Q|N|N|100
CITZ|CFS Bancorp, Inc. - Common Stock|G|N|N|100
CIZN|Citizens Holding Company - Common Stock|G|N|N|100
CJJD|China Jo-Jo Drugstores, Inc. - Common Stock|S|N|N|100
CKEC|Carmike Cinemas, Inc. - Common Stock|G|N|N|100
CKSW|ClickSoftware Technologies Ltd. - Ordinary Shares|Q|N|N|100
CLBH|Carolina Bank Holdings Inc. - Common Stock|G|N|N|100
CLCT|Collectors Universe, Inc. - Common Stock|G|N|N|100
CLDX|Celldex Therapeutics, Inc - Common Stock|G|N|N|100
CLFD|Clearfield, Inc. - Common Stock|G|N|N|100
CLMS|Calamos Asset Management, Inc. - Class A Common Stock|Q|N|N|100
CLMT|Calumet Specialty Products Partners, L.P. - Common units representing limited partner interests|Q|N|N|100
CLNE|Clean Energy Fuels Corp. - Common Stock|Q|N|N|100
CLNT|Cleantech Solutions International, Inc. - Common Stock|S|N|D|100
CLRO|ClearOne Communications Inc. - Common Stock|S|N|N|100
CLSN|Celsion Corporation - Common Stock|S|N|N|100
CLUB|Town Sports International Holdings, Inc. - Common Stock|G|N|N|100
CLVS|Clovis Oncology, Inc. - Common Stock|Q|N|N|100
CLWR|Clearwire Corporation - Class A Common Stock|Q|N|N|100
CLWT|Euro Tech Holdings Company Limited - Ordinary Shares|S|N|N|100
CMCO|Columbus McKinnon Corporation - Common Stock|Q|N|N|100
CMCSA|Comcast Corporation - Class A Common Stock|Q|N|N|100
CMCSK|Comcast Corporation - Class A Special Common Stock|Q|N|N|100
CME|CME Group Inc. - Class A Common Stock|Q|N|N|100
CMED|China Medical Technologies, Inc. - American Depositary Shares, each representing 10 ordinary shares|Q|N|N|100
CMFB|COMMERCEFIRST BANCORP INC - Common Stock|S|N|N|100
CMLS|Cumulus Media Inc. - Common Stock|Q|N|N|100
CMRG|Casual Male Retail Group, Inc. - Common Stock|Q|N|N|100
CMSB|CMS Bancorp, Inc. - common stock|S|N|N|100
CMTL|Comtech Telecommunications Corp. - Common Stock|Q|N|N|100
CMVT|Comverse Technology, Inc. - Common Stock|Q|N|N|100
CNAF|Commercial National Financial Corporation - Common Stock|G|N|N|100
CNBC|Center Bancorp, Inc. - Common Stock|Q|N|N|100
CNBKA|Century Bancorp, Inc. - Class A Common Stock|G|N|N|100
CNDO|Coronado Biosciences, Inc. - Common Stock|S|N|N|100
CNET|ChinaNet Online Holdings, Inc. - Common Stock|G|N|N|100
CNIT|China Information Technology, Inc. - Common Stock|Q|N|D|100
CNMD|CONMED Corporation - Common Stock|Q|N|N|100
CNQR|Concur Technologies, Inc. - Common Stock|Q|N|N|100
CNSL|Consolidated Communications Holdings, Inc. - Common Stock|Q|N|N|100
CNTF|China TechFaith Wireless Communication Technology Limited - American Depositary Shares, each representing 15 ordinary shares|Q|N|N|100
CNTY|Century Casinos, Inc. - Common Stock|S|N|N|100
CNVO|Convio, Inc. - Common Stock|Q|N|N|100
CNYD|China Yida Holding, Co. - Common Stock|S|N|N|100
COBK|Colonial Financial Services, Inc. - Common Stock|G|N|N|100
COBR|Cobra Electronics Corporation - Common Stock|G|N|N|100
COBZ|CoBiz Financial Inc. - Common Stock|Q|N|N|100
COCO|Corinthian Colleges, Inc. - Common Stock|Q|N|N|100
COGO|Cogo Group, Inc. - Common Stock|Q|N|N|100
COHR|Coherent, Inc. - Common Stock|Q|N|N|100
COHU|Cohu, Inc. - Common Stock|Q|N|N|100
COKE|Coca-Cola Bottling Co. Consolidated - Common Stock|Q|N|N|100
COLB|Columbia Banking System, Inc. - Common Stock|Q|N|N|100
COLM|Columbia Sportswear Company - Common Stock|Q|N|N|100
COMV|Comverge, Inc. - Common Stock|G|N|N|100
CONN|Conn's, Inc. - Common Stock|Q|N|N|100
COOL|Majesco Entertainment Company - Common Stock|S|N|N|100
CORE|Core-Mark Holding Company, Inc. - Common Stock|Q|N|N|100
CORT|Corcept Therapeutics Incorporated - Common Stock|S|N|N|100
COSI|Cosi, Inc. - Common Stock|G|N|D|100
COST|Costco Wholesale Corporation - Common Stock|Q|N|N|100
COWN|Cowen Group, Inc. - Class A Common Stock|Q|N|N|100
CPBC|Community Partners Bancorp - Common Stock|S|N|N|100
CPGI|China Shengda Packaging Group, Inc. - Common Stock|G|N|N|100
CPHC|Canterbury Park Holding Corporation - Common Stock|G|N|N|100
CPHD|CEPHEID - Common Stock|Q|N|N|100
CPIX|Cumberland Pharmaceuticals Inc. - Common Stock|Q|N|N|100
CPLA|Capella Education Company - Common Stock|Q|N|N|100
CPLP|Capital Product Partners L.P. - common units representing limited partner interests|Q|N|N|100
CPNO|Copano Energy, L.L.C. - Common Units representing limited liability company interests|Q|N|N|100
CPRT|Copart, Inc. - Common Stock|Q|N|N|100
CPRX|Catalyst Pharmaceutical Partners, Inc. - Common Stock|S|N|N|100
CPSI|Computer Programs and Systems, Inc. - Common Stock|Q|N|N|100
CPSL|China Precision Steel, Inc. - Common Stock|S|N|D|100
CPSS|Consumer Portfolio Services, Inc. - Common Stock|G|N|D|100
CPST|Capstone Turbine Corporation - Common Stock|G|N|N|100
CPTS|Conceptus, Inc. - Common Stock|Q|N|N|100
CPWM|Cost Plus, Inc. - Common Stock|Q|N|N|100
CPWR|Compuware Corporation - Common Stock|Q|N|N|100
CRAI|CRA International,Inc. - Common Stock|Q|N|N|100
CRAY|Cray Inc - Common Stock|Q|N|N|100
CRBC|Citizens Republic Bancorp, Inc. - Common Stock|S|N|N|100
CRDC|Cardica, Inc. - Common Stock|G|N|N|100
CRDN|Ceradyne, Inc. - Common Stock|Q|N|N|100
CRDS|Crossroads Systems, Inc. - Common Stock|S|N|N|100
CRED|Credo Petroleum Corporation - Common Stock|G|N|N|100
CREE|Cree, Inc. - Common Stock|Q|N|N|100
CREG|China Recycling Energy Corporation - Common Stock|G|N|N|100
CRESW|Cresud S.A.C.I.F. y A. - Warrants 5/22/2015|Q|N|N|100
CRESY|Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock|Q|N|N|100
CRFN|Crescent Financial Bancshares, Inc. - Common Stock|G|N|D|100
CRIC|China Real Estate Information Corporation - American depositary shares, each representing one ordinary share|Q|N|N|100
CRIS|Curis, Inc. - Common Stock|G|N|N|100
CRMB|Crumbs Bake Shop, Inc. - Common Stock|S|N|N|100
CRMBU|Crumbs Bake Shop, Inc. - Units|S|N|N|100
CRMBW|Crumbs Bake Shop, Inc. - Warrants|S|N|N|100
CRME|Cardiome Pharma Corporation - Ordinary Shares (Canada)|G|N|N|100
CRMT|America's Car-Mart, Inc. - Common Stock|Q|N|N|100
CRNT|Ceragon Networks Ltd. - Ordinary Shares|Q|N|N|100
CROX|Crocs, Inc. - Common Stock|Q|N|N|100
CRRB|Carrollton Bancorp - Common Stock|G|N|N|100
CRRC|Courier Corporation - Common Stock|Q|N|N|100
CRTX|Cornerstone Therapeutics Inc. - Common Stock|S|N|N|100
CRUS|Cirrus Logic, Inc. - Common Stock|Q|N|N|100
CRVL|CorVel Corp. - Common Stock|Q|N|N|100
CRWN|Crown Media Holdings, Inc. - Class A Common Stock|G|N|N|100
CRWS|Crown Crafts, Inc. - Common Stock|S|N|N|100
CRYP|CryptoLogic Limited - Common Stock|Q|N|N|100
CRZO|Carrizo Oil & Gas, Inc. - Common Stock|Q|N|N|100
CSBC|Citizens South Banking Corporation - Common Stock|G|N|N|100
CSBK|Clifton Savings Bancorp, Inc. - Common Stock|Q|N|N|100
CSCD|Cascade Microtech, Inc. - Common Stock|G|N|N|100
CSCO|Cisco Systems, Inc. - Common Stock|Q|N|N|100
CSFL|CenterState Banks, Inc. - Common Stock|Q|N|N|100
CSGP|CoStar Group, Inc. - Common Stock|Q|N|N|100
CSGS|CSG Systems International, Inc. - Common Stock|Q|N|N|100
CSII|Cardiovascular Systems, Inc. - Common Stock|G|N|N|100
CSIQ|Canadian Solar Inc. - common shares|Q|N|N|100
CSKI|China Sky One Medical, Inc. - Common Stock|Q|N|N|100
CSOD|Cornerstone OnDemand, Inc. - Common Stock|Q|N|N|100
CSPI|CSP Inc. - Common Stock|G|N|N|100
CSRE|CSR plc - ADS|Q|N|N|100
CSTR|Coinstar, Inc. - Common Stock|Q|N|N|100
CSUN|China Sunergy Co., Ltd. - American Depositary Shares, each representing 18 ordinary shares|Q|N|N|100
CSWC|Capital Southwest Corporation - Common Stock|Q|N|N|100
CTAS|Cintas Corporation - Common Stock|Q|N|N|100
CTBC|The Connecticut Bank and Trust Company - Common Stock|S|N|N|100
CTBI|Community Trust Bancorp, Inc. - Common Stock|Q|N|N|100
CTCH|Commtouch Software Ltd. - Ordinary Shares|S|N|N|100
CTCM|CTC Media, Inc. - Common Stock|Q|N|N|100
CTCT|Constant Contact, Inc. - Common Stock|Q|N|N|100
CTDC|China Technology Development Group Corporation - Common Stock|S|N|D|100
CTEL|City Telecom (H.K.) Limited - American Depositary Shares, each representing 20 Ordinary Shares|Q|N|N|100
CTFO|China TransInfo Technology Corp. - Common Stock|G|N|N|100
CTGX|Computer Task Group, Incorporated - Common Stock|Q|N|N|100
CTHR|Charles & Colvard Ltd - Common Stock|Q|N|N|100
CTIB|CTI Industries Corporation - Common Stock|S|N|N|100
CTIC|Cell Therapeutics, Inc. - Common Stock|S|N|N|100
CTRN|Citi Trends, Inc. - Common Stock|Q|N|N|100
CTRP|Ctrip.com International, Ltd. - American Depositary Shares|Q|N|N|100
CTSH|Cognizant Technology Solutions Corporation - Class A Common Stock|Q|N|N|100
CTWS|Connecticut Water Service, Inc. - Common Stock|Q|N|N|100
CTXS|Citrix Systems, Inc. - Common Stock|Q|N|N|100
CU|First Trust ISE Global Copper Index Fund|G|N|N|100
CUBA|The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd|S|N|N|100
CUTR|Cutera, Inc. - Common Stock|Q|N|N|100
CVBF|CVB Financial Corporation - Common Stock|Q|N|N|100
CVBK|Central Virginia Bankshares, Inc. - Common Stock|S|N|D|100
CVCO|Cavco Industries, Inc. - Common Stock|Q|N|N|100
CVCY|Central Valley Community Bancorp - Common Stock|S|N|N|100
CVGI|Commercial Vehicle Group, Inc. - Common Stock|Q|N|N|100
CVGW|Calavo Growers, Inc. - Common Stock|Q|N|N|100
CVLT|CommVault Systems, Inc. - Common Stock|Q|N|N|100
CVLY|Codorus Valley Bancorp, Inc - Common Stock|G|N|N|100
CVTI|Covenant Transportation Group, Inc. - Class A Common Stock|Q|N|N|100
CVV|CVD Equipment Corporation - Common Stock|S|N|N|100
CVVT|China Valves Technology, Inc. - Common Stock|Q|N|N|100
CWBC|Community West Bancshares - Common Stock|G|N|N|100
CWCO|Consolidated Water Co. Ltd. - Ordinary Shares|Q|N|N|100
CWEI|Clayton Williams Energy, Inc. - Common Stock|Q|N|N|100
CWST|Casella Waste Systems, Inc. - Class A Common Stock|Q|N|N|100
CWTR|Coldwater Creek, Inc. - Common Stock|Q|N|N|100
CXDC|China XD Plastics Company Limited - Common Stock|G|N|N|100
CXPO|Crimson Exploration Inc. - Common Stock|G|N|N|100
CY|Cypress Semiconductor Corporation - Common Stock|Q|N|N|100
CYAN|Cyanotech Corporation - Common Stock|S|N|N|100
CYBE|CyberOptics Corporation - Common Stock|G|N|N|100
CYBI|Cybex International, Inc. - Common Stock|G|N|D|100
CYBX|Cyberonics, Inc. - Common Stock|Q|N|N|100
CYCC|Cyclacel Pharmaceuticals, Inc. - Common Stock|G|N|D|100
CYCCP|Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock|S|N|N|100
CYDE|CyberDefender Corporation - Common Stock|G|N|D|100
CYMI|Cymer, Inc. - Common Stock|Q|N|N|100
CYNO|Cynosure, Inc. - Class A Common Stock|G|N|N|100
CYOU|Changyou.com Limited - American Depositary Shares, each representing two Class A ordinary shares|Q|N|N|100
CYTK|Cytokinetics, Incorporated - Common Stock|Q|N|N|100
CYTR|CytRx Corporation - Common Stock|S|N|D|100
CYTX|Cytori Therapeutics Inc - Common Stock|G|N|N|100
CYTXW|Cytori Therapeutics Inc - Warrants 09/13/2014|G|N|N|100
CZFC|Citizens First Corporation - Common Stock|G|N|N|100
CZNC|Citizens & Northern Corp - Common Stock|S|N|N|100
CZR|Caesars Entertainment Corporation - Common Stock|Q|N|N|100
CZWI|Citizens Community Bancorp, Inc. - Common Stock|G|N|N|100
DAEG|Daegis Inc - Common Stock|S|N|N|100
DAIO|Data I/O Corporation - Common Stock|S|N|N|100
DAKT|Daktronics, Inc. - Common Stock|Q|N|N|100
DARA|DARA Biosciences, Inc. - Common Stock|S|N|D|100
DATE|Jiayuan.com International Ltd. - American Depositary Shares|Q|N|N|100
DAVE|Famous Dave's of America, Inc. - Common Stock|Q|N|N|100
DBLE|Double Eagle Petroleum Company - Common Stock|Q|N|N|100
DBLEP|Double Eagle Petroleum Company - Series A Cumulative Preferred Stock|Q|N|N|100
DCIX|Diana Containerships Inc. - Common Shares|G|N|N|100
DCOM|Dime Community Bancshares, Inc. - Common Stock|Q|N|N|100
DCTH|Delcath Systems, Inc. - Common Stock|S|N|N|100
DDIC|DDi Corp. - Common Stock|Q|N|N|100
DECK|Deckers Outdoor Corporation - Common Stock|Q|N|N|100
DEER|Deer Consumer Products, Inc. - Common Stock|Q|N|N|100
DELL|Dell Inc. - Common Stock|Q|N|N|100
DENN|Denny's Corporation - Common Stock|S|N|N|100
DEPO|Depomed, Inc. - Common Stock|Q|N|N|100
DEST|Destination Maternity Corporation - Common Stock|Q|N|N|100
DFR|CIFC Corp. - Common Stock|S|N|N|100
DFZ|R.G. Barry Corporation - Common Stock|G|N|N|100
DGAS|Delta Natural Gas Company, Inc. - Common Stock|G|N|N|100
DGICA|Donegal Group, Inc. - Class A Common Stock|Q|N|N|100
DGICB|Donegal Group, Inc. - Class B Common Stock|Q|N|N|100
DGII|Digi International Inc. - Common Stock|Q|N|N|100
DGIT|Digital Generation, Inc. - Common Stock|Q|N|N|100
DGLY|Digital Ally, Inc. - Common Stock|S|N|D|100
DHFT|Diamond Hill Financial Trends Fund, Inc. - Closed End Fund|Q|N|N|100
DHIL|Diamond Hill Investment Group, Inc. - Class A Common Stock|Q|N|N|100
DHRM|Dehaier Medical Systems Limited - Common Stock|S|N|N|100
DIAL|Dial Global, Inc. - Common Stock|G|N|N|100
DIOD|Diodes Incorporated - Common Stock|Q|N|N|100
DISCA|Discovery Communications, Inc - Series A Common Stock|Q|N|N|100
DISCB|Discovery Communications, Inc - Series B Common Stock|Q|N|N|100
DISCK|Discovery Communications, Inc - Series C Common Stock|Q|N|N|100
DISH|DISH Network Corporation - Class A Common Stock|Q|N|N|100
DITC|Ditech Networks, Inc. - Common Stock|G|N|D|100
DJCO|Daily Journal Corp. (S.C.) - Common Stock|S|N|N|100
DLGC|Dialogic, Inc. - Common Stock|G|N|N|100
DLIA|dELIA*s Inc. - Common Stock|G|N|N|100
DLLR|DFC Global Corp - Common Stock|Q|N|N|100
DLTR|Dollar Tree, Inc. - Common Stock|Q|N|N|100
DMED|D. Medical Industries Ltd. - Ordinary Shares|S|N|N|100
DMLP|Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests|Q|N|N|100
DMND|Diamond Foods, Inc. - Common Stock|Q|N|E|100
DMRC|Digimarc Corporation - Common Stock|G|N|N|100
DNBF|DNB Financial Corp - Common Stock|S|N|N|100
DNDN|Dendreon Corporation - Common Stock|Q|N|N|100
DNKN|Dunkin' Brands Group, Inc. - Common Stock|Q|N|N|100
DORM|Dorman Products, Inc. - Common Stock|Q|N|N|100
DOVR|Dover Saddlery, Inc. - Common Stock|S|N|N|100
DRAD|Digirad Corporation - Common Stock|G|N|N|100
DRAM|Dataram Corporation - Common Stock|S|N|D|100
DRCO|Dynamics Research Corporation - Common Stock|G|N|N|100
DRIV|Digital River, Inc. - Common Stock|Q|N|N|100
DRRX|Durect Corporation - Common Stock|G|N|N|100
DRWI|DragonWave Inc - Common Shares|Q|N|N|100
DRYS|DryShips Inc. - Common Stock|Q|N|N|100
DSCI|Derma Sciences, Inc. - Common Stock|S|N|N|100
DSCO|Discovery Laboratories, Inc. - Common Stock|S|N|N|100
DSGX|The Descartes Systems Group Inc. - Common Stock|Q|N|N|100
DSPG|DSP Group, Inc. - Common Stock|Q|N|N|100
DSTI|DayStar Technologies, Inc. - Common Stock|S|N|D|100
DSWL|Deswell Industries, Inc. - Common Shares|G|N|N|100
DTLK|Datalink Corporation - Common Stock|G|N|N|100
DTSI|DTS, Inc. - Common Stock|Q|N|N|100
DTV|DIRECTV - Common Stock|Q|N|N|100
DUCK|Duckwall-Alco Stores, Inc. - Common Stock|G|N|N|100
DUSA|DUSA Pharmaceuticals, Inc. - Common Stock|G|N|N|100
DVAX|Dynavax Technologies Corporation - Common Stock|S|N|N|100
DVOX|DynaVox Inc. - Class A Common Stock|Q|N|N|100
DWA|Dreamworks Animation SKG, Inc. - Class A Common Stock|Q|N|N|100
DWCH|Datawatch Corporation - Common Stock|S|N|N|100
DWSN|Dawson Geophysical Company - Common Stock|Q|N|N|100
DXCM|DexCom, Inc. - Common Stock|Q|N|N|100
DXPE|DXP Enterprises, Inc. - Common Stock|Q|N|N|100
DXYN|The Dixie Group, Inc. - Common Stock|G|N|N|100
DYAX|Dyax Corp. - Common Stock|G|N|N|100
DYII|Dynacq Healthcare, Inc. - Common Stock|G|N|N|100
DYNT|Dynatronics Corporation - Common Stock|S|N|D|100
DYSL|Dynasil Corporation of America - Common Stock|G|N|N|100
EA|Electronic Arts Inc. - Common Stock|Q|N|N|100
EAGL|Global Eagle Acquisition Corp. - Common Stock|S|N|N|100
EAGLU|Global Eagle Acquisition Corp. - Unit|S|N|N|100
EAGLW|Global Eagle Acquisition Corp. - Warrant|S|N|N|100
EBAY|eBay Inc. - Common Stock|Q|N|N|100
EBIX|Ebix Inc - Common Stock|Q|N|N|100
EBMT|Eagle Bancorp Montana, Inc. - Common Stock|G|N|N|100
EBSB|Meridian Interstate Bancorp, Inc. - Common Stock|Q|N|N|100
EBTC|Enterprise Bancorp Inc - Common Stock|G|N|N|100
EBTX|Encore Bancshares, Inc. - Common Stock|G|N|N|100
ECHO|Echo Global Logistics, Inc. - Common Stock|Q|N|N|100
ECOL|US Ecology, Inc. - Common Stock|Q|N|N|100
ECPG|Encore Capital Group Inc - Common Stock|Q|N|N|100
ECTE|Echo Therapeutics, Inc. - Common Stock|S|N|N|100
ECTY|Ecotality, Inc. - Common Stock|S|N|N|100
ECYT|Endocyte, Inc. - Common Stock|Q|N|N|100
EDAC|Edac Technologies Corporation - Common Stock|S|N|N|100
EDAP|EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share|G|N|N|100
EDGR|EDGAR Online, Inc. - Common Stock|S|N|D|100
EDGW|Edgewater Technology, Inc. - Common Stock|G|N|N|100
EDMC|Education Management Corporation - Common Stock|Q|N|N|100
EDS|Exceed Company Ltd. - Common Stock|Q|N|N|100
EDUC|Educational Development Corporation - Common Stock|G|N|N|100
EEFT|Euronet Worldwide, Inc. - Common Stock|Q|N|N|100
EEI|Ecology and Environment, Inc. - Class A Common Stock|G|N|N|100
EEMA|iShares MSCI Emerging Markets Asia Index Fund|G|N|N|100
EEME|iShares MSCI Emerging Markets EMEA Index Fund|G|N|N|100
EEML|iShares MSCI Emerging Markets Latin America Index Fund|G|N|N|100
EF|Edelman Financial Group Inc. (The) - Common Stock|Q|N|N|100
EFII|Electronics for Imaging, Inc. - Common Stock|Q|N|N|100
EFSC|Enterprise Financial Services Corporation - Common Stock|Q|N|N|100
EFUT|eFuture Information Technology Inc. - Ordinary Shares|S|N|N|100
EGAN|eGain Communications Corporation - Common Stock|S|N|N|100
EGBN|Eagle Bancorp, Inc. - Common Stock|S|N|N|100
EGHT|8x8 Inc - Common Stock|S|N|N|100
EGLE|Eagle Bulk Shipping Inc. - common stock|Q|N|N|100
EGOV|NIC Inc. - Common Stock|Q|N|N|100
EGRW|iShares MSCI Emerging Markets Growth Index Fund|G|N|N|100
EHTH|eHealth, Inc. - Common Stock|Q|N|N|100
EIHI|Eastern Insurance Holdings, Inc. - common stock, no par value|G|N|N|100
ELGX|Endologix  Inc - Common Stock|Q|N|N|100
ELNK|EarthLink, Inc. - Common Stock|Q|N|N|100
ELON|Echelon Corporation - Common Stock|Q|N|N|100
ELOS|Syneron Medical Ltd. - Ordinary Shares|Q|N|N|100
ELRC|Electro Rent Corporation - Common Stock|Q|N|N|100
ELSE|Electro-Sensors, Inc. - Common Stock|S|N|N|100
ELTK|Eltek Ltd. - Ordinary Shares|S|N|N|100
EMCF|Emclaire Financial Corp - Common Stock|S|N|N|100
EMCI|EMC Insurance Group, Inc. - Common Stock|Q|N|N|100
EMDI|iShares MSCI Emerging Markets Consumer Discrectionary Sector Index Fund|G|N|N|100
EMEY|iShares MSCI Emerging Markets Energy Sector Capped Index Fund|G|N|N|100
