symbol	name	safename
USDE	USDe	usde
BIP	BipCoin	bipcoin
SFC	Solarflarecoin	solarflarecoin
NEVA	NevaCoin	nevacoin
XCS	CybCSec	cybcsec
XBTS	Beatcoin	beatcoin
PIE	PIECoin	piecoin
MAY	Theresa May Coin	theresa-may-coin
SPT	Spots	spots
BITGOLD	bitGold	bitgold
BENJI	BenjiRolls	benjirolls
LEA	LeaCoin	leacoin
COXST	CoExistCoin	coexistcoin
RMC	Remicoin	remicoin
IMX	Impact	impact
BLN	Bolenum	bolenum
AERM	Aerium	aerium
QCN	QuazarCoin	quazarcoin
MST	MustangCoin	mustangcoin
SONG	SongCoin	songcoin
LUNA	Luna Coin	luna-coin
BTPL	Bitcoin Planet	bitcoin-planet
DRS	Digital Rupees	digital-rupees
WORM	HealthyWormCoin	healthywormcoin
E4ROW	E4ROW	ether-for-the-rest-of-the-world
ASAFE2	AllSafe	allsafe
300	300 Token	300-token
OFF	Cthulhu Offer...	cthulhu-offerings
PULSE	Pulse	pulse
CWXT	CryptoWorldX ...	cryptoworldx-token
ROOFS	Roofs	roofs
CF	Californium	californium
MSCN	Master Swiscoin	master-swiscoin
SOCC	SocialCoin	socialcoin-socc
ICON	Iconic	iconic
EXN	ExchangeN	exchangen
PRX	Printerium	printerium
WBB	Wild Beast Block	wild-beast-block
WOMEN	WomenCoin	women
SLEVIN	Slevin	slevin
BITEUR	bitEUR	biteur
QBC	Quebecoin	quebecoin
TYCHO	Tychocoin	tychocoin
UET	Useless Ether...	useless-ethereum-token
MILO	MiloCoin	milocoin
ATX	Artex Coin	artex-coin
PRC	PRCoin	prcoin
DOLLAR	Dollar Online	dollar-online
VPRC	VapersCoin	vaperscoin
PLACO	PlayerCoin	playercoin
XBTC21	Bitcoin 21	bitcoin-21
CRDNC	Credence Coin	credence-coin
JS	JavaScript Token	javascript-token
PEX	PosEx	posex
BIOS	BiosCrypto	bios-crypto
CTIC3	Coimatic 3.0	coimatic-3
LTCU	LiteCoin Ultra	litecoin-ultra
BSTAR	Blackstar	blackstar
DIBC	DIBCOIN	dibcoin
ACP	AnarchistsPrime	anarchistsprime
FXE	FuturXe	futurexe
LTCR	Litecred	litecred
GEERT	GeertCoin	geertcoin
ARGUS	Argus	argus
VRS	Veros	veros
CREVA	CrevaCoin	crevacoin
ELS	Elysium	elysium
JOBS	JobsCoin	jobscoin
KNC	KingN Coin	kingn-coin
LVPS	LevoPlus	levoplus
RIDE	Ride My Car	ride-my-car
SCS	Speedcash	speedcash
CTIC2	Coimatic 2.0	coimatic-2
ALTC	Antilitecoin	antilitecoin
AGLC	AgrolifeCoin	agrolifecoin
XRC	Rawcoin	rawcoin2
VOLT	Bitvolt	bitvolt
CAB	Cabbage	cabbage
MGM	Magnum	magnum
SANDG	Save and Gain	save-and-gain
NODC	NodeCoin	nodecoin
GSR	GeyserCoin	geysercoin
ZNE	Zonecoin	zonecoin
P7C	P7Coin	p7coin
NANOX	Project-X	project-x
TSTR	Tristar Coin	tristar-coin
SLFI	Selfiecoin	selfiecoin
XNG	Enigma	enigma
HMC	HarmonyCoin	harmonycoin-hmc
EBT	Ebittree Coin	ebittree-coin
DGCS	Digital Credits	digital-credits
DMB	Digital Money...	digital-money-bits
ABN	Abncoin	abncoin
CALC	CaliphCoin	caliphcoin
ECA	Electra	electra
PHO	Photon	photon
GCN	GCoin	gcoin
VTA	Virtacoin	virtacoin
NKA	IncaKoin	incakoin
XTO	Tao	tao
808	808Coin	808coin
RUSTBITS	Rustbits	rustbits
INPAY	InPay	inpay
YASH	YashCoin	yashcoin
SIFT	Smart Investm...	smart-investment-fund-token
CRYPT	CryptCoin	cryptcoin
EMV	Ethereum Movi...	ethereum-movie-venture
FIMK	FIMKrypto	fimkrypto
MNC	Mincoin	mincoin
POP	PopularCoin	popularcoin
LOT	LottoCoin	lottocoin
SHORTY	Shorty	shorty
JNS	Janus	janus
B@	Bankcoin	bankcoin
SDC	ShadowCash	shadowcash
METAL	MetalCoin	metalcoin
ITZ	Interzone	interzone
ITT	Intelligent T...	intelligent-trading-tech
MRJA	GanjaCoin	ganjacoin
WYV	Wyvern	wyvern
BRIA	BriaCoin	briacoin
BLZ	BlazeCoin	blazecoin
WAY	WayGuide	wayguide
SCRT	SecretCoin	secretcoin
NEWB	Newbium	newbium
MUT	Mutual Coin	mutual-coin
CASINO	Casino	casino
MAO	Mao Zedong	mao-zedong
FLY	Flycoin	flycoin
SH	Shilling	shilling
TALK	BTCtalkcoin	btctalkcoin
J	Joincoin	joincoin
ISL	IslaCoin	islacoin
FRC	Freicoin	freicoin
RBIES	Rubies	rubies
CYP	Cypher	cypher
SLING	Sling	sling
BITZ	Bitz	bitz
MEOW	Kittehcoin	kittehcoin
FRK	Franko	franko
FIRE	Firecoin	firecoin
WMC	WMCoin	wmcoin
SAC	SACoin	sacoin
YAC	Yacoin	yacoin
ANTI	AntiBitcoin	antibitcoin
DLC	Dollarcoin	dollarcoin
CTO	Crypto	crypto
VEC2	VectorAI	vector
BOST	BoostCoin	boostcoin
WARP	WARP	warp
GCC	GuccioneCoin	guccionecoin
URC	Unrealcoin	unrealcoin
URO	Uro	uro
VIP	VIP Tokens	vip-tokens
DES	Destiny	destiny
PLNC	PLNcoin	plncoin
DBTC	Debitcoin	debitcoin
FLVR	FlavorCoin	flavorcoin
QBK	Qibuck Asset	qibuck-asset
TOR	Torcoin	torcoin-tor
BTQ	BitQuark	bitquark
BVC	BeaverCoin	beavercoin
DRM	Dreamcoin	dreamcoin
BRAIN	Braincoin	braincoin
STEPS	Steps	steps
BLRY	BillaryCoin	billarycoin
JWL	Jewels	jewels
ZYD	Zayedcoin	zayedcoin
MND	MindCoin	mindcoin
GBT	GameBet Coin	gamebet-coin
ADCN	Asiadigicoin	asiadigicoin
EGO	EGO	ego
G3N	G3N	genstake
RSGP	RSGPcoin	rsgpcoin
MRNG	MorningStar	morningstar-payments
ORLY	Orlycoin	orlycoin
BSC	BowsCoin	bowscoin
MTM	MTMGaming	mtmgaming
IMPS	ImpulseCoin	impulsecoin
CESC	CryptoEscudo	cryptoescudo
DLISK	DAPPSTER	dappster
ARB	ARbit	arbit
TAGR	TAGRcoin	tagrcoin
CRT	CRTCoin	crtcoin
CASH	Cashcoin	cashcoin
OS76	OsmiumCoin	osmiumcoin
HVCO	High Voltage	high-voltage
PONZI	PonziCoin	ponzicoin
LIR	LetItRide	letitride
CRTM	Corethum	corethum
XOC	Xonecoin	xonecoin
IBANK	iBank	ibank
FRAZ	Frazcoin	frazcoin
GBC	GBCGoldCoin	gbcgoldcoin
BIOB	BioBar	biobar
CCM100	CCMiner	ccminer
SDP	SydPak	sydpak
LEX	Lex4All	lex4all
CONX	Concoin	concoin
SOJ	Sojourn	sojourn
ULA	Ulatech	ulatech
PIZZA	PizzaCoin	pizzacoin
OCEAN	BurstOcean	burstocean
APW	AppleCoin	applecoin-apw
APPC	AppCoins	appcoins
ATMC	ATMCoin	atmcoin
NAS	Nebulas	nebulas-token
GNX	Genaro Network	genaro-network
SMT	SmartMesh	smartmesh
CAN	CanYaCoin	canyacoin
MDS	MediShares	medishares
GTC	Game	game
BIX	Bibox Token	bibox-token
BCD	Bitcoin Diamond	bitcoin-diamond
QLC	QLINK	qlink
MOT	Olympus Labs	olympus-labs
TSL	Energo	energo
AMM	MicroMoney	micromoney
SPHTX	SophiaTX	sophiatx
HTML	HTMLCOIN	html-coin
CAT	BitClave	bitclave
DEW	DEW	dew
ACE	Ace	ace
HPY	Hyper Pay	hyper-pay
QBT	Qbao	qbao
PRO	ProChain	prochain
BCX	BitcoinX [Fut...	bitcoinx
SBTC	Super Bitcoin	super-bitcoin
IGNIS	Ignis	ignis
SHND	StrongHands	stronghands
DIM	DIMCOIN	dimcoin
INF	InfChain	infchain
NGC	NAGA	naga
B2X	SegWit2x [Fut...	segwit2x
CAPP	Cappasity	cappasity
FRGC	Fargocoin	fargocoin
CLUB	ClubCoin	clubcoin
ENT	ENTCash	entcash
LLT	LLToken	lltoken
XTZ	Tezos (Pre-La...	tezos
CMS	COMSA [ETH]	comsa-eth
MKR	Maker	maker
BIG	BigONE Token	bigone-token
UGT	UG Token	ug-token
FIL	Filecoin [Fut...	filecoin
WC	WINCOIN	win-coin
SFE	SafeCoin	safecoin
TAU	Lamden	lamden
VIU	Viuly	viuly
CMS	COMSA [XEM]	comsa-xem
GBG	Golos Gold	golos-gold
BTCA	Bitair	bitair
HBC	HomeBlockCoin	homeblockcoin
HTML5	HTML5COIN	htmlcoin
EAG	EA Coin	ea-coin
XID	Sphre AIR 	sphre-air
IFC	Infinitecoin	infinitecoin
LBTC	Lightning Bit...	lightning-bitcoin
IRL	IrishCoin	irishcoin
BTE	BitSerial	bitserial
BCDN	BlockCDN	blockcdn
KARMA	Karmacoin	karmacoin
QBT	Cubits	cubits
ESC	Escroco	escoro
UQC	Uquid Coin	uquid-coin
BSR	BitSoar	bitsoar
UBTC	United Bitcoin	united-bitcoin
TOK	Tokugawa	tokugawa
COUPE	Coupecoin	coupecoin
XIN	Infinity Econ...	infinity-economics
DAV	DavorCoin	davorcoin
MAGN	Magnetcoin	magnetcoin
AI	POLY AI	poly-ai
TIE	TIES Network	ties-network
PLAY	HEROcoin	herocoin
VASH	VPNCoin	vpncoin
KBR	Kubera Coin	kubera-coin
GOLF	Golfcoin	golfcoin
GRX	GOLD Reward T...	gold-reward-token
ANI	Animecoin	animecoin
EXRN	EXRNchain	exrnchain
SBC	StrikeBitClub	strikebitclub
TER	TerraNova	terranova
SIGMA	SIGMAcoin	sigmacoin
SJCX	Storjcoin X	storjcoin-x
MAGE	MagicCoin	magiccoin
TURBO	TurboCoin	turbocoin
FDX	FidentiaX	fidentiax
SAFEX	Safe Exchange...	safe-exchange-coin
PLC	PlusCoin	pluscoin
BXC	Bitcedi	bitcedi
PCN	PeepCoin	peepcoin
CPAY	Cryptopay	cryptopay
ACC	AdCoin	adcoin
PYLNT	Pylon Network	pylon-network
WAND	WandX	wandx
STAR	Starbase	starbase
ZENGOLD	ZenGold	zengold
CYDER	Cyder	cyder
XSTC	Safe Trade Coin	safe-trade-coin
BOS	BOScoin	boscoin
MSD	MSD	msd
SUR	Suretly	suretly
DMC	DynamicCoin	dynamiccoin
ETT	EncryptoTel [...	encryptotel-eth
NEOG	NEO GOLD	neo-gold
THS	TechShares	techshares
MTX	Matryx	matryx
MGC	MergeCoin	mergecoin
TODAY	TodayCoin	todaycoin
TCOIN	T-coin	t-coin
BITOK	Bitok	bitok
SISA	SISA	sisa
PAYP	PayPeer	paypeer
PEC	Peacecoin	peacecoin
SHA	SHACoin	shacoin
FONZ	Fonziecoin	fonziecoin
BTCS	Bitcoin Silver	bitcoin-silver
TOP	TopCoin	topcoin
GAIN	UGAIN	ugain
BEST	BestChain	bestchain
VULC	Vulcano	vulcano
GAY	GAY Money	gaycoin
PLX	PlexCoin	plexcoin
MARX	MarxCoin	marxcoin
UR	UR	ur
DAY	Chronologic	chronologic
BT2	BT2 [CST]	bt2-cst
EVR	Everus	everus
BTCM	BTCMoon	btcmoon
SKR	Sakuracoin	sakuracoin
WIC	Wi Coin	wi-coin
BT1	BT1 [CST]	bt1-cst
PRN	Protean	protean
SCT	Soma	soma
ABC	Alphabit	alphabitcoinfund
FLAP	FlappyCoin	flappycoin
HDLB	HODL Bucks	hodl-bucks
LTG	LiteCoin Gold	litecoin-gold
MINEX	Minex	minex
WOW	Wowcoin	wowcoin
SKC	Skeincoin	skeincoin
DON	Donationcoin	donationcoin
IQT	iQuant	iquant
CYC	Cycling Coin	cycling-coin
XTD	XTD Coin	xtd-coin
FUDD	DimonCoin	dimoncoin
ACES	Aces	aces
EDRC	EDRCoin	edrcoin
MONEY	MoneyCoin	moneycoin
UNRC	UniversalRoya...	universalroyalcoin
COR	CORION	corion
SAK	Sharkcoin	sharkcoin
INDIA	India Coin	india-coin
MCI	Musiconomi	musiconomi
DUTCH	Dutch Coin	dutch-coin
WSX	WeAreSatoshi	wearesatoshi
FAP	FAPcoin	fapcoin
PNX	Phantomx	phantomx
YES	Yescoin	yescoin
ACN	Avoncoin	avoncoin
RYZ	ANRYZE	anryze
CMP	Compcoin	compcoin
RCN	Rcoin	rcoin
TRIA	Triaconta	triaconta
RUNNERS	Runners	runners
TELL	Tellurion	tellurion
FRN	Francs	francs
ELITE	Ethereum Lite	ethereum-lite
EUSD	eUSD	eusd
TEAM	TeamUp	teamup
FAZZ	Fazzcoin	fazzcoin
UNC	UNCoin	uncoin
WINK	Wink	wink
SKULL	Pirate Blocks	pirate-blocks
ASN	Aseancoin	aseancoin
STEX	STEX	stex
EVC	EventChain	eventchain
FID	BITFID	bitfid
ZSE	ZSEcoin	zsecoin
SND	Sand Coin	sand-coin
ZBC	Zilbercoin	zilbercoin
OX	OX Fina	ox-fina
RUPX	Rupaya [OLD]	rupaya-old
AKY	Akuya Coin	akuya-coin
HIGH	High Gain	high-gain
BLX	Blockchain Index	blockchain-index
ELC	Elacoin	elacoin
GLS	GlassCoin	glasscoin
APC	AlpaCoin	alpacoin
BTC2X	Bitcoin2x	bitcoin2x
FFC	FireFlyCoin	fireflycoin
PRIMU	Primulon	primulon
NAMO	NamoCoin	namocoin
PRES	President Trump	president-trump
DEUS	DeusCoin	deuscoin
BLAZR	BlazerCoin	blazercoin
HALLO	Halloween Coin	halloween-coin
BSN	Bastonet	bastonet
GRN	Granite	granitecoin
UAHPAY	UAHPay	uahpay
IPY	Infinity Pay	infinity-pay
BTBc	Bitbase	bitbase
LKC	LinkedCoin	linkedcoin
ANTX	Antimatter	antimatter
BIRDS	Birds	birds
X2	X2	x2
HNC	Huncoin	huncoin
DISK	DarkLisk	darklisk
EGOLD	eGold	egold
MCR	Macro	macro1
MONETA	Moneta	moneta2
LDCN	LandCoin	landcoin
CC	CyberCoin	cybercoin
LEPEN	LePen	lepen
DBG	Digital Bulli...	digital-bullion-gold
TOPAZ	Topaz Coin	topaz
PSY	Psilocybin	psilocybin
MAVRO	Mavro	mavro
NBIT	netBit	netbit
BUB	Bubble	bubble
GBRC	Global Busine...	global-business-revolution
SPORT	SportsCoin	sportscoin
HYTV	Hyper TV	hyper-tv
XOT	Internet of T...	internet-of-things
TCR	TheCreed	thecreed
IBTC	iBTC	ibtc
GARY	President Joh...	president-johnson
TESLA	TeslaCoilCoin	teslacoilcoin
BITCF	First Bitcoin...	first-bitcoin-capital
WA	WA Space	wa-space
10MT	10M Token	10mtoken
BIT	First Bitcoin	first-bitcoin
POKE	PokeCoin	pokecoin
HYPER	Hyper	hyper
RUBIT	RubleBit	rublebit
CASH	Cash Poker Pro	cash-poker-pro
REGA	Regacoin	regacoin
PDG	PinkDog	pinkdog
QORA	Qora	qora
PCS	Pabyosi Coin ...	pabyosi-coin-special
KASHH	KashhCoin	kashhcoin
EBIT	eBIT	ebit
DASHS	Dashs	dashs
GMX	GoldMaxCoin	goldmaxcoin
CHEAP	Cheapcoin	cheapcoin
AXIOM	Axiom	axiom
ROYAL	RoyalCoin	royalcoin
XVE	The Vegan Ini...	the-vegan-initiative
BET	BetaCoin	betacoin
TERA	TeraCoin	teracoin
ELTC2	eLTC	eltc
CBD	CBD Crystals	cbd-crystals
UTA	UtaCoin	utacoin
IVZ	InvisibleCoin	invisiblecoin
PRM	PrismChain	prismchain
YEL	Yellow Token	yellow-token
MMXVI	MMXVI	mmxvi
FBL	Faceblock	faceblock
LTH	LAthaan	lathaan
CME	Cashme	cashme
LAZ	Lazaruscoin	lazaruscoin
XQN	Quotient	quotient
XDE2	XDE II	xde-ii
FC	Facecoin	facecoin
SNAKE	SnakeEyes	snakeeyes
9COIN	9COIN	9coin
SHELL	ShellCoin	shellcoin
VOYA	Voyacoin	voyacoin
EGG	EggCoin	eggcoin
NTC	Natcoin	natcoin
TLE	Tattoocoin (L...	tattoocoin-limited
XAU	Xaucoin	xaucoin
HCC	Happy Creator...	happy-creator-coin
GML	GameLeagueCoin	gameleaguecoin
BAC	BitAlphaCoin	bitalphacoin
SWP	Swapcoin	swapcoin
FRWC	FrankyWillCoin	frankywillcoin
OPES	Opescoin	opescoin
OMC	Omicron	omicron
DUB	Dubstep	dubstep
TRICK	TrickyCoin	trickycoin
OP	Operand	operand
DCRE	DeltaCredits	deltacredits
XID	International...	international-diamond
MBL	MobileCash	mobilecash
MEN	PeopleCoin	peoplecoin
RICHX	RichCoin	richcoin
GUC	GoldUnionCoin	goldunioncoin
BAT	BatCoin	batcoin
RBBT	RabbitCoin	rabbitcoin
BGR	Bongger	bongger
FUTC	FutCoin	futcoin
AV	AvatarCoin	avatarcoin
RHFC	RHFCoin	rhfcoin
ADK	Aidos Kuneen	aidos-kuneen
XRY	Royalties	royalties
EMB	EmberCoin	embercoin
CSC	CasinoCoin	casinocoin
OCOW	OCOW	ocow
BTU	Bitcoin Unlim...	bitcoin-unlimited
XYLO	XYLO	xylo
STC	Santa Coin	santa-coin
QC	QCash	qcash
FRCT	Farstcoin	farstcoin
MDC	Madcoin	madcoin
