kind,scientific_name,common_name,aliases,planted,thumbnail
Plant,"Iris unguicularis","Algerian Iris",,2018-11-12,"<a href='http://savage.net.au/Flowers/Iris.unguicularis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Iris.unguicularis.0.jpg' alt = ""Iris unguicularis""></a>"
Plant,"Iris unknown",Iris,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Iris.unknown.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Iris.unknown.0.jpg' alt = ""Iris unknown""></a>"
Plant,"Isopogon latifolius","Isopogon latifolius","Pink Coneflower",2018-11-12,"<a href='http://savage.net.au/Flowers/Isopogon.latifolius.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Isopogon.latifolius.0.jpg' alt = ""Isopogon latifolius""></a>"
Tree,"Jacaranda mimosifolia",Jacaranda,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Jacaranda.mimosifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Jacaranda.mimosifolia.0.jpg' alt = ""Jacaranda mimosifolia""></a>"
Plant,"Kennedia beckxiana","Kennedia beckxiana","Cape Arid Climber",2018-11-12,"<a href='http://savage.net.au/Flowers/Kennedia.beckxiana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.beckxiana.0.jpg' alt = ""Kennedia beckxiana""></a>"
Plant,"Kennedia coccinea","Kennedia coccinea","Coral Vine",2018-11-12,"<a href='http://savage.net.au/Flowers/Kennedia.coccinea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.coccinea.0.jpg' alt = ""Kennedia coccinea""></a>"
Plant,"Kennedia macrophylla","Kennedia macrophylla",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Kennedia.macrophylla.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.macrophylla.0.jpg' alt = ""Kennedia macrophylla""></a>"
Plant,"Kennedia nigricans","Kennedia nigricans","Black Coral Pea, Black Kennedia",2018-11-12,"<a href='http://savage.net.au/Flowers/Kennedia.nigricans.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.nigricans.0.jpg' alt = ""Kennedia nigricans""></a>"
Plant,"Kennedia prostrata","Kennedia prostrata",RunningPostman,2018-11-26,"<a href='http://savage.net.au/Flowers/Kennedia.prostrata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.prostrata.0.jpg' alt = ""Kennedia prostrata""></a>"
Plant,"Kennedia rubicunda","Kennedia rubicunda","Dusky Coral Pea",2018-11-12,"<a href='http://savage.net.au/Flowers/Kennedia.rubicunda.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.rubicunda.0.jpg' alt = ""Kennedia rubicunda""></a>"
Plant,"Kunzea baxterii nana",Kunzea,"'Mandy's Surprise'",2018-11-12,"<a href='http://savage.net.au/Flowers/Kunzea.baxterii.nana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kunzea.baxterii.nana.0.jpg' alt = ""Kunzea baxterii nana""></a>"
Vegetable,"Lactuca savita",Lettuce,"Mignonette Mix",2018-12-30,"<a href='http://savage.net.au/Flowers/Lactuca.savita.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lactuca.savita.0.jpg' alt = ""Lactuca savita""></a>"
Tree,"Lagerstromeia indica x L. Fauriei","Crepe Myrtle",'Tuscarora',2018-11-12,"<a href='http://savage.net.au/Flowers/Lagerstromeia.indica.x.l.fauriei.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lagerstromeia.indica.x.l.fauriei.0.jpg' alt = ""Lagerstromeia indica x L. Fauriei""></a>"
Plant,Lamium,"Beacon Silver",Dead-nettles,2018-11-12,"<a href='http://savage.net.au/Flowers/Lamium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lamium.0.jpg' alt = ""Lamium""></a>"
Plant,Lechenaultia,Lechenaultia,"'Midnight Blue'",2018-11-12,"<a href='http://savage.net.au/Flowers/Lechenaultia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lechenaultia.0.jpg' alt = ""Lechenaultia""></a>"
Plant,"Lechenaultia biloba","Lechenaultia biloba","Sky Blue Form",2018-11-12,"<a href='http://savage.net.au/Flowers/Lechenaultia.biloba.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lechenaultia.biloba.0.jpg' alt = ""Lechenaultia biloba""></a>"
Tree,"Leptospermum ","Tea Tree 2","A type of myrtle, 'Rudolph'",2018-11-12,"<a href='http://savage.net.au/Flowers/Leptospermum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Leptospermum.0.jpg' alt = ""Leptospermum ""></a>"
Tree,"Leptospermum obovatum anisophyllea","Tea Tree 1","A type of myrtle",2018-11-12,"<a href='http://savage.net.au/Flowers/Leptospermum.obovatum.anisophyllea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Leptospermum.obovatum.anisophyllea.0.jpg' alt = ""Leptospermum obovatum anisophyllea""></a>"
Plant,"Leucojum vernum","Spring Snowflake",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Leucojum.vernum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Leucojum.vernum.0.jpg' alt = ""Leucojum vernum""></a>"
Plant,"Levisticum officinale",Lovage,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Levisticum.officinale.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Levisticum.officinale.0.jpg' alt = ""Levisticum officinale""></a>"
Plant,Lilium,Lily,"Asiatic Matisse Lily, Oriental Lily",2018-11-12,"<a href='http://savage.net.au/Flowers/Lilium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lilium.0.jpg' alt = ""Lilium""></a>"
Plant,"Limonium perezii","Perezii Blue","'Perennial Statice'",2018-11-12,"<a href='http://savage.net.au/Flowers/Limonium.perezii.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Limonium.perezii.0.jpg' alt = ""Limonium perezii""></a>"
Plant,"Liriope muscari","Big Blue Lilyturf",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Liriope.muscari.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Liriope.muscari.0.jpg' alt = ""Liriope muscari""></a>"
Plant,"Lomandra longifolia x confertifolia ssp. pallida",LittleLime,-,2018-12-16,"<a href='http://savage.net.au/Flowers/Lomandra.longifolia.x.confertifolia.ssp.pallida.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lomandra.longifolia.x.confertifolia.ssp.pallida.0.jpg' alt = ""Lomandra longifolia x confertifolia ssp. pallida""></a>"
Plant,"Lonicera periclymenum",Honeysuckle,"Common honeysuckle, European honeysuckle, <br>Woodbine",2018-11-12,"<a href='http://savage.net.au/Flowers/Lonicera.periclymenum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lonicera.periclymenum.0.jpg' alt = ""Lonicera periclymenum""></a>"
Plant,"Loropetalum chinense","Chinese witch hazel","Chinese fringe flower, 'Purple Prince'",2018-11-12,"<a href='http://savage.net.au/Flowers/Loropetalum.chinense.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Loropetalum.chinense.0.jpg' alt = ""Loropetalum chinense""></a>"
Plant,"Loropetalum chinense var. rubrum","Chinese fringe flower","Chinese witch hazel, 'China Pink'",2018-11-12,"<a href='http://savage.net.au/Flowers/Loropetalum.chinense.var.rubrum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Loropetalum.chinense.var.rubrum.0.jpg' alt = ""Loropetalum chinense var. rubrum""></a>"
Plant,"Lunaria annua",Honesty,"Annual honesty",2018-11-12,"<a href='http://savage.net.au/Flowers/Lunaria.annua.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lunaria.annua.0.jpg' alt = ""Lunaria annua""></a>"
Plant,"Lycium barbarum","Goji Berry Plant",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Lycium.barbarum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lycium.barbarum.0.jpg' alt = ""Lycium barbarum""></a>"
Tree,"Malus domestica 3",Apple,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.3.0.jpg' alt = ""Malus domestica 3""></a>"
Tree,"Malus domestica Harmony",Harmony,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.harmony.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.harmony.0.jpg' alt = ""Malus domestica Harmony""></a>"
Tree,"Malus domestica Leprechaun",Leprechaun,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.leprechaun.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.leprechaun.0.jpg' alt = ""Malus domestica Leprechaun""></a>"
Tree,"Malus domestica 'Pine Golden Pippin'","Pine Golden Pippin",,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.pine.golden.pippin.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pine.golden.pippin.0.jpg' alt = ""Malus domestica 'Pine Golden Pippin'""></a>"
Tree,"Malus domestica Pinkabelle®",Pinkabelle®,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.pinkabelle.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pinkabelle.0.jpg' alt = ""Malus domestica Pinkabelle®""></a>"
Tree,"Malus domestica 'Pitmaston Pine'","Pitmaston Pine",,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.pitmaston.pine.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pitmaston.pine.0.jpg' alt = ""Malus domestica 'Pitmaston Pine'""></a>"
Tree,"Malus domestica Pom-for-You",Pom-for-You,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.pom-for-you.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pom-for-you.0.jpg' alt = ""Malus domestica Pom-for-You""></a>"
Tree,"Malus domestica Pompink",Pompink,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Malus.domestica.pompink.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pompink.0.jpg' alt = ""Malus domestica Pompink""></a>"
Plant,"Mandevilla hybrid 1","Aloha Dark Red","'Aloha Dark Red'",2018-11-12,"<a href='http://savage.net.au/Flowers/Mandevilla.hybrid.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mandevilla.hybrid.1.0.jpg' alt = ""Mandevilla hybrid 1""></a>"
Plant,"Mandevilla hybrid 2","Aloha Regal Ruby","'Aloha Regal Ruby'",2018-11-12,"<a href='http://savage.net.au/Flowers/Mandevilla.hybrid.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mandevilla.hybrid.2.0.jpg' alt = ""Mandevilla hybrid 2""></a>"
Plant,"Mandevilla laxa","Chilean Jasmine",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Mandevilla.laxa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mandevilla.laxa.0.jpg' alt = ""Mandevilla laxa""></a>"
Herb,"Mentha spicata",Spearmint,"Common mint, garden mint, lamb mint, <br>mackerel mint, Mentha spicata 'Moroccan', <br>Mentha spicata 'Nana', Mentha viridis",2018-11-12,"<a href='http://savage.net.au/Flowers/Mentha.spicata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mentha.spicata.0.jpg' alt = ""Mentha spicata""></a>"
Plant,"Monstera deliciosa",Monstera,"Balazo, Ceriman",2018-11-12,"<a href='http://savage.net.au/Flowers/Monstera.deliciosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Monstera.deliciosa.0.jpg' alt = ""Monstera deliciosa""></a>"
Plant,"Nandina domestica","Heavenly Bamboo","Nandina, Sacred bamboo",2018-11-12,"<a href='http://savage.net.au/Flowers/Nandina.domestica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Nandina.domestica.0.jpg' alt = ""Nandina domestica""></a>"
Plant,"Narcissus papyraceus",Narcissus,Paperwhite,2018-11-12,"<a href='http://savage.net.au/Flowers/Narcissus.papyraceus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Narcissus.papyraceus.0.jpg' alt = ""Narcissus papyraceus""></a>"
Plant,Nierembergia,Nierembergia,"'Blue Wonder'",2018-11-12,"<a href='http://savage.net.au/Flowers/Nierembergia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Nierembergia.0.jpg' alt = ""Nierembergia""></a>"
Herb,"Ocimum basilicum","Genovese Basil","Genovese Bbasil, great basil, king of herbs, <br>royal herb, Saint-Joseph's-wort, <br>Sweet Scented Basil",2018-11-12,"<a href='http://savage.net.au/Flowers/Ocimum.basilicum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ocimum.basilicum.0.jpg' alt = ""Ocimum basilicum""></a>"
Herb,"Ocimum kilimandscharicum x basilicum 'Dark Opal'","African Basil","African Basil, holy basil, Ocimum sp., <br>perennial basil, tulasi, thulasi, tulsi",2018-11-12,"<a href='http://savage.net.au/Flowers/Ocimum.kilimandscharicum.x.basilicum.dark.opal.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ocimum.kilimandscharicum.x.basilicum.dark.opal.0.jpg' alt = ""Ocimum kilimandscharicum x basilicum 'Dark Opal'""></a>"
Plant,"Oenothera lindheimeri","White Gaura","Indian Feather, Lindheimer's Beeblossom, <br>Lindheimer's Clockweed, Pink Gaura",2018-11-12,"<a href='http://savage.net.au/Flowers/Oenothera.lindheimeri.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Oenothera.lindheimeri.0.jpg' alt = ""Oenothera lindheimeri""></a>"
Herb,"Origanum vulgare",Oregano,"Wild marjoram (not sweet marjoram)",2018-11-12,"<a href='http://savage.net.au/Flowers/Origanum.vulgare.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Origanum.vulgare.0.jpg' alt = ""Origanum vulgare""></a>"
Plant,"Osteospermum ecklonis","Zion Red","Blue-and-white daisy bush, Cape marguerite, <br>Star of the veldt, Sundays river daisy, <br>Van Staden's river daisy, White daisy bush",2018-11-12,"<a href='http://savage.net.au/Flowers/Osteospermum.ecklonis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Osteospermum.ecklonis.0.jpg' alt = ""Osteospermum ecklonis""></a>"
Plant,Ozothamnus,"Rice Flower 'Cosmic'",,2018-11-12,"<a href='http://savage.net.au/Flowers/Ozothamnus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ozothamnus.0.jpg' alt = ""Ozothamnus""></a>"
Plant,Pelargonium,Pelargonium,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Pelargonium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pelargonium.0.jpg' alt = ""Pelargonium""></a>"
Plant,"Pennisetum setaceum","Fountain Grass","Crimson fountaingrass",2018-11-12,"<a href='http://savage.net.au/Flowers/Pennisetum.setaceum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pennisetum.setaceum.0.jpg' alt = ""Pennisetum setaceum""></a>"
Plant,"Penstemon cv",Firebird,Beardtongues,2018-11-12,"<a href='http://savage.net.au/Flowers/Penstemon.cv.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Penstemon.cv.0.jpg' alt = ""Penstemon cv""></a>"
Plant,"Persicaria affinis","Himalayan Knotweed",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Persicaria.affinis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Persicaria.affinis.0.jpg' alt = ""Persicaria affinis""></a>"
Herb,"Persicaria odarata","Vietnamese Mint","Cambodian mint, hot mint, laksa leaf, <br>praew leaf, Vietnamese cilantro, <br>Vietnamese coriander",2018-11-12,"<a href='http://savage.net.au/Flowers/Persicaria.odarata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Persicaria.odarata.0.jpg' alt = ""Persicaria odarata""></a>"
Herb,"Petroselinum crispum",Parsley,"Garden parsley",2018-11-12,"<a href='http://savage.net.au/Flowers/Petroselinum.crispum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Petroselinum.crispum.0.jpg' alt = ""Petroselinum crispum""></a>"
Plant,"Philadelphus mexicanus","Mexican Mock Orange",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Philadelphus.mexicanus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Philadelphus.mexicanus.0.jpg' alt = ""Philadelphus mexicanus""></a>"
Tree,"Philotheca myoporoides","Philotheca myoporoides","Long-leaf Wax Flower",2018-11-12,"<a href='http://savage.net.au/Flowers/Philotheca.myoporoides.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Philotheca.myoporoides.0.jpg' alt = ""Philotheca myoporoides""></a>"
Plant,"Phormium tenax","Border Red",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Phormium.tenax.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Phormium.tenax.0.jpg' alt = ""Phormium tenax""></a>"
Plant,"Pimelea rosea","Pale Pink Rice Flower",,2018-11-12,"<a href='http://savage.net.au/Flowers/Pimelea.rosea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pimelea.rosea.0.jpg' alt = ""Pimelea rosea""></a>"
Plant,"Plectranthus caninus","Plectranthus caninus","Coleus canina, Dogsbane",2018-11-12,"<a href='http://savage.net.au/Flowers/Plectranthus.caninus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.caninus.0.jpg' alt = ""Plectranthus caninus""></a>"
Plant,"Plectranthus ecklonii 1","Plectranthus ecklonii 1",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Plectranthus.ecklonii.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.ecklonii.1.0.jpg' alt = ""Plectranthus ecklonii 1""></a>"
Plant,"Plectranthus ecklonii 2","Plectranthus ecklonii 2",'Alba',2018-11-12,"<a href='http://savage.net.au/Flowers/Plectranthus.ecklonii.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.ecklonii.2.0.jpg' alt = ""Plectranthus ecklonii 2""></a>"
Plant,"Plectranthus saccatus","Plectranthus saccatus",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Plectranthus.saccatus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.saccatus.0.jpg' alt = ""Plectranthus saccatus""></a>"
Plant,"Portulacaria afra","Elephant bush","Dwarf jade plant, Porkbush, Spekboom",2018-11-12,"<a href='http://savage.net.au/Flowers/Portulacaria.afra.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Portulacaria.afra.0.jpg' alt = ""Portulacaria afra""></a>"
Plant,"Prostanthera phylicifolia","Spiked mint-bush",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Prostanthera.phylicifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Prostanthera.phylicifolia.0.jpg' alt = ""Prostanthera phylicifolia""></a>"
Tree,"Prunus armeniaca","Moorpark Apricot",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Prunus.armeniaca.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Prunus.armeniaca.0.jpg' alt = ""Prunus armeniaca""></a>"
Tree,"Prunus persica 'Nectazee'","Trixie® Nectarine",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Prunus.persica.nectazee.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Prunus.persica.nectazee.0.jpg' alt = ""Prunus persica 'Nectazee'""></a>"
Plant,"Ptilotus exultatus","Ptilotus exultatus",Phoenix,2018-11-26,"<a href='http://savage.net.au/Flowers/Ptilotus.exultatus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ptilotus.exultatus.0.jpg' alt = ""Ptilotus exultatus""></a>"
Plant,"Pultenaea pedunculata","Burnt Orange","Matted bush-tree",2018-11-12,"<a href='http://savage.net.au/Flowers/Pultenaea.pedunculata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pultenaea.pedunculata.0.jpg' alt = ""Pultenaea pedunculata""></a>"
Plant,"Rosa 1","Rose 1",Rose,2018-11-12,"<a href='http://savage.net.au/Flowers/Rosa.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.1.0.jpg' alt = ""Rosa 1""></a>"
Plant,"Rosa 2","Rose 2",Rose,2018-11-12,"<a href='http://savage.net.au/Flowers/Rosa.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.2.0.jpg' alt = ""Rosa 2""></a>"
Plant,"Rosa 3","Rose 3",Rose,2018-11-12,"<a href='http://savage.net.au/Flowers/Rosa.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.3.0.jpg' alt = ""Rosa 3""></a>"
Plant,"Rosa 4","Rose 4",Rose,2018-11-12,"<a href='http://savage.net.au/Flowers/Rosa.4.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.4.0.jpg' alt = ""Rosa 4""></a>"
Plant,"Rosmarinus officinalis",Rosemary,Anthos,2018-11-12,"<a href='http://savage.net.au/Flowers/Rosmarinus.officinalis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosmarinus.officinalis.0.jpg' alt = ""Rosmarinus officinalis""></a>"
Tree,"Rotheca myricoides","Butterfly Bush","Clerodendrum myricoides, <br>Clerodendrum myricoides 'Ugandense'",2018-11-12,"<a href='http://savage.net.au/Flowers/Rotheca.myricoides.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rotheca.myricoides.0.jpg' alt = ""Rotheca myricoides""></a>"
Herb,"Salvia apiana",Sage,"Sacred sage, white sage",2018-11-12,"<a href='http://savage.net.au/Flowers/Salvia.apiana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Salvia.apiana.0.jpg' alt = ""Salvia apiana""></a>"
Plant,"Salvia involucrata",Bethellii,"Rosy-leaf sage",2018-11-12,"<a href='http://savage.net.au/Flowers/Salvia.involucrata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Salvia.involucrata.0.jpg' alt = ""Salvia involucrata""></a>"
Plant,"Salvia officinalis","Common sage","Common sage, garden sage",2018-11-12,"<a href='http://savage.net.au/Flowers/Salvia.officinalis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Salvia.officinalis.0.jpg' alt = ""Salvia officinalis""></a>"
Plant,"Siegfredia darwinioides","Siegfredia darwinioides",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Siegfredia.darwinioides.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Siegfredia.darwinioides.0.jpg' alt = ""Siegfredia darwinioides""></a>"
Plant,"Spiraea japonica","Japanese Spiraea","Japanese meadowsweet",2018-11-12,"<a href='http://savage.net.au/Flowers/Spiraea.japonica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Spiraea.japonica.0.jpg' alt = ""Spiraea japonica""></a>"
Tree,"Streptosolen jamesonii","Marmalade Bush","Orange Browallia",2018-11-12,"<a href='http://savage.net.au/Flowers/Streptosolen.jamesonii.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Streptosolen.jamesonii.0.jpg' alt = ""Streptosolen jamesonii""></a>"
Plant,"Strobilanthes anisophyllus",Goldfussia,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Strobilanthes.anisophyllus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Strobilanthes.anisophyllus.0.jpg' alt = ""Strobilanthes anisophyllus""></a>"
Plant,"Tagetes erecta",Marigold,"Aztec marigold, 'Jezebel', <br>Mexican marigold",2018-11-12,"<a href='http://savage.net.au/Flowers/Tagetes.erecta.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tagetes.erecta.0.jpg' alt = ""Tagetes erecta""></a>"
Plant,"Tagetes sp","Passionfruit Daisy",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Tagetes.sp.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tagetes.sp.0.jpg' alt = ""Tagetes sp""></a>"
Tree,"Tamarix aphylla","Tamarix aphylla","Athel pine, Athel tamarisk, <br>Athel tree and saltcedar",2018-11-12,"<a href='http://savage.net.au/Flowers/Tamarix.aphylla.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tamarix.aphylla.0.jpg' alt = ""Tamarix aphylla""></a>"
Plant,"Tanacetum ptarmiciflorum","Silver lace bush",,2018-11-12,"<a href='http://savage.net.au/Flowers/Tanacetum.ptarmiciflorum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tanacetum.ptarmiciflorum.0.jpg' alt = ""Tanacetum ptarmiciflorum""></a>"
Plant,"Tanacetum vulgare",Tansy,"Bitter buttons, cow bitter, common tansy, <br>golden buttons",2018-11-12,"<a href='http://savage.net.au/Flowers/Tanacetum.vulgare.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tanacetum.vulgare.0.jpg' alt = ""Tanacetum vulgare""></a>"
Tree,"Telopea speciosissima x oreades","Shady Lady® Crimson",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Telopea.speciosissima.x.oreades.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Telopea.speciosissima.x.oreades.0.jpg' alt = ""Telopea speciosissima x oreades""></a>"
Vegetable,"Tetragonia tetragonioides","Warrigul greens","Warrigul spinach",2018-11-12,"<a href='http://savage.net.au/Flowers/Tetragonia.tetragonioides.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tetragonia.tetragonioides.0.jpg' alt = ""Tetragonia tetragonioides""></a>"
Plant,"Thelionema caespitosum","Thelionema caespitosum","Stypandra caespitosa, tufted blue-lily, <br>tufted lily",2018-11-12,"<a href='http://savage.net.au/Flowers/Thelionema.caespitosum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Thelionema.caespitosum.0.jpg' alt = ""Thelionema caespitosum""></a>"
Plant,"Thryptomene saxicola 'F.C. Payne'","Thryptomene saxicola 'F.C. Payne'","Payne's Thryptomene",2018-11-12,"<a href='http://savage.net.au/Flowers/Thryptomene.saxicola.f.c.payne.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Thryptomene.saxicola.f.c.payne.0.jpg' alt = ""Thryptomene saxicola 'F.C. Payne'""></a>"
Tree,"Tibouchina urvilleana","Glory Bush","Glory trees",2018-11-12,"<a href='http://savage.net.au/Flowers/Tibouchina.urvilleana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tibouchina.urvilleana.0.jpg' alt = ""Tibouchina urvilleana""></a>"
Plant,"Tropaeolum majus",Nasturtium,"Nose-tweaker, Nose-twister",2018-11-12,"<a href='http://savage.net.au/Flowers/Tropaeolum.majus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Tropaeolum.majus.0.jpg' alt = ""Tropaeolum majus""></a>"
Herb,"Valerianella locusta","Corn Salad","Common cornsalad, doucette, feldsalat, <br>fetticus, field salad, lamb's lettuce, <br>mÃ¢che, nut lettuce, raiponce, rapunzel",2018-11-12,"<a href='http://savage.net.au/Flowers/Valerianella.locusta.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Valerianella.locusta.0.jpg' alt = ""Valerianella locusta""></a>"
Plant,"Vigna unguiculata subsp. sesquipedalis","Snake bean","Asparagus bean, bodi, bora, <br>Chinese long bean, long-podded cowpea, <br>pea bean, yardlong bean",2018-11-12,"<a href='http://savage.net.au/Flowers/Vigna.unguiculata.subsp.sesquipedalis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Vigna.unguiculata.subsp.sesquipedalis.0.jpg' alt = ""Vigna unguiculata subsp. sesquipedalis""></a>"
Plant,Viola,"Viola 3",Violet,2018-11-12,"<a href='http://savage.net.au/Flowers/Viola.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Viola.0.jpg' alt = ""Viola""></a>"
