code,title,description
13122,"INDUSTRI KAIN TENUN IKAT","Kelompok ini mencakup usaha pembuatan kain tenun ikat dan usaha pewarnaan benang dengan cara mengikat terlebih dahulu."
13123,"INDUSTRI BULU TIRUAN TENUNAN","Kelompok ini mencakup usaha pembuatan bulu tiruan dengan penenunan."
1313,"INDUSTRI PENYEMPURNAAN TEKSTIL","Subgolongan ini mencakup :- Pemutihan dan pencelupan serat tekstil, benang, kain dan barang-barang tekstil termasuk pakaian jadi- Penyiapan, pengeringan, penguapan, penyusutan, penambalan, sanforizing, mercerizing kain dan barang-barang tekstil termasuk pakaian jadiSubgolongan ini juga mencakup :- Pengelantangan jeans- Pelipatan kain dan pengerjaan sejenis pada tekstil- Pembuatan tahan air, pelapisan, pelapisan dengan karet, atau impregnasi pakaian- Pencetakan dengan menggunakan media perantara seperti kasa dan sebagainya pada kain dan pakaian jadiSubgolongan ini tidak mencakup :- Industri kain yang di-impregnasi, dilapisi, ditutupi, atau dilaminasi dengan karet di mana karet tersebut menjadi unsur utamanya, lihat 2219"
13131,"INDUSTRI PENYEMPURNAAN BENANG","Kelompok ini mencakup usaha pengelantangan, pencelupan dan penyempurnaan lainnya untuk benang maupun benang jahit."
13132,"INDUSTRI PENYEMPURNAAN KAIN","Kelompok ini mencakup usaha pengelantangan, pencelupan dan penyempurnaan lainnya untuk kain."
13133,"INDUSTRI PENCETAKAN KAIN","Kelompok ini mencakup usaha pencetakan kain dengan media perantara seperti kasa dan sebagainya, termasuk juga pencetakan kain motif batik."
13134,"INDUSTRI BATIK","Kelompok ini mencakup usaha pembatikan dengan proses malam (lilin), baik yang dilakukan dengan tulis, cap maupun kombinasi antara cap dan tulis."
139,"INDUSTRI TEKSTIL LAINNYA","Golongan ini mencakup pembuatan barang jadi dari tekstil kecuali pakaian jadi, seperti bahan rajutan, barang-barang tekstil, karpet dan permadani, tali temali, benang ikat, jaring, bahan lapisan, kain pita, bahan hiasan, gorden, kerai, tenda kemping, layar dan kain penutup mobil, bendera, parasut dan baju pelampung."
1391,"INDUSTRI KAIN RAJUTAN DAN SULAMAN","Subgolongan ini mencakup :- Industri pengolahan dan pembuatan kain rajutan atau sulaman untuk handuk, kain ihram, vitrase dan kain rajutan untuk perlengkapan jendela yang dibuat dengan mesin Raschel atau sejenisnya dan kain rajutan dan sulaman lainnya- Industri bulu binatang tiruan dengan cara dirajutSubgolongan ini tidak mencakup :- Industri jaring dan perlengkapan jendela dengan jenis kain dengan tali yang dirajut pada mesin Raschel dan sejenisnya, lihat 1399- Industri pakaian jadi yang dirajut dan disulam, lihat 1430"
13911,"INDUSTRI KAIN RAJUTAN","Kelompok ini mencakup usaha pembuatan kain yang dibuat dengan cara rajut seperti handuk, kain ihram, vitrase."
13912,"INDUSTRI KAIN SULAMAN","Kelompok ini mencakup usaha kain sulaman dikerjakan dengan tangan."
13913,"INDUSTRI BULU TIRUAN RAJUTAN","Kelompok ini mencakup usaha pembuatan bulu tiruan rajutan."
1392,"INDUSTRI PEMBUATAN BARANG TEKSTIL, BUKAN PAKAIAN JADI","Subgolongan ini mencakup :- Industri pembuatan barang-barang dari berbagai bahan kain, termasuk kain rajutan atau sulaman, seperti selimut, termasuk permadani untuk bepergian; linen untuk kasur, linen untuk meja (taplak), sarung alas kursi, linen untuk dapur atau toilet; dan selimut kapas, selimut bulu angsa, bantal kursi, bantal, guling, kantong tidur dan lain-lain- Industri pembuatan barang-barang perlengkapan, seperti gorden, kelambu, sprei, kerai, penutup mesin atau perabotan; terpal, tenda, perlengkapan untuk berkemah, layar, pelindung dari cahaya matahari, penutup mobil, mesin dan perabot dan lain-lain; bendera, spanduk, umbul- umbul dan lain-lain; lap pembersih, serbet piring dan barang perlengkapan sejenisnya, jaket keselamatan, parasut dan lain-lainSubgolongan ini juga mencakup :- Industri tekstil yang merupakan bagian dari selimut listrik - Industri permadani hiasan dinding dengan tenunan tangan - Industri penutup banSubgolongan ini tidak mencakup :- Industri barang-barang tekstil untuk keperluan teknik, lihat 1399"
13921,"INDUSTRI BARANG JADI TEKSTIL UNTUK KEPERLUAN RUMAH TANGGA","Kelompok ini mencakup usaha pembuatan barang-barang jadi tekstil, seperti selimut, seprei, taplak meja, sarung bantal, bed cover, gorden, handuk, sarung alas kursi, sajadah/penutup lantai yang dibuat dengan proses penggabungan dan/atau penjahitan beberapa bahan tekstil, selubung mobil dan selimut listrik dan lain-lain. Sajadah/penutup lantai dari karpet/permadani dimasukkan dalam kelompok 13930."
13922,"INDUSTRI BARANG JADI TEKSTIL SULAMAN","Kelompok ini mencakup usaha barang jadi tekstil sulaman, baik yang dikerjakan dengan tangan maupun dengan mesin, seperti pakaian/barang jadi sulaman dan badge."
13923,"INDUSTRI BANTAL DAN SEJENISNYA","Kelompok ini mencakup usaha pembuatan bantal dan sejenisnya, seperti bantal dan guling, selimut kapas, selimut bulu angsa, bantal kursi, kantong tidur dan lain-lain dari kapuk, dakron dan sejenisnya."
13924,"INDUSTRI BARANG JADI RAJUTAN DAN SULAMAN","Kelompok ini mencakup usaha pembuatan barang jadi rajutan, seperti kaos lampu, deker, bando."
13925,"INDUSTRI KARUNG GONI","Kelompok ini mencakup usaha pembuatan karung goni."
13926,"INDUSTRI KARUNG BUKAN GONI","Kelompok ini mencakup usaha pembuatan karung bagor (karung terigu/gula blacu) dan karung lainnya. Kecuali pembuatan karung plastik masuk dalam kelompok 22220."
13929,"INDUSTRI BARANG JADI TEKSTIL LAINNYA","Kelompok ini mencakup usaha pembuatan barang jadi tekstil lainnya, seperti layar, tenda, bendera, terpal, parasut, pelampung/jaket penyelamat dan lain-lain: lap pembersih, serbet piring dan barang perlengkapan sejenisnya dan lain-lain."
1393,"INDUSTRI KARPET DAN PERMADANI","Subgolongan ini mencakup :- Industri tekstil penutup lantai, seperti karpet, permadani dan keset ubin - Industri penutup lantai dari lakan atau bulu kempa yang dibuat dengan jarum tenunSubgolongan ini tidak mencakup :- Industri keset dan tikar dari bahan anyaman, lihat 1629- Industri penutup lantai dari gabus, lihat 1629- Industri penutup lantai yang lentur seperti vinil, linoleum, lihat 2229"
13930,"INDUSTRI KARPET DAN PERMADANI","Kelompok ini mencakup usaha pembuatan karpet, permadani, sajadah, dan sejenisnya yang terbuat dari serat, baik serat alam, sintetis maupun serat campuran, baik yang dikerjakan dengan proses tenun (woven), tufting, braiding, flocking dan needle punching. Termasuk industri penutup lantai dari lakan atau bulu kempa yang dibuat dengan jarum tenun. Karpet yang terbuat dari bahan-bahan gabus, karet atau plastik masing-masing dimasukkan dalam kelompok 16299, 22191 atau 22210. Sajadah/penutup lantai yang dibuat dengan proses penggabungan dan/atau penjahitan beberapa bahan tekstil dimasukkan dalam kelompok 13921. Kain alas lantai dengan lapisan permukaan keras dimasukkan dalam kelompok 13999."
1394,"INDUSTRI TALI DAN BARANG DARI TALI","Subgolongan ini mencakup :- Industri tali ikat, tali temali, tali dan kabel dari serat atau carik tekstil atau sejenisnya baik yang diisi atau tidak, dilapisi atau tidak, ditutupi atau tidak, dan disarungi atau tidak oleh karet atau plastik- Industri jala rajut dari tali ikat, tali temali atau tali- Industri barang dari tali atau jala, seperti jala ikan, spatbor kapal (ship\&#039;s fenders), alas duduk yang terpisah (unloading cushions), kain gendongan yang diisi, tali atau kabel dengan cincin logam dan lainnyaSubgolongan ini tidak mencakup :- Industri jaring rambut/harnest, lihat 1413 - Industri tali kabel, lihat 2595"
13941,"INDUSTRI TALI","Kelompok ini mencakup usaha pembuatan berbagai macam tali, baik terbuat dari serat alam maupun serat sintetis atau serat campuran, seperti tali rami, tali goni (yute), tali sisal (agave), tali rafia dan tali nylon."
13942,"INDUSTRI BARANG DARI TALI","Kelompok ini mencakup usaha pembuatan barang-barang dari tali, seperti jaring ikan, jala ikan, tali kapal, tali sepatu, sumbu kompor dan sumbu lampu, baik terbuat dari tali serat alam, tali serat sintetis atau tali serat campuran."
1399,"INDUSTRI TEKSTIL LAINNYA YTDL","Subgolongan ini mencakup semua kegiatan yang berhubungan dengan industri tekstil atau produk tekstil, yang tidak secara khusus tercakup di golongan pokok 13 atau 14, mencakup sejumlah besar proses dan bermacam-macam jenis barang.Subgolongan ini mencakup :- Industri kain tenun narrow (tipis)- Industri label, badge dan lain-lain- Industri penghiasan ornamen (hiasan), seperti pita, jumbai, pompon dan lain-lain- Industri lakan atau bulu kempa- Industri kain tulle dan kain jaring lainnya dan renda serta sulaman- Industri kain yang dilapisi, diisi, ditutupi atau dilaminasi dengan plastik- Industri benang rajutan yang dimetalisasi atau benang rajutan yang di gimp dan benang atau tali karet yang dilapisi dengan bahan tekstil, benang atau potongan kain yang diisi, dilapisi dan dibungkus dengan karet atau plastik- Industri kain tali tyre dari benang rajutan dengan ketahanan tinggi buatan tangan- Industri kain dengan lapisan lain, seperti kain untuk menggambar/menjiplak, kain kanvas yang digunakan pelukis, bukram (linen untuk menjilid buku) dan kain yang dikeraskan sejenis, kain yang dilapisi dengan getah atau amylaceous- Industri berbagai barang tekstil, seperti sumbu kain, mantel gas pijar dan selang gas- Kain mantel, selang air yang mengandung unsur tekstil, lajur atau ban berjalan pembawa barang (baik yang dikuatkan dengan logam atau bahan lain atau tidak), kain gulungan dan kain tapis- Hiasan untuk kendaraan atau otomotif- Industri pita pakaian yang sensitif tekanan- Papan kanvas seniman dan kain untuk menggambar atau menjiplak- Industri tali sepatu dari tekstil- Industri handuk atau lap muka dan puff bedakSubgolongan ini tidak mencakup :- Industri penutup lantai dari lakan atau bulu kempa yang dibuat dengan jarum tenun, lihat 1393- Industri kapas tekstil dan barang-barang dari kapas, seperti tisue kesehatan, tampon dan lain-lain, lihat 1709- Industri lajur atau ban berjalan pembawa barang dari kain, benang atau kabel yang diisi, dilapisi, ditutupi dengan karet di mana karet menjadi unsur utama, lihat 2219- Industri lempengan atau lembaran serat karet atau plastik yang dicampur tekstil dengan tujuan hanya untuk menguatkan, lihat 2219, 2229- Industri kain yang dibuat dari kawat logam yang ditenun, lihat 2599"
13991,"INDUSTRI KAIN PITA (NARROW FABRIC)","Kelompok ini mencakup usaha pembuatan kain pita, seperti kain pita, renda, kain label, velcro, dan badges."
13992,"INDUSTRI YANG MENGHASILKAN KAIN KEPERLUAN INDUSTRI","Kelompok ini mencakup usaha pembuatan kain dilapisi/ditutupi/diresapi dengan plastik atau karet dan selanjutnya digunakan untuk keperluan industri, seperti kain terpal, kain layar, kain tenda, kain payung, kain kanvas untuk melukis dan kulit imitasi dari media tekstil."
13993,"INDUSTRI NON WOVEN (BUKAN TENUNAN)","Kelompok ini mencakup usaha industri kain yang dibuat tanpa dengan proses anyaman atau perajutan, seperti kain kempa, kain felting dan kain laken. Termasuk industri kain untuk keperluan pelayanan kesehatan manusia, seperti duk operasi (surgical drape); baju, masker, penutup kepala dan perlengkapan non woven lain untuk operasi; dan pembalut luka non woven."
13994,"INDUSTRI KAIN BAN","Kelompok ini mencakup usaha pembuatan kain ban dari benang sintetik kekuatan tinggi, seperti kain ban dari nylon dan kain ban dari polyester."
13995,"INDUSTRI KAPUK","Kelompok ini mencakup usaha pengolahan kapuk."
13996,"INDUSTRI KAIN TULLE DAN KAIN JARING","Kelompok ini mencakup usaha pembuatan kain tulle, kain trikot, kain bordir, dan kain jaring lainnya. Jaring ikan dikelompokkan ke dalam 13942."
13999,"INDUSTRI TEKSTIL LAINNYA YTDL","Kelompok ini mencakup usaha industri tekstil lainnya yang belum/tidak tercakup dalam golongan industri tekstil manapun, seperti benang karet, benang logam dan pipa/selang kain dan lainnya."
14,"INDUSTRI PAKAIAN JADI","Golongan pokok ini mencakup semua pekerjaan menjahit (pakaian siap pakai atau dibuat berdasarkan ukuran/pesanan), dalam semua bahan (seperti kulit, kain tenun, kain rajutan atau sulaman dan lain-lain), dari semua jenis pakaian (seperti pakaian luar; pakaian dalam pria; wanita atau anak-anak; pakaian kerja; dan pakaian santai dan lain-lain) dan asesoris, tidak ada perbedaan dalam pembuatan antara baju untuk anak-anak dan orang dewasa, atau antara pakaian tradisional dan modern. Golongan pokok ini mencakup industri bulu binatang (pakaian dari bulu binatang dan kulit yang berbulu)."
141,"INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA, BUKAN PAKAIAN JADI DARI KULIT BERBULU","Golongan ini mencakup pembuatan pakaian. Bahan yang digunakan berbagai macam seperti bahan dilapisi, di-impregnasi, atau dilapisi karet dan kulit atau kulit campuran, kain woven, rajutan atau tenunan, kain non woven. Bahan tekstil untuk alas kaki tanpa sol. Golongan ini juga mencakup pembuatan pakaian dalam, pakaian tidur, pakaian kerja. Kaus, gaun, blus, pakaian bayi, pakaian olahraga, topi dan peci, dan aksesori pakaian lain (seperti sarung tangan, ikat pinggang, selendang, hairnet dan lain-lain) untuk pria-wanita dan anak-anak, kegiatan jahit menjahit dan pembuatan bagian-bagian dari produk yang sudah disebutkan sebelumnya."
1411,"INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)","Subgolongan ini mencakup industri pakaian jadi. Bahan yang digunakan berbagai macam, seperti bahan yang dilapisi, di-impregnasi atau berkaret.Subgolongan ini mencakup:- Industri pembuatan pakaian jadi dari kulit atau kulit campuran, termasuk aksesori pakaian dari kulit seperti pakaian kerja las (welder) dari kulit- Industri pakaian kerja- Industri pakaian lainnya yang terbuat dari tenunan, rajutan atau sulaman, bukan tenunan, dan lainnya untuk laki-laki, perempuan, dan anak-anak, seperti jas/mantel, setelan, jaket, celana, rok, dan lainnya- Industri pakaian dalam dan pakaian tidur yang terbuat dari kain tenun, kain rajut atau sulaman, kain renda (lace) dan lainnya untuk laki laki, perempuan, dan anak-anak, seperti kemeja, kaos, celana dalam, piyama, baju tidur, kimono, blus, korset, rok dalam, kutang, dan lain-lain- Industri pakaian bayi, pakaian olahraga, pakaian ski, pakaian renang dan lain-lain- Industri bagian dari barang-barang pada subgolongan iniSubgolongan ini tidak mencakup:- Industri pakaian jadi dari kulit berbulu (kecuali tutup kepala), lihat 1420 - Industri pakaian jadi dari karet atau plastik yang tidak dijahit tetapi direkatkan bersamaan, lihat 2219, 2229- Industri pakaian pelindung dan tahan api, lihat 3290"
14111,"INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL","Kelompok ini mencakup usaha pembuatan pakaian jadi (konveksi) dari tekstil/kain (tenun maupun rajutan) dengan cara memotong dan menjahit sehingga siap dipakai, seperti kemeja, celana, kebaya, blus, rok, baju bayi, pakaian tari dan pakaian olahraga."
14112,"INDUSTRI PAKAIAN JADI (KONVEKSI) DARI KULIT","Kelompok ini mencakup usaha pembuatan pakaian jadi (konveksi) dari kulit atau kulit imitasi, dengan cara memotong dan menjahit sehingga siap pakai, seperti jaket, mantel, rompi, celana dan rok. Termasuk pembuatan aksesori pakaian dari kulit seperti pakaian pekerja las (welder) dari kulit."
1412,"PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN","Subgolongan ini mencakup :- Kegiatan penjahitan dan pembuatan pakaian sesuai pesanan - Industri bagian dari barang-barang pada subgolongan iniSubgolongan ini mencakup :- Perbaikan pakaian jadi, lihat 9529"
14120,"PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN","Kelompok ini mencakup usaha penjahitan dan pembuatan pakaian sesuai pesanan yang melayani masyarakat umum dengan tujuan komersil."
1413,"INDUSTRI PERLENGKAPAN PAKAIAN YANG UTAMANYA TERBUAT DARI TEKSTIL","Subgolongan ini mencakup :- Industri topi dan peci- Industri aksesoris pakaian lainnya, seperti sarung tangan, ikat pinggang/sabuk, syal, dasi, bando, dasi tuksedo, jaring rambut, dan lainnya- Industri pelindung kepala dari kulit berbulu- Industri alas kaki dari bahan tekstil tanpa sol- Industri bagian dari barang-barang pada subgolongan iniSubgolongan ini tidak mencakup :- Industri alas kaki, lihat 1520- Industri sarung tangan kulit dan pelindung kepala olahraga, lihat 3230 - Industri pelindung keselamatan kepala (kecuali pelindung kepala olahraga), lihat 3290"
14131,"INDUSTRI PERLENGKAPAN PAKAIAN DARI TEKSTIL","Kelompok ini mencakup usaha pembuatan perlengkapan pakaian jadi (konveksi) tekstil dan dari kain dengan cara memotong dan menjahit sehingga siap dipakai, seperti topi, peci, dasi, sarung tangan, mukena, selendang, kerudung, ikat pinggang, syal, bando, dasi tuksedo, jaring rambut, dan lain-lain, baik dari kain tenun maupun kain rajut yang dijahit. Termasuk industri alas kaki dari bahan kain tanpa sol dan bagian-bagian dari produk yang disebutkan sebelumnya."
14132,"INDUSTRI PERLENGKAPAN PAKAIAN DARI KULIT","Kelompok ini mencakup usaha pembuatan perlengkapan pakaian jadi dari kulit atau kulit imitasi, dengan cara memotong dan menjahit sehingga siap pakai, seperti topi, sarung tangan, ikat pinggang, bando, jaring rambut, dan lain-lain. Termasuk industri penutup kepala dari kulit berbulu dan bagian-bagian dari produk yang disebutkan sebelumnya."
142,"INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU","Golongan ini mencakup pembuatan barang-barang dari kulit berbulu seperti pakaian dari kulit berbulu dan aksesori pakaian. Berbagai barang dari kulit berbulu seperti; gambar, kesetan dan lain-lain. Golongan ini tidak mencakup pengolahan kulit berbulu mentah, kulit dan jangat mentah, pembuatan kulit berbulu imitasi, pengolahan dan pencelupan kulit berbulu dan alas kaki yang bagiannya ada kulit berbulu."
1420,"INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU","Subgolongan ini mencakup :- Industri barang-barang yang terbuat dari kulit berbulu, seperti pakaian dan aksesori pakaian dari kulit berbulu; berbagai barang dari kulit berbulu, seperti gambar, tikar, keset, dan lain-lain; barang-barang lain dari kulit berbulu, seperti permadani, pouffes tanpa isi, kain kilap industriSubgolongan ini tidak mencakup :- Produksi kulit berbulu mentah, lihat golongan 014 dan 017- Produksi kulit dan kulit jangat mentah, lihat 1013- Industri kulit berbulu imitasi (pakaian berbulu panjang yang dibuat dengan cara ditenun atau dirajut), lihat 1312,1391- Industri pakaian yang dihias dengan kulit berbulu, lihat 1411- Industri penutup kepala kulit berbulu, lihat 1413- Pengolahan dan pencelupan kulit berbulu, lihat 1511- Industri bot atau sepatu yang bagiannya ada kulit berbulu, lihat 1520"
14200,"INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU","Kelompok ini mencakup usaha pembuatan pakaian jadi/barang jadi dari kulit berbulu dan atau perlengkapannya, seperti mantel berbulu, berbagai barang dari kulit berbulu, misalnya gambar, tikar, keset dan barang lain dari kulit berbulu, seperti permadani, pouffes tanpa isi, kain kilap industri."
143,"INDUSTRI PAKAIAN JADI RAJUTAN DAN SULAMAN/BORDIR","Golongan ini mencakup pembuatan pakaian dari bahan rajutan atau sulaman dan barang-barang jadi lain (seperti sweater, cardigan, kaos, rompi dan barang sejenis), serta kaos kaki, termasuk kaos kaki pendek, stocking dan pantyhose. Golongan ini tidak mencakup pembuatan bahan dari rajutan atau sulaman."
1430,"INDUSTRI PAKAIAN JADI RAJUTAN DAN SULAMAN/BORDIR","Subgolongan ini mencakup :- Industri pembuatan pakaian jadi dari bahan rajutan atau sulaman dan barang-barang jadi lain, seperti sweater, kardigan, baju kaos, mantel, dan barang sejenisnya- Industri kaos kaki, termasuk kaos kaki, stocking, pantyhoseSubgolongan ini tidak mencakup :- Industri kain rajutan dan sulaman, lihat 1391"
14301,"INDUSTRI PAKAIAN JADI RAJUTAN","Kelompok ini mencakup usaha pembuatan pakaian jadi, seperti sweater, kardigan, baju kaos, mantel, dan barang sejenisnya, termasuk topi yang dibuat dengan cara dirajut ataupun renda, kecuali industri rajutan kaos kaki."
14302,"INDUSTRI PAKAIAN JADI SULAMAN/BORDIR","Kelompok ini mencakup usaha pakaian jadi sulaman, baik yang dikerjakan dengan tangan maupun dengan mesin."
14303,"INDUSTRI RAJUTAN KAOS KAKI DAN SEJENISNYA","Kelompok ini mencakup usaha pembuatan kaos kaki yang dibuat dengan cara rajut ataupun renda, seperti kaos kaki, termasuk kaos kaki, stocking, pantyhose."
15,"INDUSTRI KULIT, BARANG DARI KULIT DAN ALAS KAKI","Golongan pokok ini mencakup pengolahan dan pencelupan kulit berbulu dan proses perubahan dari kulit jangat menjadi kulit dengan proses penyamakan atau proses pengawetan dan pengeringan serta pengolahan kulit menjadi produk yang siap pakai, seperti pembuatan koper, tas tangan dan sejenisnya, pakaian dan peralatan hewan yang terbuat dari kulit, dan pembuatan alas kaki. Golongan pokok ini juga mencakup pembuatan produk sejenisnya dari bahan lain (kulit imitasi atau kulit tiruan), seperti alas kaki dari bahan karet, koper dari tekstil dan lain-lain. Barang-barang terbuat dari kulit tiruan termasuk di sini, asalkan cara pembuatannya sama dengan produk kulit dibuat (koper), dan biasanya di produksi oleh unit yang sama.151 INDUSTRI KULIT DAN BARANG DARI KULIT, TERMASUK KULIT BUATAN Golongan ini mencakup pembuatan kulit dan kulit berbulu dan barang- barang yang terbuat dari padanya."
1511,"INDUSTRI KULIT DAN KULIT KOMPOSISI, TERMASUK PENCELUPAN KULIT BERBULU","Subgolongan ini mencakup :- Penyamakan, pencelupan dan pengolahan kulit dan kulit jangat- Industri pengolahan simlir (chamois), pengolahan perkamen, kulit yang dimetalisasi atau dipatenkan- Industri kulit komposisi- Pembersihan, pencukuran, pencabutan, penggaraman, penyamakan, pengelantangan, dan pencelupan kulit berbulu dan kulit jangat yang berambutSubgolongan ini tidak mencakup :- Produksi kulit dan kulit jangat sebagai bagian dari peternakan, lihat golongan 014- Produksi kulit dan kulit jangat sebagai bagian dari penyembelihan, lihat 1013- Industri kulit buatan/imitasi yang berbahan utama tekstil, lihat 1399- Industri pakaian dari kulit, lihat 1411- Industri kulit imitasi yang bahan dasarnya bukan kulit asli, lihat 2219, 2229"
15111,"INDUSTRI PENGAWETAN KULIT","Kelompok ini mencakup usaha pengawetan kulit yang berasal dari hewan besar, hewan kecil, reptil, ikan dan hewan lainnya, baik yang dilakukan dengan pengeringan, penggaraman, maupun pengasaman (pikel), seperti kulit hewan besar (sapi, kerbau), kulit hewan kecil (domba, kambing), kulit reptil (buaya, ular, biawak), kulit ikan (ikan pari,hiu/cucut, kakap, belut) dan kulit hewan lainnya."
15112,"INDUSTRI PENYAMAKAN KULIT","Kelompok ini mencakup usaha penyamakan kulit yang berasal dari ternak besar (sapi, kerbau), ternak kecil (domba, kambing), reptil (buaya, ular, biawak), ikan (ikan pari, hiu cucut, kakap, belut) dan hewan lainnya yang dimasak dengan chrome nabati, sintetis, samak minyak dan samak kombinasi menjadi kulit tersamak, seperti wet blue, crust, sol, vache raam, kulit box, kulit beludru, kulit gelase dan kulit hiasan, kulit berbulu, kulit laminasi, kulit patent, kulit jaket, kulit sarung tangan, kulit chamois dan lainnya."
15113,"INDUSTRI PENCELUPAN KULIT BULU","Kelompok ini mencakup usaha pemberian warna atau pencelupan pada kulit bulu yang digunakan pada barang jadi kulit."
15114,"INDUSTRI KULIT KOMPOSISI","Kelompok ini mencakup usaha pembuatan kulit komposisi yang berasal dari potongan/remahan kulit hewan yang direkatkan kembali. Industri kulit buatan/imitasi yang berbahan utama tekstil dimasukkan dalam kelompok 13992. Industri kulit buatan/imitasi yang berbahan utama karet dimasukkan dalam kelompok 2219; dan industri kulit buatan/imitasi yang berbahan utama plastik dimasukkan dalam kelompok 2229."
1512,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI, KOPER, TAS TANGAN DAN SEJENISNYA, PELANA DAN ALAT PENGEKANG (HARNESS)","Subgolongan ini mencakup :- Industri tas koper, tas tangan dan sejenisnya dari kulit, kulit komposisi atau bahan lain seperti plastik, tekstil, serat yang divulkanisir atau paperboard dimana menggunakan teknologi yang sama yang digunakan pada kulit- Industri pelana dan alat pengekang kuda, dan lainnya- Industri tali jam yang bukan metalik seperti kain, kulit, dan plastik - Industri bermacam-macam barang yang terbuat dari kulit atau kulit komposisi, seperti sabuk pengaman, alat pengepak dan lain-lain- Industri tali sepatu dari kulit- Industri cambuk kuda dan cambuk untuk membajak sawahSubgolongan ini tidak mencakup :- Industri pakaian dari kulit, lihat 1411- Industri sarung tangan dan topi dari kulit, lihat 1413- Industri alas kaki, lihat 1520- Industri sadel sepeda, lihat 3092- Industri tali jam dari logam mulia, lihat 3211- Industri tali jam dari logam tidak murni, lihat 3212- Industri sabuk pengaman teknisi listrik dan komunikasi (linemen) dan sabuk lainnya yang berhubungan dengan keperluan pekerjaan, lihat 3290"
15121,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN PRIBADI","Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi atau bahan lain seperti plastik, tekstil, serat yang divulkanisir atau paperboard untuk keperluan pribadi, seperti koper, ransel, tas, dompet, kotak rias, sarung senjata, tempat kaca mata dan tali jam. Termasuk industri tali sepatu kulit."
15122,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN TEKNIK/INDUSTRI","Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan teknik/industri, seperti klep, packing, rem pickers, sarung tangan kerja, kulit pompa, kulit ban mesin (belt), kulit apron dan sisir kulit pada mesin (combing leather)."
15123,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN HEWAN","Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan hewan, seperti ikat leher hewan, tali kekang hewan, pelana hewan, brongsong mulut hewan, cambuk dan sepatu hewan."
15129,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN LAINNYA","Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan yang belum terliput dalam kelompok 15121 sampai dengan 15123, seperti jok, sabuk pengaman, alat pengepak dan kerajinan tatah sungging (hiasan, wayang dan kap lampu) dan lain- lain."
152,"INDUSTRI ALAS KAKI","Golongan ini mencakup pembuatan alas kaki untuk semua kebutuhan, pembuatan bagian alas kaki dari kulit dan barang-barang sejenis, kecuali bagian alas kaki yang terbuat dari plastik, kayu dan karet"
1520,"INDUSTRI ALAS KAKI","Subgolongan ini mencakup :- Industri alas kaki untuk berbagai kegunaan dari segala macam bahan, dengan berbagai proses, termasuk pencetakan (lihat pengecualian di bawah ini)- Industri bagian alas kaki dari kulit, seperti industri bagian atas alas kaki, bagian luar dan dalam sol, hak dan lain-lain- Industri gaiter, legging dan barang sejenisnyaSubgolongan ini tidak mencakup :- Industri alas kaki dari bahan tekstil tanpa sol terpasang, lihat 1413- Industri bagian sepatu yang terbuat dari kayu (contoh hak sepatu), lihat 1629- Industri bot karet, dan sol karet, hak karet serta bagian alas kaki lain yang terbuat dari karet, lihat 2219- Industri bagian alas kaki yang terbuat dari plastik, lihat 2229- Industri sepatu bot ski, lihat 3230- Industri sepatu ortopedik, lihat 3250"
15201,"INDUSTRI ALAS KAKI UNTUK KEPERLUAN SEHARI-HARI","Kelompok ini mencakup usaha pembuatan alas kaki keperluan sehari-hari dari kulit dan kulit buatan, karet, kanvas dan kayu, seperti sepatu harian, sepatu santai (casual shoes), sepatu sandal, sandal kelom dan selop. Termasuk juga usaha pembuatan bagian-bagian dari alas kaki tersebut, seperti atasan, sol dalam, sol luar, penguat depan, penguat tengah, penguat belakang, lapisan dan aksesori dari kulit dan kulit buatan."
15202,"INDUSTRI SEPATU OLAHRAGA","Kelompok ini mencakup usaha pembuatan sepatu untuk olahraga dari kulit dan kulit buatan, karet dan kanvas, seperti sepatu sepak bola, sepatu atletik, sepatu senam, sepatu jogging dan sepatu ballet. Termasuk juga usaha pembuatan bagian bagian dari sepatu olahraga tersebut, meliputi atasan, sol luar, sol dalam, lapisan dan aksesori."
