"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
gpt;routine_lab_values;;text;GPT;;"xx.x U/l";number;0;10000;;;y;;;;;
ggt;routine_lab_values;;text;gammaGT;;"xx.x U/l";number;0;10000;;;y;;;;;
lipase;routine_lab_values;;text;Lipase;;"xx.x U/l";number;0;10000;;;;;;;;
crp;routine_lab_values;;text;CRP;;"xxx.x mg/l";number;0;1000;;;y;;;;;
iron;routine_lab_values;;text;Iron;;"xx.x Âµmol/l";number;0;1000;;;;;;;;
il6;routine_lab_values;;text;IL-6;;"xxxx.x ng/l";number;0;10000;;;;;;;;
lab_remarks;routine_lab_values;;text;"Remarks on the blood values";;;;;;;;;;;;;
stool_diagnostic;routine_lab_values;;descriptive;"Stool Diagnostics";;;;;;;;;;;;;
calprotectin;routine_lab_values;;text;Calprotectin;;"mg/kg stool";integer;;;;;;;;;;
endoscopy_performed;endoscopy;;yesno;"Endoscopy performed?";;;;;;;;y;;;;;
endoscopy_date;endoscopy;;text;"Date of endoscopy";;;date_dmy;;;;"[endoscopy_performed] = '1'";y;;;;;
sescd;endoscopy;;text;"SES-CD score";;;integer;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '1'";y;;;;;
cdeis;endoscopy;;text;CDEIS;;;integer;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '1'";;;;;;
cd_location;endoscopy;;radio;"Location of inflammation";"1, terminal ileal +/- limited ceacal disease | 2, colonic | 3, ileocolonic | 4, only upper GI disease | 9, no inflammation";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '1'";y;;;;;
cd_disease_behaviour;endoscopy;;radio;"Behaviour of disease";"1, Non stricturing non penetrating|2, Stricturing|3, Penetrating";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '1'";y;;;;;
cd_perianal;endoscopy;;yesno;"Perianal fistula?";;;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '1'";y;;;;;
extent_uc;endoscopy;;radio;"Extent of the disease";"0, Proctitis | 1, Rectosigmoiditis | 2, Left-sided collitis | 3, Pancolitis | 4, Other | 5, No inflammation";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";y;;;;;
extent_uc_hidden;endoscopy;;calc;"Extent Hidden";"if ([extent_uc] = 0, 1, if ([extent_uc] = 1, 2, if ([extent_uc] = 2, 2, if ([extent_uc] = 3, 3, """"))))";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";;;;;;" @HIDDEN"
endo_mayo;endoscopy;;radio;"Endoscopic Mayo score";"0, 0|1, 1|2, 2|3, 3";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";y;;;;;
uc_montreal;endoscopy;;descriptive;"<div class=""rich-text-field-label""><p>Montreal classification (UC):Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  E[extent_uc_hidden] S[endo_mayo]</p></div>";;;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";;;;;;
nancy_index;endoscopy;;text;"Nancy histology index (grade)";;;integer;0;4;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";y;;;;;
nancy_explanation;endoscopy;;descriptive;"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 43.2914%; height: 113px;"" border=""1""> <tbody> <tr> <td style=""width: 14.6466%; text-align: center;"">Nancy Index</td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">0</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">1</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">2</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">3</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">4</span></td> </tr> <tr> <td style=""width: 14.6466%; text-align: center;"">Sum of subscores</td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">0</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">1-3</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">5</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">6-7</span></td> <td style=""width: 14.6466%; text-align: center;""><span style=""font-weight: normal;"">8-9</span></td> </tr> </tbody> </table></div>";;;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";;;;;;
nancy_index_ulceration;endoscopy;;radio;"Nancy histology index: Ulceration";"0, 0 - none|2, 2 - yes";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";y;;;;;
nancy_index_acute;endoscopy;;radio;"Nancy histology index: Acute inflammatory cell infiltrate";"0, 0 - none|2, 2 - mild|3, 3 - moderate|4, 4 - severe";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";y;;;;;
nancy_index_chronic;endoscopy;;radio;"Nancy histology index: Chronic inflammatory infiltrates";"0, 0 - none|1, 1 - mild|3, 3 - moderate or marked increase";;;;;;"[endoscopy_performed] = '1' AND [week_0_arm_1][diagnosis] = '2'";y;;;;;
pro_available;prosquestionnaires;;yesno;"Did the patient receive, fill out and return the questionnaires?";;;;;;;;y;LV;;;;
urgency_nrs;prosquestionnaires;;radio;"Bowel Urgency/Stuhldrang";"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10";;;;;;"[pro_available] = '1'";;LH;;;;
eq5d_vas;prosquestionnaires;"<div class=""rich-text-field-label""><h2>EQ-5D questionnaire</h2></div>";slider;"EQ-5D - Visual Analog Scale";"0 |  | 100";;number;;;;"[pro_available] = '1'";y;RH;;;;
eq5d_q1;prosquestionnaires;;radio;"EQ-5D - Question 1 (Mobility)";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
eq5d_q2;prosquestionnaires;;radio;"EQ-5D - Question 2 (Self-care)";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
eq5d_q3;prosquestionnaires;;radio;"EQ-5D - Question 3 (Usual activities)";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
eq5d_q4;prosquestionnaires;;radio;"EQ-5D - Question 4 (Pain/Discomfort)";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
eq5d_q5;prosquestionnaires;;radio;"EQ-5D - Question 5 (Anxiety/Depression)";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp1;prosquestionnaires;"<div class=""rich-text-field-label""><h2>FACIT-F questionnaire (Version 4)</h2></div><br><br>Physical Wellbeing";radio;GP1;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp1_count;prosquestionnaires;;calc;"GP1 count";"if ([facit_gp1] = ""5"", 0, if ([facit_gp1] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gp2;prosquestionnaires;;radio;GP2;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp2_count;prosquestionnaires;;calc;"GP2 count";"if ([facit_gp2] = ""5"", 0, if ([facit_gp2] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gp3;prosquestionnaires;;radio;GP3;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp3_count;prosquestionnaires;;calc;"GP3 count";"if ([facit_gp3] = ""5"", 0, if ([facit_gp3] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gp4;prosquestionnaires;;radio;GP4;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp4_count;prosquestionnaires;;calc;"GP4 count";"if ([facit_gp4] = ""5"", 0, if ([facit_gp4] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gp5;prosquestionnaires;;radio;GP5;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp5_count;prosquestionnaires;;calc;"GP5 count";"if ([facit_gp5] = ""5"", 0, if ([facit_gp5] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gp6;prosquestionnaires;;radio;GP6;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp6_count;prosquestionnaires;;calc;"GP6 count";"if ([facit_gp6] = ""5"", 0, if ([facit_gp6] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gp7;prosquestionnaires;;radio;GP7;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gp7_count;prosquestionnaires;;calc;"GP7 count";"if ([facit_gp7] = ""5"", 0, if ([facit_gp7] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_pwb_score;prosquestionnaires;;calc;"PWB score";"((if([facit_gp1] < ""5"", 4-[facit_gp1], 0))+(if([facit_gp2] < ""5"", 4-[facit_gp2], 0))+(if([facit_gp3] < ""5"", 4-[facit_gp3], 0))+(if([facit_gp4] < ""5"", 4-[facit_gp4], 0))+(if([facit_gp5] < ""5"", 4-[facit_gp5], 0))+(if([facit_gp6] < ""5"", 4-[facit_gp6], 0))+
(if([facit_gp7] < ""5"", 4-[facit_gp7], 0)))*7/([facit_gp1_count]+[facit_gp2_count]+[facit_gp3_count]+[facit_gp4_count]+[facit_gp5_count]+[facit_gp6_count]+[facit_gp7_count])";;;;;;;;;;;;" @HIDDEN"
facit_gs1;prosquestionnaires;"Social Function";radio;GS1;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gs1_count;prosquestionnaires;;calc;"GS1 count";"if ([facit_gs1] = ""5"", 0, if ([facit_gs1] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gs2;prosquestionnaires;;radio;GS2;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gs2_count;prosquestionnaires;;calc;"GS2 count";"if ([facit_gs2] = ""5"", 0, if ([facit_gs2] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gs3;prosquestionnaires;;radio;GS3;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gs3_count;prosquestionnaires;;calc;"GS3 count";"if ([facit_gs3] = ""5"", 0, if ([facit_gs3] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gs4;prosquestionnaires;;radio;GS4;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gs4_count;prosquestionnaires;;calc;"GS4 count";"if ([facit_gs4] = ""5"", 0, if ([facit_gs4] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gs5;prosquestionnaires;;radio;GS5;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gs5_count;prosquestionnaires;;calc;"GS5 count";"if ([facit_gs5] = ""5"", 0, if ([facit_gs5] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gs6;prosquestionnaires;;radio;GS6;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gs6_count;prosquestionnaires;;calc;"GS6 count";"if ([facit_gs6] = ""5"", 0, if ([facit_gs6] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_q1;prosquestionnaires;;checkbox;Q1;"1, Yes";;;;;;"[pro_available] = '1'";;LH;;;;
facit_gs7;prosquestionnaires;;radio;GS7;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[facit_q1(1)] = '1'";y;LH;;;;
facit_gs7_count;prosquestionnaires;;calc;"GS7 count";"if ([facit_gs7] = ""5"", 0, if ([facit_gs7] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_swb_score;prosquestionnaires;;calc;"SWB score";"((if([facit_gs1] < ""5"", [facit_gs1], 0))+(if([facit_gs2] < ""5"", [facit_gs2], 0))+(if([facit_gs3] < ""5"", [facit_gs3], 0))+(if([facit_gs4] < ""5"", [facit_gs4], 0))+(if([facit_gs5] < ""5"", [facit_gs5], 0))+(if([facit_gs6] < ""5"", [facit_gs6], 0))+
(if([facit_gs7] < ""5"", [facit_gs7], 0)))*7/([facit_gs1_count]+[facit_gs2_count]+[facit_gs3_count]+[facit_gs4_count]+[facit_gs5_count]+[facit_gs6_count]+[facit_gs7_count])";;;;;;;;;;;;" @HIDDEN"
facit_ge1;prosquestionnaires;"Emotional Wellbeing";radio;GE1;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_ge1_count;prosquestionnaires;;calc;"GE1 count";"if ([facit_ge1] = ""5"", 0, if ([facit_ge1] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_ge2;prosquestionnaires;;radio;GE2;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_ge2_count;prosquestionnaires;;calc;"GE2 count";"if ([facit_ge2] = ""5"", 0, if ([facit_ge2] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_ge3;prosquestionnaires;;radio;GE3;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_ge3_count;prosquestionnaires;;calc;"GE3 count";"if ([facit_ge3] = ""5"", 0, if ([facit_ge3] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_ge4;prosquestionnaires;;radio;GE4;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_ge4_count;prosquestionnaires;;calc;"GE4 count";"if ([facit_ge4] = ""5"", 0, if ([facit_ge4] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_ge5;prosquestionnaires;;radio;GE5;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_ge5_count;prosquestionnaires;;calc;"GE5 count";"if ([facit_ge5] = ""5"", 0, if ([facit_ge5] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_ge6;prosquestionnaires;;radio;GE6;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_ge6_count;prosquestionnaires;;calc;"GE6 count";"if ([facit_ge6] = ""5"", 0, if ([facit_ge6] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_ewb_score;prosquestionnaires;;calc;"EWB score";"((if([facit_ge1] < ""5"", 4-[facit_ge1], 0))+(if([facit_ge2] < ""5"", [facit_ge2], 0))+(if([facit_ge3] < ""5"", 4-[facit_ge3], 0))+(if([facit_ge4] < ""5"", 4-[facit_ge4], 0))+(if([facit_ge5] < ""5"", 4-[facit_ge5], 0))+(if([facit_ge6] < ""5"", 4-[facit_ge6], 0)))*7/([facit_ge1_count]+[facit_ge2_count]+[facit_ge3_count]+[facit_ge4_count]+[facit_ge5_count]+[facit_ge6_count])";;;;;;;;;;;;" @HIDDEN"
facit_gf1;prosquestionnaires;Functionality;radio;GF1;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gf1_count;prosquestionnaires;;calc;"GF1 count";"if ([facit_gf1] = ""5"", 0, if ([facit_gf1] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gf2;prosquestionnaires;;radio;GF2;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gf2_count;prosquestionnaires;;calc;"GF2 count";"if ([facit_gf2] = ""5"", 0, if ([facit_gf2] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gf3;prosquestionnaires;;radio;GF3;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gf3_count;prosquestionnaires;;calc;"GF3 count";"if ([facit_gf3] = ""5"", 0, if ([facit_gf3] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gf4;prosquestionnaires;;radio;GF4;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gf4_count;prosquestionnaires;;calc;"GF4 count";"if ([facit_gf4] = ""5"", 0, if ([facit_gf4] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gf5;prosquestionnaires;;radio;GF5;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gf5_count;prosquestionnaires;;calc;"GF5 count";"if ([facit_gf5] = ""5"", 0, if ([facit_gf5] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gf6;prosquestionnaires;;radio;GF6;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gf6_count;prosquestionnaires;;calc;"GF6 count";"if ([facit_gf6] = ""5"", 0, if ([facit_gf6] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_gf7;prosquestionnaires;;radio;GF7;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_gf7_count;prosquestionnaires;;calc;"GF7 count";"if ([facit_gf7] = ""5"", 0, if ([facit_gf7] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_fwb_score;prosquestionnaires;;calc;"FWB score";"((if([facit_gf1] < ""5"", [facit_gf1], 0))+(if([facit_gf2] < ""5"", [facit_gf2], 0))+(if([facit_gf3] < ""5"", [facit_gf3], 0))+(if([facit_gf4] < ""5"", [facit_gf4], 0))+(if([facit_gf5] < ""5"", [facit_gf5], 0))+(if([facit_gf6] < ""5"", [facit_gf6], 0))+
(if([facit_gf7] < ""5"", [facit_gf7], 0)))*7/([facit_gf1_count]+[facit_gf2_count]+[facit_gf3_count]+[facit_gf4_count]+[facit_gf5_count]+[facit_gf6_count]+[facit_gf7_count])";;;;;;;;;;;;" @HIDDEN"
facit_hi7;prosquestionnaires;"Additional factors";radio;HI7;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_hi7_count;prosquestionnaires;;calc;"HI7 count";"if ([facit_hi7] = ""5"", 0, if ([facit_hi7] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_hi12;prosquestionnaires;;radio;HI12;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_hi12_count;prosquestionnaires;;calc;"HI12 count";"if ([facit_hi12] = ""5"", 0, if ([facit_hi12] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an1;prosquestionnaires;;radio;An1;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an1_count;prosquestionnaires;;calc;"An1 count";"if ([facit_an1] = ""5"", 0, if ([facit_an1] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an2;prosquestionnaires;;radio;An2;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an2_count;prosquestionnaires;;calc;"An2 count";"if ([facit_an2] = ""5"", 0, if ([facit_an2] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an3;prosquestionnaires;;radio;An3;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an3_count;prosquestionnaires;;calc;"An3 count";"if ([facit_an3] = ""5"", 0, if ([facit_an3] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an4;prosquestionnaires;;radio;An4;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an4_count;prosquestionnaires;;calc;"An4 count";"if ([facit_an4] = ""5"", 0, if ([facit_an4] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an5;prosquestionnaires;;radio;An5;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an5_count;prosquestionnaires;;calc;"An5 count";"if ([facit_an5] = ""5"", 0, if ([facit_an5] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an7;prosquestionnaires;;radio;An7;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an7_count;prosquestionnaires;;calc;"An7 count";"if ([facit_an7] = ""5"", 0, if ([facit_an7] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an8;prosquestionnaires;;radio;An8;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an8_count;prosquestionnaires;;calc;"An8 count";"if ([facit_an8] = ""5"", 0, if ([facit_an8] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an12;prosquestionnaires;;radio;An12;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an12_count;prosquestionnaires;;calc;"An12 count";"if ([facit_an12] = ""5"", 0, if ([facit_an12] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an14;prosquestionnaires;;radio;An14;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an14_count;prosquestionnaires;;calc;"An14 count";"if ([facit_an14] = ""5"", 0, if ([facit_an14] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an15;prosquestionnaires;;radio;An15;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an15_count;prosquestionnaires;;calc;"An15 count";"if ([facit_an15] = ""5"", 0, if ([facit_an15] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_an16;prosquestionnaires;;radio;An16;"0, 0|1, 1|2, 2|3, 3|4, 4|5, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
facit_an16_count;prosquestionnaires;;calc;"An16 count";"if ([facit_an16] = ""5"", 0, if ([facit_an16] < ""5"", 1, 0))";;;;;;;;;;;;" @HIDDEN"
facit_fs;prosquestionnaires;;calc;"Fatigue subscale";"((if([facit_hi7] < ""5"", 4-[facit_hi7], 0))+
(if([facit_hi12] < ""5"", 4-[facit_hi12], 0))+
(if([facit_an1] < ""5"", 4-[facit_an1], 0))+
(if([facit_an2] < ""5"", 4-[facit_an2], 0))+
(if([facit_an3] < ""5"", 4-[facit_an3], 0))+
(if([facit_an4] < ""5"", 4-[facit_an4], 0))+
(if([facit_an5] < ""5"", [facit_an5], 0))+
(if([facit_an7] < ""5"", [facit_an7], 0))+
(if([facit_an8] < ""5"", 4-[facit_an8], 0))+
(if([facit_an12] < ""5"", 4-[facit_an12], 0))+
(if([facit_an14] < ""5"", 4-[facit_an14], 0))+
(if([facit_an15] < ""5"", 4-[facit_an15], 0))+
(if([facit_an16] < ""5"", 4-[facit_an16], 0)))
*13/([facit_hi7_count]+[facit_hi12_count]+[facit_an1_count]+[facit_an2_count]+[facit_an3_count]+[facit_an4_count]+[facit_an5_count]+[facit_an7_count]+[facit_an8_count]+[facit_an12_count]+[facit_an14_count]+[facit_an15_count]+[facit_an16_count])";;;;;;;;;;;;" @HIDDEN"
facit_toi;prosquestionnaires;;calc;"FACIT-F Trial Outcome Index";[facit_pwb_score]+[facit_fwb_score]+[facit_fs];;;;;;;;;;;;" @HIDDEN"
facit_fact_g_score;prosquestionnaires;;calc;"FACT-G total score";[facit_pwb_score]+[facit_swb_score]+[facit_ewb_score]+[facit_fwb_score];;;;;;;;;;;;" @HIDDEN"
facit_total_score;prosquestionnaires;;calc;"FACIT-F total score";[facit_pwb_score]+[facit_swb_score]+[facit_ewb_score]+[facit_fwb_score]+[facit_fs];;;;;;;;;;;;" @HIDDEN"
promis_eddep04;prosquestionnaires;"<div class=""rich-text-field-label""><h2>PROMIS Depression Short Form 8a</h2></div>";radio;"EDDEP 04";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
promis_eddep06;prosquestionnaires;;radio;"EDDEP 06";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
promis_eddep29;prosquestionnaires;;radio;"EDDEP 29";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
promis_eddep41;prosquestionnaires;;radio;"EDDEP 41";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
promis_eddep22;prosquestionnaires;;radio;"EDDEP 22";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
promis_eddep36;prosquestionnaires;;radio;"EDDEP 36";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
promis_eddep05;prosquestionnaires;;radio;"EDDEP 05";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
promis_eddep09;prosquestionnaires;;radio;"EDDEP 09";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
sf36_q1;prosquestionnaires;"<div class=""rich-text-field-label""><h2>SF-36 questionnaire</h2></div>";radio;"SF-36 : Question 1";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
sf36_q2;prosquestionnaires;;radio;"SF-36 : Question 2";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
sf36_q3a;prosquestionnaires;"SF-36 : Question 3";radio;a;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3b;prosquestionnaires;;radio;b;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
