"name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm"	"b1	CV"	"samp	CV"	"pool	CV"	"ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV"	_MESURED_MONOISOTOPIC_MASS_	_PPM_ERROR_	_COMPUTED_MONOISOTOPIC_MASS_	_ANNOTATION_NAME_	_ANNOTATION_TYPE_	_ANNOTATION_IN_NEG_MODE_	_ANNOTATION_IN_POS_MODE_	_ANNOTATION_FORMULA_	_ID_	_ANNOTATIONS_
"M556T1492	282.1464	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	4988.84184	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					282.1464	0	282.1464	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 282.1464 hva - homovanillic acid"
"M556T1493	283.1456	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1306.601434	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					283.1456	0	283.1456	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 283.1456 hva - homovanillic acid"
"M556T1494	284.1445	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	457.310502	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					284.1445	0	284.1445	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 284.1445 hva - homovanillic acid"
"M556T1495	291.9319	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	308.8330663	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					291.9319	0	291.9319	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 291.9319 hva - homovanillic acid"
"M556T1496	293.9343	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	540.457866	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					293.9343	0	293.9343	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 293.9343 hva - homovanillic acid"
"M556T1497	296.0901	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	23310.95741	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					296.0901	0	296.0901	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 296.0901 hva - homovanillic acid"
"M556T1498	297.0925	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	5719.350824	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					297.0925	0	297.0925	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 297.0925 hva - homovanillic acid"
"M556T1499	298.0895	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2215.283341	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					298.0895	0	298.0895	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 298.0895 hva - homovanillic acid"
"M556T1500	299.0913	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	380.1022355	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					299.0913	0	299.0913	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 299.0913 hva - homovanillic acid"
"M556T1501	306.9547	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	861.1691272	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					306.9547	0	306.9547	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 306.9547 hva - homovanillic acid"
"M556T1502	308.9579	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1425.383383	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					308.9579	0	308.9579	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 308.9579 hva - homovanillic acid"
"M556T1503	311.1138	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	40373.98432	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					311.1138	0	311.1138	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 311.1138 hva - homovanillic acid"
"M556T1504	312.1154	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	10239.00397	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					312.1154	0	312.1154	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 312.1154 hva - homovanillic acid"
"M556T1505	313.1125	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	3884.169719	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					313.1125	0	313.1125	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 313.1125 hva - homovanillic acid"
"M556T1506	314.1131	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	677.0571069	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					314.1131	0	314.1131	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 314.1131 hva - homovanillic acid"
"M556T1507	326.1374	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	45695.41562	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					326.1374	0	326.1374	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 326.1374 hva - homovanillic acid"
"M556T1508	327.139	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	12246.4189	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					327.139	0	327.139	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.000 327.139 hva - homovanillic acid"
