debian_pkg, CPAN_dist, CPAN_vers, N_bugs, N_patches
"libdbix-sequence-perl", "DBIx-Sequence", "1.5", "1", "0"
"libdbix-simple-perl", "DBIx-Simple", "1.32", "0", "0"
"libdbix-xml-rdb-perl", "DBIx-XML_RDB", "0.05", "0", "0"
"libdbix-xmlmessage-perl", "DBIx-XMLMessage", "0.05", "0", "0"
"libdbm-deep-perl", "DBM-Deep", "1.0014", "0", "0"
"libdebug-trace-perl", "Debug-Trace", "0.04", "0", "0"
"libdeclare-constraints-simple-perl", "Declare-Constraints-Simple", "not-uploaded", "0", "0"
"libdevel-backtrace-perl", "Devel-Backtrace", "0.12", "0", "0"
"libdevel-caller-perl", "Devel-Caller", "2.03", "1", "0"
"libdevel-corestack-perl", "Devel-CoreStack", "1.3", "0", "0"
"libdevel-cover-perl", "Devel-Cover", "0.65", "0", "0"
"libdevel-cycle-perl", "Devel-Cycle", "1.11", "0", "0"
"libdevel-declare-perl", "Devel-Declare", "0.005011", "0", "0"
"libdevel-dumpvar-perl", "Devel-Dumpvar", "0.04", "0", "0"
"libdevel-ebug-perl", "Devel-ebug", "0.49", "0", "0"
"libdevel-findref-perl", "Devel-FindRef", "1.422", "0", "0"
"libdevel-gdb-perl", "Devel-GDB", "2.02", "0", "0"
"libdevel-globaldestruction-perl", "Devel-GlobalDestruction", "0.02", "0", "0"
"libdevel-leak-perl", "Devel-Leak", "0.03", "0", "0"
"libdevel-lexalias-perl", "Devel-LexAlias", "0.04", "1", "0"
"libdevel-nytprof-perl", "Devel-NYTProf", "2.10", "1", "0"
"libdevel-partialdump-perl", "Devel-PartialDump", "0.11", "0", "0"
"libdevel-profile-perl", "Devel-Profile", "1.05", "0", "0"
"libdevel-ptkdb-perl", "Devel-ptkdb", "1.1091", "0", "0"
"libdevel-refactor-perl", "Devel-Refactor", "0.05", "0", "0"
"libdevel-refcount-perl", "Devel-Refcount", "0.05", "0", "0"
"libdevel-repl-perl", "Devel-REPL", "1.003007", "1", "0"
"libdevel-simpletrace-perl", "Devel-SimpleTrace", "0.07", "0", "0"
"libdevel-size-perl", "Devel-Size", "0.71", "0", "0"
"libdevel-stacktrace-perl", "Devel-StackTrace", "1.2100", "0", "0"
"libdevice-cdio-perl", "Device-Cdio", "0.2.4", "0", "0"
"libdevice-serialport-perl", "Device-SerialPort", "1.04", "0", "0"
"libdigest-bubblebabble-perl", "Digest-BubbleBabble", "0.01", "0", "0"
"libdigest-crc-perl", "Digest-CRC", "0.14", "0", "0"
"libdigest-hmac-perl-dfsg", "Digest-HMAC", "1.01", "0", "0"
"libdigest-md2-perl-dfsg", "Digest-MD2", "2.03", "0", "0"
"libdigest-md4-perl", "Digest-MD4", "1.5.dfsg", "0", "0"
"libdigest-md5-file-perl", "Digest-MD5-File", "0.07", "0", "0"
"libdigest-perl", "Digest", "1.16", "0", "0"
"libdigest-sha-perl", "Digest-SHA", "5.47", "0", "0"
"libdigest-sha-pureperl-perl", "Digest-SHA-PurePerl", "not-uploaded", "0", "0"
"libdigest-sha1-perl", "Digest-SHA1", "2.12", "0", "0"
"libdir-purge-perl", "Dir-Purge", "1.02", "0", "0"
"libdirectory-scratch-perl", "Directory-Scratch", "0.14", "0", "0"
"libdrupal-admin-perl", "Drupal-Admin", "not-uploaded", "0", "0"
"libdublincore-record-perl", "DublinCore-Record", "0.03", "0", "0"
"libelf-extract-sections-perl", "ELF-Extract-Sections", "not-uploaded", "0", "0"
"libemail-abstract-perl", "Email-Abstract", "3.001", "0", "0"
"libemail-address-perl", "Email-Address", "1.889", "0", "0"
"libemail-date-format-perl", "Email-Date-Format", "1.002", "0", "0"
"libemail-date-perl", "Email-Date", "1.103", "0", "0"
"libemail-filter-perl", "Email-Filter", "1.032", "0", "0"
"libemail-folder-perl", "Email-Folder", "0.855", "0", "0"
"libemail-localdelivery-perl", "Email-LocalDelivery", "0.217", "0", "0"
"libemail-messageid-perl", "Email-MessageID", "1.400", "0", "0"
"libemail-mime-contenttype-perl", "Email-MIME-ContentType", "1.014", "0", "0"
"libemail-mime-createhtml-perl", "Email-MIME-CreateHTML", "1.026", "0", "0"
"libemail-mime-encodings-perl", "Email-MIME-Encodings", "1.313", "0", "0"
"libemail-mime-perl", "Email-MIME", "1.902", "1", "0"
"libemail-received-perl", "Email-Received", "1.00", "0", "0"
"libemail-send-io-perl", "Email-Send-IO", "2.200", "0", "0"
"libemail-send-perl", "Email-Send", "2.198", "0", "0"
"libemail-sender-perl", "Email-Sender", "0.091870", "0", "0"
"libemail-simple-creator-perl", "Email-Simple-Creator", "1.424", "0", "0"
"libemail-simple-perl", "Email-Simple", "2.004", "0", "0"
"libemail-thread-perl", "Email-Thread", "0.711", "0", "0"
"libemail-valid-loose-perl", "Email-Valid-Loose", "0.05", "0", "0"
"libembperl-perl", "Embperl", "2.3.0", "0", "0"
"libencode-detect-perl", "Encode-Detect", "1.01", "0", "0"
"libend-perl", "End", "2009040201", "0", "0"
"libenv-ps1-perl", "Env-PS1", "0.06", "0", "0"
"libenv-sanctify-perl", "Env-Sanctify", "1.02", "0", "0"
"libev-perl", "EV", "not-uploaded", "0", "0"
"libevent-perl", "Event", "1.12", "0", "0"
"libevent-rpc-perl", "Event-RPC", "1.01", "0", "0"
"libexception-class-perl", "Exception-Class", "1.29", "0", "0"
"libexception-class-trycatch-perl", "Exception-Class-TryCatch", "1.12", "0", "0"
"libexpect-simple-perl", "Expect-Simple", "0.04", "0", "0"
"libexporter-lite-perl", "Exporter-Lite", "0.02", "0", "0"
"libexporter-tidy-perl", "Exporter-Tidy", "0.07", "0", "0"
"libextutils-cbuilder-perl", "ExtUtils-CBuilder", "0.2700", "0", "0"
"libextutils-command-perl", "ExtUtils-Command", "1.16", "0", "0"
"libextutils-depends-perl", "ExtUtils-Depends", "0.301", "0", "0"
"libextutils-f77-perl", "ExtUtils-F77", "1.16", "0", "0"
"libextutils-install-perl", "ExtUtils-Install", "1.54", "0", "0"
"libextutils-parsexs-perl", "ExtUtils-ParseXS", "2.210000", "0", "0"
"libextutils-pkgconfig-perl", "ExtUtils-PkgConfig", "1.12", "0", "0"
"libextutils-xsbuilder-perl", "ExtUtils-XSBuilder", "0.28", "0", "0"
"libextutils-xspp-perl", "ExtUtils-XSpp", "0.05", "0", "0"
"libfax-hylafax-client-perl", "Fax-Hylafax-Client", "1.02", "0", "0"
"libfcgi-perl", "FCGI", "0.67", "3", "0"
"libfcgi-procmanager-perl", "FCGI-ProcManager", "0.18", "0", "0"
"libfeed-find-perl", "Feed-Find", "0.06", "0", "0"
"libfile-basedir-perl", "File-BaseDir", "0.03", "0", "0"
"libfile-bom-perl", "File-BOM", "0.14", "0", "0"
"libfile-changenotify-perl", "File-ChangeNotify", "0.08", "0", "0"
"libfile-chmod-perl", "File-chmod", "0.32", "0", "0"
"libfile-copy-recursive-perl", "File-Copy-Recursive", "0.38", "0", "0"
"libfile-counterfile-perl", "File-CounterFile", "1.04", "0", "0"
"libfile-desktopentry-perl", "File-DesktopEntry", "0.04", "1", "0"
"libfile-find-object-perl", "File-Find-Object", "0.2.1", "0", "0"
"libfile-find-object-rule-perl", "File-Find-Object-Rule", "0.0300", "0", "0"
"libfile-find-rule-perl", "File-Find-Rule", "0.30", "1", "0"
"libfile-find-rule-perl-perl", "File-Find-Rule-Perl", "1.08", "0", "0"
"libfile-find-rule-vcs-perl", "File-Find-Rule-VCS", "1.06", "0", "0"
"libfile-finder-perl", "File-Finder", "0.53", "0", "0"
"libfile-fnmatch-perl", "File-FnMatch", "0.02", "0", "0"
"libfile-fu-perl", "File-Fu", "0.0.6", "0", "0"
"libfile-libmagic-perl", "File-LibMagic", "0.91", "0", "0"
"libfile-localizenewlines-perl", "File-LocalizeNewlines", "1.11", "0", "0"
"libfile-mimeinfo-perl", "File-MimeInfo", "0.15", "4", "0"
"libfile-mmagic-xs-perl", "File-MMagic-XS", "0.09003", "0", "0"
"libfile-modified-perl", "File-Modified", "0.07", "0", "0"
"libfile-next-perl", "File-Next", "1.06", "0", "0"
"libfile-path-expand-perl", "File-Path-Expand", "1.02", "0", "0"
"libfile-path-perl", "File-Path", "2.08", "0", "0"
"libfile-pid-perl", "File-Pid", "1.01", "0", "0"
"libfile-policy-perl", "File-Policy", "1.005", "0", "0"
"libfile-pushd-perl", "File-pushd", "1.00", "0", "0"
"libfile-queue-perl", "File-Queue", "1.01a", "0", "0"
"libfile-read-perl", "File-Read", "0.0801", "0", "0"
"libfile-readbackwards-perl", "File-ReadBackwards", "1.04", "0", "0"
"libfile-remove-perl", "File-Remove", "1.42", "0", "0"
"libfile-scan-perl", "File-Scan", "1.43", "0", "0"
"libfile-sharedir-par-perl", "File-ShareDir-PAR", "0.05", "0", "0"
"libfile-spec-perl", "PathTools", "3.3100", "0", "0"
"libfile-sync-perl", "File-Sync", "0.09", "0", "0"
"libfile-temp-perl", "File-Temp", "0.22", "0", "0"
"libfile-touch-perl", "File-Touch", "0.08", "0", "0"
"libfile-which-perl", "File-Which", "1.08", "0", "0"
"libfilehandle-fmode-perl", "FileHandle-Fmode", "0.11", "0", "0"
"libfilehandle-unget-perl", "FileHandle-Unget", "0.1623", "0", "0"
"libfilesys-df-perl", "Filesys-Df", "0.92", "1", "0"
"libfilesys-smbclient-perl", "Filesys-SmbClient", "3.1", "1", "0"
"libfilter-crypto-perl", "Filter-Crypto", "not-uploaded", "0", "0"
"libfilter-eof-perl", "Filter-EOF", "0.04", "0", "0"
"libfilter-template-perl", "Filter-Template", "1.03", "0", "0"
"libfinance-bank-ie-permanenttsb-perl", "Finance-Bank-IE-PermanentTSB", "0.4", "0", "0"
"libfinance-streamer-perl", "Finance-Streamer", "1.10", "0", "0"
"libfind-lib-perl", "Find-Lib", "1.01", "0", "0"
"libflickr-api-perl", "Flickr-API", "1.01", "0", "0"
"libflickr-upload-perl", "Flickr-Upload", "1.32", "0", "0"
"libfont-afm-perl", "Font-AFM", "1.20", "0", "0"
"libfont-freetype-perl", "Font-FreeType", "0.03", "1", "2"
"libfont-ttf-perl", "Font-TTF", "0.45", "0", "0"
"libforks-perl", "forks", "0.33", "0", "0"
"libformvalidator-simple-perl", "FormValidator-Simple", "0.28", "0", "0"
"libfortune-perl", "Fortune", "0.2", "0", "0"
"libfreezethaw-perl", "FreezeThaw", "0.45", "0", "0"
"libgd-barcode-perl", "GD-Barcode", "1.15", "0", "0"
"libgd-securityimage-perl", "GD-SecurityImage", "1.68", "0", "0"
"libgd-svg-perl", "GD-SVG", "0.33", "0", "0"
"libgeo-ipfree-perl", "Geo-IPfree", "0.8", "0", "0"
"libgeo-metar-perl", "Geo-METAR", "1.15", "0", "0"
"libgetopt-argvfile-perl", "Getopt-ArgvFile", "1.11", "0", "0"
"libgetopt-declare-perl", "Getopt-Declare", "1.12", "0", "0"
"libgetopt-euclid-perl", "Getopt-Euclid", "0.2.1", "1", "0"
"libgetopt-long-descriptive-perl", "Getopt-Long-Descriptive", "0.077", "0", "0"
"libgetopt-tabular-perl", "Getopt-Tabular", "0.3", "0", "0"
"libgit-fastexport-perl", "Git-FastExport", "not-uploaded", "0", "0"
"libglib-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Glib-1.222.tar.gz", "1.222", "0", "0"
"libgnome2-canvas-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-Canvas-1.002.tar.gz", "1.002", "0", "0"
"libgnome2-gconf-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-GConf-1.044.tar.gz", "1.044", "0", "0"
"libgnome2-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-1.042.tar.gz", "1.042", "1", "0"
"libgnome2-vfs-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-VFS-1.081.tar.gz", "1.081", "0", "0"
"libgnome2-wnck-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-Wnck-0.16.tar.gz", "0.16", "0", "0"
"libgnupg-interface-perl", "GnuPG-Interface", "0.42", "1", "0"
"libgnupg-perl", "GnuPG", "0.10", "0", "0"
"libgoo-canvas-perl", "Goo-Canvas", "0.06", "0", "0"
"libgraph-readwrite-perl", "Graph-ReadWrite", "2.00", "0", "0"
"libgraph-writer-graphviz-perl", "Graph-Writer-GraphViz", "0.10", "0", "0"
"libgraphics-colornames-www-perl", "Graphics-ColorNames-WWW", "1.00", "0", "0"
"libgraphics-gnuplotif-perl", "Graphics-GnuplotIF", "1.5", "0", "0"
"libgravatar-url-perl", "Gravatar-URL", "1.01", "0", "0"
"libgssapi-perl", "GSSAPI", "0.26", "1", "0"
"libgstreamer-interfaces-perl", "GStreamer-Interfaces", "0.04", "0", "0"
"libgstreamer-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/GStreamer-0.15.tar.gz", "0.15", "0", "0"
"libgtk2-ex-entry-pango-perl", "Gtk2-Ex-Entry-Pango", "0.07", "0", "0"
"libgtk2-ex-podviewer-perl", "Gtk2-Ex-PodViewer", "0.18", "0", "0"
"libgtk2-ex-printdialog-perl", "Gtk2-Ex-PrintDialog", "0.03", "0", "0"
"libgtk2-ex-simple-list-perl", "Gtk2-Ex-Simple-List", "0.50", "0", "0"
"libgtk2-ex-volumebutton-perl", "Gtk2-Ex-VolumeButton", "0.07", "0", "0"
"libgtk2-gladexml-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-GladeXML-1.007.tar.gz", "1.007", "0", "0"
"libgtk2-gladexml-simple-perl", "Gtk2-GladeXML-Simple", "0.32", "0", "0"
"libgtk2-imageview-perl", "Gtk2-ImageView", "0.05", "0", "0"
"libgtk2-mozembed-perl", "Gtk2-MozEmbed", "0.08", "0", "0"
"libgtk2-notify-perl", "Gtk2-Notify", "0.05", "0", "0"
"libgtk2-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-1.221.tar.gz", "1.221", "0", "0"
"libgtk2-sexy-perl", "Gtk2-Sexy", "0.04", "0", "0"
"libgtk2-sourceview-perl", "Gtk2-SourceView", "not-uploaded", "0", "0"
"libgtk2-spell-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-Spell-1.03.tar.gz", "1.03", "0", "0"
"libgtk2-trayicon-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-TrayIcon-0.06.tar.gz", "0.06", "0", "0"
"libgtk2-traymanager-perl", "Gtk2-TrayManager", "0.05", "0", "0"
"libgtk2-unique-perl", "Gtk2-Unique", "0.02", "0", "0"
"libgtk2-webkit-perl", "Gtk2-WebKit", "not-uploaded", "0", "0"
"libguard-perl", "Guard", "1.02", "0", "0"
"libhash-case-perl", "Hash-Case", "1.006", "0", "0"
"libhash-flatten-perl", "Hash-Flatten", "1.16", "0", "0"
"libhash-merge-simple-perl", "Hash-Merge-Simple", "0.04", "0", "0"
"libhash-util-fieldhash-compat-perl", "Hash-Util-FieldHash-Compat", "not-uploaded", "0", "0"
"libhash-withdefaults-perl", "Hash-WithDefaults", "0.04", "0", "0"
"libhook-lexwrap-perl", "Hook-LexWrap", "0.22", "0", "0"
"libhook-wrapsub-perl", "Hook-WrapSub", "0.03", "0", "0"
"libhtml-clean-perl", "HTML-Clean", "0.8", "0", "0"
"libhtml-copy-perl", "HTML-Copy", "1.30", "0", "0"
"libhtml-display-perl", "HTML-Display", "0.39", "0", "0"
"libhtml-fillinform-perl", "HTML-FillInForm", "2.00", "0", "0"
"libhtml-format-perl", "HTML-Format", "2.04", "0", "0"
"libhtml-formattext-withlinks-perl", "HTML-FormatText-WithLinks", "0.11", "0", "0"
"libhtml-formfu-model-dbic-perl", "HTML-FormFu-Model-DBIC", "0.05002", "0", "0"
"libhtml-formfu-perl", "HTML-FormFu", "0.05001", "0", "0"
"libhtml-highlight-perl", "HTML-Highlight", "0.20", "0", "0"
"libhtml-latemp-genmakehelpers-perl", "HTML-Latemp-GenMakeHelpers", "not-uploaded", "0", "0"
"libhtml-latemp-navlinks-genhtml-perl", "HTML-Latemp-NavLinks-GenHtml", "not-uploaded", "0", "0"
"libhtml-latemp-news-perl", "HTML-Latemp-News", "not-uploaded", "0", "0"
"libhtml-lint-perl", "HTML-Lint", "2.06", "2", "0"
"libhtml-munger-perl", "unknown", "not-uploaded", "0", "0"
"libhtml-packer-perl", "HTML-Packer", "0.4", "0", "0"
"libhtml-parser-perl", "HTML-Parser", "3.64", "0", "0"
"libhtml-prototype-perl", "HTML-Prototype", "1.48", "1", "0"
"libhtml-rewriteattributes-perl", "HTML-RewriteAttributes", "0.03", "0", "0"
"libhtml-scrubber-perl", "HTML-Scrubber", "0.08", "2", "0"
"libhtml-selector-xpath-perl", "HTML-Selector-XPath", "0.03", "0", "0"
"libhtml-simpleparse-perl", "HTML-SimpleParse", "0.12", "0", "0"
"libhtml-strip-perl", "HTML-Strip", "1.06", "0", "0"
"libhtml-stripscripts-parser-perl", "HTML-StripScripts-Parser", "1.03", "0", "0"
"libhtml-stripscripts-perl", "HTML-StripScripts", "1.05", "0", "0"
"libhtml-tagcloud-perl", "HTML-TagCloud", "0.34", "0", "0"
"libhtml-tagfilter-perl", "HTML-TagFilter", "1.03", "0", "0"
"libhtml-tagset-perl", "HTML-Tagset", "3.20", "0", "0"
"libhtml-template-compiled-perl", "HTML-Template-Compiled", "0.94", "0", "0"
"libhtml-template-expr-perl", "HTML-Template-Expr", "0.07", "0", "0"
"libhtml-template-pro-perl", "HTML-Template-Pro", "0.92", "0", "0"
"libhtml-tidy-perl", "HTML-Tidy", "1.08", "0", "0"
"libhtml-tiny-perl", "HTML-Tiny", "1.05", "1", "0"
"libhtml-tree-perl", "HTML-Tree", "3.23", "2", "0"
"libhtml-treebuilder-xpath-perl", "HTML-TreeBuilder-XPath", "0.11", "0", "0"
"libhtml-widget-perl", "HTML-Widget", "1.11", "0", "0"
"libhtml-widgets-navmenu-perl", "HTML-Widgets-NavMenu", "1.0302", "0", "0"
"libhtml-wikiconverter-dokuwiki-perl", "HTML-WikiConverter-DokuWiki", "0.53", "0", "0"
"libhtml-wikiconverter-kwiki-perl", "HTML-WikiConverter-Kwiki", "0.51", "0", "0"
"libhtml-wikiconverter-markdown-perl", "HTML-WikiConverter-Markdown", "0.02", "2", "0"
"libhtml-wikiconverter-mediawiki-perl", "HTML-WikiConverter-MediaWiki", "0.59", "0", "0"
"libhtml-wikiconverter-moinmoin-perl", "HTML-WikiConverter-MoinMoin", "0.53", "1", "0"
"libhtml-wikiconverter-oddmuse-perl", "HTML-WikiConverter-Oddmuse", "0.52", "0", "0"
"libhtml-wikiconverter-perl", "HTML-WikiConverter", "0.68", "2", "0"
"libhtml-wikiconverter-phpwiki-perl", "HTML-WikiConverter-PhpWiki", "0.51", "0", "0"
"libhtml-wikiconverter-pmwiki-perl", "HTML-WikiConverter-PmWiki", "0.51", "0", "0"
"libhtml-wikiconverter-snipsnap-perl", "HTML-WikiConverter-SnipSnap", "0.50", "0", "0"
"libhtml-wikiconverter-tikiwiki-perl", "HTML-WikiConverter-TikiWiki", "0.50", "0", "0"
"libhtml-wikiconverter-usemod-perl", "HTML-WikiConverter-UseMod", "0.50", "0", "0"
"libhtml-wikiconverter-wakkawiki-perl", "HTML-WikiConverter-WakkaWiki", "0.50", "0", "0"
"libhtml-wikiconverter-wikkawiki-perl", "HTML-WikiConverter-WikkaWiki", "0.50", "0", "0"
"libhttp-body-perl", "HTTP-Body", "1.05", "0", "0"
"libhttp-parser-perl", "HTTP-Parser", "0.04", "0", "0"
"libhttp-proxy-perl", "HTTP-Proxy", "0.24", "0", "0"
"libhttp-recorder-perl", "HTTP-Recorder", "0.05", "0", "0"
"libhttp-request-ascgi-perl", "HTTP-Request-AsCGI", "0.9", "0", "0"
"libhttp-request-params-perl", "HTTP-Request-Params", "1.01", "0", "0"
"libhttp-response-encoding-perl", "HTTP-Response-Encoding", "0.05", "0", "0"
"libhttp-server-simple-mason-perl", "HTTP-Server-Simple-Mason", "0.13", "0", "0"
"libhttp-server-simple-perl", "HTTP-Server-Simple", "0.41", "0", "0"
"libhttp-server-simple-recorder-perl", "HTTP-Server-Simple-Recorder", "0.03", "0", "0"
"libhttp-server-simple-static-perl", "HTTP-Server-Simple-Static", "0.07", "0", "0"
"libi18n-acceptlanguage-perl", "I18N-AcceptLanguage", "1.04", "0", "0"
"libi18n-charset-perl", "I18N-Charset", "1.394", "0", "0"
"libima-dbi-perl", "Ima-DBI", "0.35", "0", "1"
"libimage-exif-perl", "Image-EXIF", "1.00.3", "1", "0"
"libimage-librsvg-perl", "Image-LibRSVG", "0.07", "0", "0"
"libimage-math-constrain-perl", "Image-Math-Constrain", "1.02", "0", "0"
"libimage-seek-perl", "Image-Seek", "0.02", "0", "0"
"libimage-size-perl", "Image-Size", "3.220", "0", "0"
"libimager-perl", "Imager", "0.71", "0", "0"
"libimap-admin-perl", "IMAP-Admin", "1.6.6", "0", "0"
"libinline-perl", "Inline", "0.45", "1", "0"
"libio-all-lwp-perl", "IO-All-LWP", "0.14", "0", "0"
"libio-all-perl", "IO-All", "0.39", "0", "0"
"libio-async-loop-epoll-perl", "IO-Async-Loop-Epoll", "0.07", "0", "0"
"libio-async-loop-glib-perl", "IO-Async-Loop-Glib", "0.17", "0", "0"
"libio-async-perl", "IO-Async", "0.25", "0", "0"
"libio-bufferedselect-perl", "IO-BufferedSelect", "1.0", "0", "0"
"libio-capture-perl", "IO-Capture", "0.05", "1", "0"
"libio-compress-perl", "IO-Compress", "2.022", "6", "0"
"libio-epoll-perl", "IO-Epoll", "0.02", "0", "0"
"libio-interface-perl", "IO-Interface", "1.05", "0", "0"
"libio-multiplex-perl", "IO-Multiplex", "1.10", "0", "0"
"libio-prompt-perl", "IO-Prompt", "0.99.4", "0", "0"
"libio-socket-multicast-perl", "IO-Socket-Multicast", "1.05", "0", "0"
"libio-socket-multicast6-perl", "IO-Socket-Multicast6", "not-uploaded", "0", "0"
"libio-socket-socks-perl", "IO-Socket-Socks", "0.1", "0", "0"
"libio-socket-ssl-perl", "IO-Socket-SSL", "1.31", "0", "0"
"libio-string-perl", "IO-String", "1.08", "0", "0"
"libio-tee-perl", "IO-Tee", "0.64", "0", "0"
"libio-tiecombine-perl", "IO-TieCombine", "1.000", "0", "0"
"libio-zlib-perl", "IO-Zlib", "1.09", "1", "0"
"libipc-pubsub-perl", "IPC-PubSub", "0.29", "0", "0"
"libipc-run-perl", "IPC-Run", "0.84", "3", "0"
"libipc-run3-perl", "IPC-Run3", "0.042", "0", "0"
"libipc-shareable-perl", "IPC-Shareable", "0.60", "1", "0"
"libipc-sharedcache-perl", "IPC-SharedCache", "1.3", "0", "0"
"libipc-sharelite-perl", "IPC-ShareLite", "0.17", "0", "0"
"libipc-system-simple-perl", "IPC-System-Simple", "1.18", "1", "0"
"libiptables-chainmgr-perl", "http://www.cipherdyne.com/modules/IPTables-ChainMgr-0.9.tar.gz", "0.9", "0", "0"
"libiptables-parse-perl", "http://www.cipherdyne.com/modules/IPTables-Parse-0.7.tar.gz", "0.7", "0", "0"
"libiterator-simple-perl", "Iterator-Simple", "not-uploaded", "0", "0"
"libjavascript-beautifier-perl", "JavaScript-Beautifier", "0.16", "0", "0"
"libjavascript-minifier-xs-perl", "JavaScript-Minifier-XS", "0.06", "0", "0"
"libjavascript-packer-perl", "JavaScript-Packer", "0.02", "0", "0"
"libjavascript-perl", "JavaScript", "1.12", "3", "0"
"libjifty-dbi-perl", "Jifty-DBI", "0.59", "0", "0"
"libjifty-plugin-authentication-bitcard-perl", "Jifty-Plugin-Authentication-Bitcard", "0.053", "0", "0"
"libjifty-plugin-authentication-cas-perl", "Jifty-Plugin-Authentication-CAS", "1.00", "0", "0"
"libjifty-plugin-authentication-facebook-perl", "Jifty-Plugin-Authentication-Facebook", "0.90000", "0", "0"
"libjifty-plugin-authentication-ldap-perl", "Jifty-Plugin-Authentication-Ldap", "1.00", "0", "0"
"libjifty-plugin-authzldap-perl", "Jifty-Plugin-AuthzLDAP", "0.90000", "0", "0"
"libjifty-plugin-chart-perl", "Jifty-Plugin-Chart", "1.01", "0", "0"
"libjifty-plugin-comment-perl", "Jifty-Plugin-Comment", "1.00", "0", "0"
"libjifty-plugin-googlemap-perl", "Jifty-Plugin-GoogleMap", "1.00", "0", "0"
"libjifty-plugin-oauth-perl", "Jifty-Plugin-OAuth", "not-uploaded", "0", "0"
"libjifty-plugin-openid-perl", "Jifty-Plugin-OpenID", "1.00", "0", "0"
"libjifty-plugin-sitenews-perl", "Jifty-Plugin-SiteNews", "0.90000", "0", "0"
"libjifty-plugin-userpic-perl", "Jifty-Plugin-Userpic", "0.90000", "0", "0"
"libjifty-plugin-wikitoolbar-perl", "Jifty-Plugin-WikiToolbar", "0.90000", "0", "0"
"libjira-client-perl", "JIRA-Client", "0.21", "0", "0"
"libjson-any-perl", "JSON-Any", "1.22", "0", "0"
"libjson-perl", "JSON", "2.16", "0", "0"
"libjson-xs-perl", "JSON-XS", "2.260", "0", "0"
"libkiokudb-perl", "KiokuDB", "not-uploaded", "0", "0"
"libkwiki-cache-perl", "Kwiki-Cache", "0.11", "0", "0"
"libkwiki-perl", "Kwiki", "0.39", "1", "0"
"liblatex-driver-perl", "LaTeX-Driver", "0.08", "0", "0"
"liblatex-encode-perl", "LaTeX-Encode", "0.03", "0", "0"
"liblatex-table-perl", "LaTeX-Table", "1.0.0", "0", "0"
"liblchown-perl", "Lchown", "1.01", "0", "0"
"liblexical-persistence-perl", "Lexical-Persistence", "0.98", "1", "0"
"liblingua-en-inflect-number-perl", "Lingua-EN-Inflect-Number", "1.1", "0", "0"
"liblingua-en-inflect-perl", "Lingua-EN-Inflect", "1.891", "0", "0"
"liblingua-en-nameparse-perl", "Lingua-EN-NameParse", "1.24", "0", "0"
"liblingua-en-numbers-ordinate-perl", "Lingua-EN-Numbers-Ordinate", "1.02", "0", "0"
"liblingua-es-numeros-perl", "Lingua-ES-Numeros", "0.06", "0", "0"
"liblingua-ispell-perl", "Lingua-Ispell", "0.07", "0", "0"
"liblingua-preferred-perl", "Lingua-Preferred", "0.2.4", "0", "0"
"liblinux-lvm-perl", "Linux-LVM", "0.14", "1", "0"
"liblinux-usermod-perl", "Linux-usermod", "0.69", "0", "0"
"liblist-compare-perl", "List-Compare", "0.37", "0", "0"
"liblist-moreutils-perl", "List-MoreUtils", "0.25~02", "1", "0"
"libload-perl", "load", "0.19", "0", "0"
"liblocal-lib-perl", "local-lib", "1.004009", "0", "0"
"liblocale-gettext-perl", "gettext", "1.05", "1", "0"
"liblocale-maketext-fuzzy-perl", "Locale-Maketext-Fuzzy", "0.10", "0", "0"
"liblocale-maketext-gettext-perl", "Locale-Maketext-Gettext", "1.28", "0", "0"
"liblocale-maketext-lexicon-perl", "Locale-Maketext-Lexicon", "0.77", "0", "0"
"liblocale-msgfmt-perl", "Locale-Msgfmt", "0.14", "0", "0"
"liblocale-subcountry-perl", "Locale-SubCountry", "1.41", "0", "0"
"liblocale-us-perl", "Locale-US", "1.2", "0", "0"
"liblockfile-simple-perl", "LockFile-Simple", "0.207", "4", "0"
"liblog-agent-logger-perl", "Log-Agent-Logger", "0.1.1", "0", "0"
"liblog-agent-perl", "Log-Agent", "0.307", "0", "0"
"liblog-agent-rotate-perl", "Log-Agent-Rotate", "0.104", "0", "0"
"liblog-handler-perl", "Log-Handler", "0.62", "0", "0"
"liblog-loglite-perl", "Log-LogLite", "0.82", "0", "0"
"liblog-trace-perl", "Log-Trace", "1.070", "1", "0"
"liblog-tracemessages-perl", "Log-TraceMessages", "1.4", "0", "0"
"liblogger-syslog-perl", "Logger-Syslog", "1.1", "1", "0"
"liblwp-authen-wsse-perl", "LWP-Authen-Wsse", "0.05", "0", "0"
"liblwp-online-perl", "LWP-Online", "1.07", "0", "0"
