Id;CustomerId;OrderDate;Freight;ProductName;QuantityPerUnit;UnitPriceProduct;Discount;UnitPriceOrder;Quantity;Amount
10449/62;BLONP;2013-02-18;53.3;Tarte au sucre;48 pies;49.3;0;39.4;35;1379
10450/10;VICTE;2013-02-19;7.23;Ikura;12 - 200 ml jars;31;0.2;24.8;20;496
10450/54;VICTE;2013-02-19;7.23;Tourtière;16 pies;7.45;0.2;5.9;6;35.400000000000006
10451/55;QUICK;2013-02-19;189.09;Pâté chinois;24 boxes x 2 pies;24;0.1;19.2;120;2304
10451/64;QUICK;2013-02-19;189.09;Wimmers gute Semmelknödel;20 bags x 4 pieces;33.25;0.1;26.6;35;931
10451/65;QUICK;2013-02-19;189.09;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0.1;16.8;28;470.40000000000003
10451/77;QUICK;2013-02-19;189.09;Original Frankfurter grüne Soße;12 boxes;13;0.1;10.4;55;572
10452/28;SAVEA;2013-02-20;140.26;Rössle Sauerkraut;25 - 825 g cans;45.6;0;36.4;15;546
10452/44;SAVEA;2013-02-20;140.26;Gula Malacca;20 - 2 kg bags;19.45;0.05;15.5;100;1550
10453/48;AROUT;2013-02-21;25.36;Chocolade;10 pkgs.;12.75;0.1;10.2;15;153
10453/70;AROUT;2013-02-21;25.36;Outback Lager;24 - 355 ml bottles;15;0.1;12;25;300
10454/16;LAMAI;2013-02-21;2.74;Pavlova;32 - 500 g boxes;17.45;0.2;13.9;20;278
10454/33;LAMAI;2013-02-21;2.74;Geitost;500 g;2.5;0.2;2;20;40
10454/46;LAMAI;2013-02-21;2.74;Spegesild;4 - 450 g glasses;12;0.2;9.6;10;96
10455/39;WARTH;2013-02-24;180.45;Chartreuse verte;750 cc per bottle;18;0;14.4;20;288
10455/53;WARTH;2013-02-24;180.45;Perth Pasties;48 pieces;32.8;0;26.2;50;1310
10455/61;WARTH;2013-02-24;180.45;Sirop d'érable;24 - 500 ml bottles;28.5;0;22.8;25;570
10455/71;WARTH;2013-02-24;180.45;Flotemysost;10 - 500 g pkgs.;21.5;0;17.2;30;516
10456/21;KOENE;2013-02-25;8.12;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0.15;8;40;320
10456/49;KOENE;2013-02-25;8.12;Maxilaku;24 - 50 g pkgs.;20;0.15;16;21;336
10457/59;KOENE;2013-02-25;11.57;Raclette Courdavault;5 kg pkg.;55;0;44;36;1584
10458/26;SUPRD;2013-02-26;147.06;Gumbär Gummibärchen;100 - 250 g bags;31.23;0;24.9;30;747
10458/28;SUPRD;2013-02-26;147.06;Rössle Sauerkraut;25 - 825 g cans;45.6;0;36.4;30;1092
10458/43;SUPRD;2013-02-26;147.06;Ipoh Coffee;16 - 500 g tins;46;0;36.8;20;736
10458/56;SUPRD;2013-02-26;147.06;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;30.4;15;456
10458/71;SUPRD;2013-02-26;147.06;Flotemysost;10 - 500 g pkgs.;21.5;0;17.2;50;860
10459/7;VICTE;2013-02-27;25.09;Uncle Bob's Organic Dried Pears;12 - 1 lb pkgs.;30;0.05;24;16;384
10459/46;VICTE;2013-02-27;25.09;Spegesild;4 - 450 g glasses;12;0.05;9.6;20;192
10459/72;VICTE;2013-02-27;25.09;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;40;1112
10460/68;FOLKO;2013-02-28;16.27;Scottish Longbreads;10 boxes x 8 pieces;12.5;0.25;10;21;210
10460/75;FOLKO;2013-02-28;16.27;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0.25;6.2;4;24.8
10461/21;LILAS;2013-02-28;148.61;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0.25;8;40;320
10461/30;LILAS;2013-02-28;148.61;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0.25;20.7;28;579.6
10461/55;LILAS;2013-02-28;148.61;Pâté chinois;24 boxes x 2 pies;24;0.25;19.2;60;1152
10462/13;CONSH;2013-03-03;6.17;Konbu;2 kg box;6;0;4.8;1;4.8
10462/23;CONSH;2013-03-03;6.17;Tunnbröd;12 - 250 g pkgs.;9;0;7.2;21;151.20000000000002
10463/19;SUPRD;2013-03-04;14.78;Teatime Chocolate Biscuits;10 boxes x 12 pieces;9.2;0;7.3;21;153.29999999999998
10463/42;SUPRD;2013-03-04;14.78;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0;11.2;50;560
10464/4;FURIB;2013-03-04;89;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0.2;17.6;16;281.6
10464/43;FURIB;2013-03-04;89;Ipoh Coffee;16 - 500 g tins;46;0;36.8;3;110.39999999999999
10464/56;FURIB;2013-03-04;89;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0.2;30.4;30;912
10464/60;FURIB;2013-03-04;89;Camembert Pierrot;15 - 300 g rounds;34;0;27.2;20;544
10465/24;VAFFE;2013-03-05;145.04;Guaraná Fantástica;12 - 355 ml cans;4.5;0;3.6;25;90
10465/29;VAFFE;2013-03-05;145.04;Thüringer Rostbratwurst;50 bags x 30 sausgs.;123.79;0.1;99;18;1782
10465/40;VAFFE;2013-03-05;145.04;Boston Crab Meat;24 - 4 oz tins;18.4;0;14.7;20;294
10465/45;VAFFE;2013-03-05;145.04;Rogede sild;1k pkg.;9.5;0.1;7.6;30;228
10465/50;VAFFE;2013-03-05;145.04;Valkoinen suklaa;12 - 100 g bars;16.25;0;13;25;325
10466/11;COMMI;2013-03-06;11.93;Queso Cabrales;1 kg pkg.;21;0;16.8;10;168
10466/46;COMMI;2013-03-06;11.93;Spegesild;4 - 450 g glasses;12;0;9.6;5;48
10467/24;MAGAA;2013-03-06;4.93;Guaraná Fantástica;12 - 355 ml cans;4.5;0;3.6;28;100.8
10467/25;MAGAA;2013-03-06;4.93;NuNuCa Nuß-Nougat-Creme;20 - 450 g glasses;14;0;11.2;12;134.39999999999998
10468/30;KOENE;2013-03-07;44.12;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0;20.7;8;165.6
10468/43;KOENE;2013-03-07;44.12;Ipoh Coffee;16 - 500 g tins;46;0;36.8;15;552
10469/2;WHITC;2013-03-10;60.18;Chang;24 - 12 oz bottles;19;0.15;15.2;40;608
10469/16;WHITC;2013-03-10;60.18;Pavlova;32 - 500 g boxes;17.45;0.15;13.9;35;486.5
10469/44;WHITC;2013-03-10;60.18;Gula Malacca;20 - 2 kg bags;19.45;0.15;15.5;2;31
10470/18;BONAP;2013-03-11;64.56;Carnarvon Tigers;16 kg pkg.;62.5;0;50;30;1500
10470/23;BONAP;2013-03-11;64.56;Tunnbröd;12 - 250 g pkgs.;9;0;7.2;15;108
10470/64;BONAP;2013-03-11;64.56;Wimmers gute Semmelknödel;20 bags x 4 pieces;33.25;0;26.6;8;212.8
10471/7;BSBEV;2013-03-11;45.59;Uncle Bob's Organic Dried Pears;12 - 1 lb pkgs.;30;0;24;30;720
10471/56;BSBEV;2013-03-11;45.59;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;30.4;20;608
10472/24;SEVES;2013-03-12;4.2;Guaraná Fantástica;12 - 355 ml cans;4.5;0.05;3.6;80;288
10472/51;SEVES;2013-03-12;4.2;Manjimup Dried Apples;50 - 300 g pkgs.;53;0;42.4;18;763.1999999999999
10473/33;ISLAT;2013-03-13;16.37;Geitost;500 g;2.5;0;2;12;24
10473/71;ISLAT;2013-03-13;16.37;Flotemysost;10 - 500 g pkgs.;21.5;0;17.2;12;206.39999999999998
10474/14;PERIC;2013-03-13;83.49;Tofu;40 - 100 g pkgs.;23.25;0;18.6;12;223.20000000000002
10474/28;PERIC;2013-03-13;83.49;Rössle Sauerkraut;25 - 825 g cans;45.6;0;36.4;18;655.1999999999999
10474/40;PERIC;2013-03-13;83.49;Boston Crab Meat;24 - 4 oz tins;18.4;0;14.7;21;308.7
10474/75;PERIC;2013-03-13;83.49;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;6.2;10;62
10475/31;SUPRD;2013-03-14;68.52;Gorgonzola Telino;12 - 100 g pkgs;12.5;0.15;10;35;350
10475/66;SUPRD;2013-03-14;68.52;Louisiana Hot Spiced Okra;24 - 8 oz jars;17;0.15;13.6;60;816
10475/76;SUPRD;2013-03-14;68.52;Lakkalikööri;500 ml;18;0.15;14.4;42;604.8000000000001
10476/55;HILAA;2013-03-17;4.41;Pâté chinois;24 boxes x 2 pies;24;0.05;19.2;2;38.4
10476/70;HILAA;2013-03-17;4.41;Outback Lager;24 - 355 ml bottles;15;0;12;12;144
10477/1;PRINI;2013-03-17;13.02;Chai;10 boxes x 20 bags;18;0;14.4;15;216
10477/21;PRINI;2013-03-17;13.02;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0.25;8;21;168
10477/39;PRINI;2013-03-17;13.02;Chartreuse verte;750 cc per bottle;18;0.25;14.4;20;288
10478/10;VICTE;2013-03-18;4.81;Ikura;12 - 200 ml jars;31;0.05;24.8;20;496
10479/38;RATTC;2013-03-19;708.95;Côte de Blaye;12 - 75 cl bottles;263.5;0;210.8;30;6324
10479/53;RATTC;2013-03-19;708.95;Perth Pasties;48 pieces;32.8;0;26.2;28;733.6
10479/59;RATTC;2013-03-19;708.95;Raclette Courdavault;5 kg pkg.;55;0;44;60;2640
10479/64;RATTC;2013-03-19;708.95;Wimmers gute Semmelknödel;20 bags x 4 pieces;33.25;0;26.6;30;798
10480/47;FOLIG;2013-03-20;1.35;Zaanse koeken;10 - 4 oz boxes;9.5;0;7.6;30;228
10480/59;FOLIG;2013-03-20;1.35;Raclette Courdavault;5 kg pkg.;55;0;44;12;528
10481/49;RICAR;2013-03-20;64.33;Maxilaku;24 - 50 g pkgs.;20;0;16;24;384
10481/60;RICAR;2013-03-20;64.33;Camembert Pierrot;15 - 300 g rounds;34;0;27.2;40;1088
10482/40;LAZYK;2013-03-21;7.48;Boston Crab Meat;24 - 4 oz tins;18.4;0;14.7;10;147
10483/34;WHITC;2013-03-24;15.28;Sasquatch Ale;24 - 12 oz bottles;14;0.05;11.2;35;392
10483/77;WHITC;2013-03-24;15.28;Original Frankfurter grüne Soße;12 boxes;13;0.05;10.4;30;312
10484/21;BSBEV;2013-03-24;6.88;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0;8;14;112
10484/40;BSBEV;2013-03-24;6.88;Boston Crab Meat;24 - 4 oz tins;18.4;0;14.7;10;147
10484/51;BSBEV;2013-03-24;6.88;Manjimup Dried Apples;50 - 300 g pkgs.;53;0;42.4;3;127.19999999999999
10485/2;LINOD;2013-03-25;64.45;Chang;24 - 12 oz bottles;19;0.1;15.2;20;304
10485/3;LINOD;2013-03-25;64.45;Aniseed Syrup;12 - 550 ml bottles;10;0.1;8;20;160
10485/55;LINOD;2013-03-25;64.45;Pâté chinois;24 boxes x 2 pies;24;0.1;19.2;30;576
10485/70;LINOD;2013-03-25;64.45;Outback Lager;24 - 355 ml bottles;15;0.1;12;60;720
10486/11;HILAA;2013-03-26;30.53;Queso Cabrales;1 kg pkg.;21;0;16.8;5;84
10486/51;HILAA;2013-03-26;30.53;Manjimup Dried Apples;50 - 300 g pkgs.;53;0;42.4;25;1060
10486/74;HILAA;2013-03-26;30.53;Longlife Tofu;5 kg pkg.;10;0;8;16;128
10487/19;QUEE;2013-03-26;71.07;Teatime Chocolate Biscuits;10 boxes x 12 pieces;9.2;0;7.3;5;36.5
10487/26;QUEE;2013-03-26;71.07;Gumbär Gummibärchen;100 - 250 g bags;31.23;0;24.9;30;747
10487/54;QUEE;2013-03-26;71.07;Tourtière;16 pies;7.45;0.25;5.9;24;141.60000000000002
10488/59;FRANK;2013-03-27;4.93;Raclette Courdavault;5 kg pkg.;55;0;44;30;1320
10488/73;FRANK;2013-03-27;4.93;Röd Kaviar;24 - 150 g jars;15;0.2;12;20;240
10489/11;PICCO;2013-03-28;5.29;Queso Cabrales;1 kg pkg.;21;0.25;16.8;15;252
10489/16;PICCO;2013-03-28;5.29;Pavlova;32 - 500 g boxes;17.45;0;13.9;18;250.20000000000002
10490/59;HILAA;2013-03-31;210.19;Raclette Courdavault;5 kg pkg.;55;0;44;60;2640
10490/68;HILAA;2013-03-31;210.19;Scottish Longbreads;10 boxes x 8 pieces;12.5;0;10;30;300
10490/75;HILAA;2013-03-31;210.19;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;6.2;36;223.20000000000002
10491/44;FURIB;2013-03-31;16.96;Gula Malacca;20 - 2 kg bags;19.45;0.15;15.5;15;232.5
10491/77;FURIB;2013-03-31;16.96;Original Frankfurter grüne Soße;12 boxes;13;0.15;10.4;7;72.8
10492/25;BOTTM;2013-04-01;62.89;NuNuCa Nuß-Nougat-Creme;20 - 450 g glasses;14;0.05;11.2;60;672
10492/42;BOTTM;2013-04-01;62.89;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0.05;11.2;20;224
10493/65;LAMAI;2013-04-02;10.64;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0.1;16.8;15;252
10493/66;LAMAI;2013-04-02;10.64;Louisiana Hot Spiced Okra;24 - 8 oz jars;17;0.1;13.6;10;136
10493/69;LAMAI;2013-04-02;10.64;Gudbrandsdalsost;10 kg pkg.;36;0.1;28.8;10;288
10494/56;COMMI;2013-04-02;65.99;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;30.4;30;912
10495/23;LAUGB;2013-04-03;4.65;Tunnbröd;12 - 250 g pkgs.;9;0;7.2;10;72
10495/41;LAUGB;2013-04-03;4.65;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0;7.7;20;154
10495/77;LAUGB;2013-04-03;4.65;Original Frankfurter grüne Soße;12 boxes;13;0;10.4;5;52
10496/31;TRADH;2013-04-04;46.77;Gorgonzola Telino;12 - 100 g pkgs;12.5;0.05;10;20;200
10497/56;LEHMS;2013-04-04;36.21;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;30.4;14;425.59999999999997
10497/72;LEHMS;2013-04-04;36.21;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;27.8;25;695
10497/77;LEHMS;2013-04-04;36.21;Original Frankfurter grüne Soße;12 boxes;13;0;10.4;25;260
10498/24;HILAA;2013-04-07;29.75;Guaraná Fantástica;12 - 355 ml cans;4.5;0;4.5;14;63
10498/40;HILAA;2013-04-07;29.75;Boston Crab Meat;24 - 4 oz tins;18.4;0;18.4;5;92
10498/42;HILAA;2013-04-07;29.75;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0;14;30;420
10499/28;LILAS;2013-04-08;102.02;Rössle Sauerkraut;25 - 825 g cans;45.6;0;45.6;20;912
10499/49;LILAS;2013-04-08;102.02;Maxilaku;24 - 50 g pkgs.;20;0;20;25;500
10500/15;LAMAI;2013-04-09;42.68;Genen Shouyu;24 - 250 ml bottles;15.5;0.05;15.5;12;186
10500/28;LAMAI;2013-04-09;42.68;Rössle Sauerkraut;25 - 825 g cans;45.6;0.05;45.6;8;364.8
10501/54;BLAUS;2013-04-09;8.85;Tourtière;16 pies;7.45;0;7.45;20;149
10502/45;PERIC;2013-04-10;69.32;Rogede sild;1k pkg.;9.5;0;9.5;21;199.5
10502/53;PERIC;2013-04-10;69.32;Perth Pasties;48 pieces;32.8;0;32.8;6;196.79999999999998
10502/67;PERIC;2013-04-10;69.32;Laughing Lumberjack Lager;24 - 12 oz bottles;14;0;14;30;420
10503/14;HUNGO;2013-04-11;16.74;Tofu;40 - 100 g pkgs.;23.25;0;23.25;70;1627.5
10503/65;HUNGO;2013-04-11;16.74;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0;21.05;20;421
10504/2;WHITC;2013-04-11;59.13;Chang;24 - 12 oz bottles;19;0;19;12;228
10504/21;WHITC;2013-04-11;59.13;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0;10;12;120
10504/53;WHITC;2013-04-11;59.13;Perth Pasties;48 pieces;32.8;0;32.8;10;328
10504/61;WHITC;2013-04-11;59.13;Sirop d'érable;24 - 500 ml bottles;28.5;0;28.5;25;712.5
10505/62;MEREP;2013-04-14;7.13;Tarte au sucre;48 pies;49.3;0;49.3;3;147.89999999999998
10506/25;KOENE;2013-04-15;21.19;NuNuCa Nuß-Nougat-Creme;20 - 450 g glasses;14;0.1;14;18;252
10506/70;KOENE;2013-04-15;21.19;Outback Lager;24 - 355 ml bottles;15;0.1;15;14;210
10507/43;ANTO;2013-04-15;47.45;Ipoh Coffee;16 - 500 g tins;46;0.15;46;15;690
10507/48;ANTO;2013-04-15;47.45;Chocolade;10 pkgs.;12.75;0.15;12.75;15;191.25
10508/13;OTTIK;2013-04-16;4.99;Konbu;2 kg box;6;0;6;10;60
10508/39;OTTIK;2013-04-16;4.99;Chartreuse verte;750 cc per bottle;18;0;18;10;180
10509/28;BLAUS;2013-04-17;0.15;Rössle Sauerkraut;25 - 825 g cans;45.6;0;45.6;3;136.8
10510/29;SAVEA;2013-04-18;367.63;Thüringer Rostbratwurst;50 bags x 30 sausgs.;123.79;0;123.79;36;4456.4400000000005
10510/75;SAVEA;2013-04-18;367.63;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0.1;7.75;36;279
10511/4;BONAP;2013-04-18;350.64;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0.15;22;50;1100
10511/7;BONAP;2013-04-18;350.64;Uncle Bob's Organic Dried Pears;12 - 1 lb pkgs.;30;0.15;30;50;1500
10511/8;BONAP;2013-04-18;350.64;Northwoods Cranberry Sauce;12 - 12 oz jars;40;0.15;40;10;400
10512/24;FAMIA;2013-04-21;3.53;Guaraná Fantástica;12 - 355 ml cans;4.5;0.15;4.5;10;45
10512/46;FAMIA;2013-04-21;3.53;Spegesild;4 - 450 g glasses;12;0.15;12;9;108
10512/47;FAMIA;2013-04-21;3.53;Zaanse koeken;10 - 4 oz boxes;9.5;0.15;9.5;6;57
10512/60;FAMIA;2013-04-21;3.53;Camembert Pierrot;15 - 300 g rounds;34;0.15;34;12;408
10513/21;WANDK;2013-04-22;105.65;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0.2;10;40;400
10513/32;WANDK;2013-04-22;105.65;Mascarpone Fabioli;24 - 200 g pkgs.;32;0.2;32;50;1600
10513/61;WANDK;2013-04-22;105.65;Sirop d'érable;24 - 500 ml bottles;28.5;0.2;28.5;15;427.5
10514/20;ERNSH;2013-04-22;789.95;Sir Rodney's Marmalade;30 gift boxes;81;0;81;39;3159
10514/28;ERNSH;2013-04-22;789.95;Rössle Sauerkraut;25 - 825 g cans;45.6;0;45.6;35;1596
10514/56;ERNSH;2013-04-22;789.95;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;38;70;2660
10514/65;ERNSH;2013-04-22;789.95;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0;21.05;39;820.95
10514/75;ERNSH;2013-04-22;789.95;Rhönbräu Klosterbier;24 - 0.5 l bottles;7.75;0;7.75;50;387.5
10515/9;QUICK;2013-04-23;204.47;Mishi Kobe Niku;18 - 500 g pkgs.;97;0.15;97;16;1552
10515/16;QUICK;2013-04-23;204.47;Pavlova;32 - 500 g boxes;17.45;0;17.45;50;872.5
10515/27;QUICK;2013-04-23;204.47;Schoggi Schokolade;100 - 100 g pieces;43.9;0;43.9;120;5268
10515/33;QUICK;2013-04-23;204.47;Geitost;500 g;2.5;0.15;2.5;16;40
10515/60;QUICK;2013-04-23;204.47;Camembert Pierrot;15 - 300 g rounds;34;0.15;34;84;2856
10516/18;HUNGO;2013-04-24;62.78;Carnarvon Tigers;16 kg pkg.;62.5;0.1;62.5;25;1562.5
10516/41;HUNGO;2013-04-24;62.78;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0.1;9.65;80;772
10516/42;HUNGO;2013-04-24;62.78;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0;14;20;280
10517/52;NORTS;2013-04-24;32.07;Filo Mix;16 - 2 kg boxes;7;0;7;6;42
10517/59;NORTS;2013-04-24;32.07;Raclette Courdavault;5 kg pkg.;55;0;55;4;220
10517/70;NORTS;2013-04-24;32.07;Outback Lager;24 - 355 ml bottles;15;0;15;6;90
10518/24;TORTU;2013-04-25;218.15;Guaraná Fantástica;12 - 355 ml cans;4.5;0;4.5;5;22.5
10518/38;TORTU;2013-04-25;218.15;Côte de Blaye;12 - 75 cl bottles;263.5;0;263.5;15;3952.5
10518/44;TORTU;2013-04-25;218.15;Gula Malacca;20 - 2 kg bags;19.45;0;19.45;9;175.04999999999998
10519/10;CHOPS;2013-04-28;91.76;Ikura;12 - 200 ml jars;31;0.05;31;16;496
10519/56;CHOPS;2013-04-28;91.76;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0;38;40;1520
10519/60;CHOPS;2013-04-28;91.76;Camembert Pierrot;15 - 300 g rounds;34;0.05;34;10;340
10520/24;SANTG;2013-04-29;13.37;Guaraná Fantástica;12 - 355 ml cans;4.5;0;4.5;8;36
10520/53;SANTG;2013-04-29;13.37;Perth Pasties;48 pieces;32.8;0;32.8;5;164
10521/35;CACTU;2013-04-29;17.22;Steeleye Stout;24 - 12 oz bottles;18;0;18;3;54
10521/41;CACTU;2013-04-29;17.22;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0;9.65;10;96.5
10521/68;CACTU;2013-04-29;17.22;Scottish Longbreads;10 boxes x 8 pieces;12.5;0;12.5;6;75
10522/1;LEHMS;2013-04-30;45.33;Chai;10 boxes x 20 bags;18;0.2;18;40;720
10522/8;LEHMS;2013-04-30;45.33;Northwoods Cranberry Sauce;12 - 12 oz jars;40;0;40;24;960
10522/30;LEHMS;2013-04-30;45.33;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0.2;25.89;20;517.8
10522/40;LEHMS;2013-04-30;45.33;Boston Crab Meat;24 - 4 oz tins;18.4;0.2;18.4;25;459.99999999999994
10523/17;SEVES;2013-05-01;77.63;Alice Mutton;20 - 1 kg tins;39;0.1;39;25;975
10523/20;SEVES;2013-05-01;77.63;Sir Rodney's Marmalade;30 gift boxes;81;0.1;81;15;1215
10523/37;SEVES;2013-05-01;77.63;Gravad lax;12 - 500 g pkgs.;26;0.1;26;18;468
10523/41;SEVES;2013-05-01;77.63;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0.1;9.65;6;57.900000000000006
10524/10;BERGS;2013-05-01;244.79;Ikura;12 - 200 ml jars;31;0;31;2;62
10524/30;BERGS;2013-05-01;244.79;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0;25.89;10;258.9
10524/43;BERGS;2013-05-01;244.79;Ipoh Coffee;16 - 500 g tins;46;0;46;60;2760
10524/54;BERGS;2013-05-01;244.79;Tourtière;16 pies;7.45;0;7.45;15;111.75
10525/36;BONAP;2013-05-02;11.06;Inlagd Sill;24 - 250 g  jars;19;0;19;30;570
10525/40;BONAP;2013-05-02;11.06;Boston Crab Meat;24 - 4 oz tins;18.4;0.1;18.4;15;276
10526/1;WARTH;2013-05-05;58.59;Chai;10 boxes x 20 bags;18;0.15;18;8;144
10526/13;WARTH;2013-05-05;58.59;Konbu;2 kg box;6;0;6;10;60
10526/56;WARTH;2013-05-05;58.59;Gnocchi di nonna Alice;24 - 250 g pkgs.;38;0.15;38;30;1140
10527/4;QUICK;2013-05-05;41.9;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0.1;22;50;1100
10527/36;QUICK;2013-05-05;41.9;Inlagd Sill;24 - 250 g  jars;19;0.1;19;30;570
10528/11;GREAL;2013-05-06;3.35;Queso Cabrales;1 kg pkg.;21;0;21;3;63
10528/33;GREAL;2013-05-06;3.35;Geitost;500 g;2.5;0.2;2.5;8;20
10528/72;GREAL;2013-05-06;3.35;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;34.8;9;313.2
10529/55;MAISD;2013-05-07;66.69;Pâté chinois;24 boxes x 2 pies;24;0;24;14;336
10529/68;MAISD;2013-05-07;66.69;Scottish Longbreads;10 boxes x 8 pieces;12.5;0;12.5;20;250
10529/69;MAISD;2013-05-07;66.69;Gudbrandsdalsost;10 kg pkg.;36;0;36;10;360
10530/17;PICCO;2013-05-08;339.22;Alice Mutton;20 - 1 kg tins;39;0;39;40;1560
10530/43;PICCO;2013-05-08;339.22;Ipoh Coffee;16 - 500 g tins;46;0;46;25;1150
10530/61;PICCO;2013-05-08;339.22;Sirop d'érable;24 - 500 ml bottles;28.5;0;28.5;20;570
10530/76;PICCO;2013-05-08;339.22;Lakkalikööri;500 ml;18;0;18;50;900
10531/59;OCEA;2013-05-08;8.12;Raclette Courdavault;5 kg pkg.;55;0;55;2;110
10532/30;EASTC;2013-05-09;74.46;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0;25.89;15;388.35
10532/66;EASTC;2013-05-09;74.46;Louisiana Hot Spiced Okra;24 - 8 oz jars;17;0;17;24;408
10533/4;FOLKO;2013-05-12;188.04;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0.05;22;50;1100
10533/72;FOLKO;2013-05-12;188.04;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;34.8;24;835.1999999999999
10533/73;FOLKO;2013-05-12;188.04;Röd Kaviar;24 - 150 g jars;15;0.05;15;24;360
10534/30;LEHMS;2013-05-12;27.94;Nord-Ost Matjeshering;10 - 200 g glasses;25.89;0;25.89;10;258.9
10534/40;LEHMS;2013-05-12;27.94;Boston Crab Meat;24 - 4 oz tins;18.4;0.2;18.4;10;184
10534/54;LEHMS;2013-05-12;27.94;Tourtière;16 pies;7.45;0.2;7.45;10;74.5
10535/11;ANTO;2013-05-13;15.64;Queso Cabrales;1 kg pkg.;21;0.1;21;50;1050
10535/40;ANTO;2013-05-13;15.64;Boston Crab Meat;24 - 4 oz tins;18.4;0.1;18.4;10;184
10535/57;ANTO;2013-05-13;15.64;Ravioli Angelo;24 - 250 g pkgs.;19.5;0.1;19.5;5;97.5
10535/59;ANTO;2013-05-13;15.64;Raclette Courdavault;5 kg pkg.;55;0.1;55;15;825
10536/12;LEHMS;2013-05-14;58.88;Queso Manchego La Pastora;10 - 500 g pkgs.;38;0.25;38;15;570
10536/31;LEHMS;2013-05-14;58.88;Gorgonzola Telino;12 - 100 g pkgs;12.5;0;12.5;20;250
10536/33;LEHMS;2013-05-14;58.88;Geitost;500 g;2.5;0;2.5;30;75
10536/60;LEHMS;2013-05-14;58.88;Camembert Pierrot;15 - 300 g rounds;34;0.25;34;35;1190
10537/31;RICSU;2013-05-14;78.85;Gorgonzola Telino;12 - 100 g pkgs;12.5;0;12.5;30;375
10537/51;RICSU;2013-05-14;78.85;Manjimup Dried Apples;50 - 300 g pkgs.;53;0;53;6;318
10537/58;RICSU;2013-05-14;78.85;Escargots de Bourgogne;24 pieces;13.25;0;13.25;20;265
10537/72;RICSU;2013-05-14;78.85;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;34.8;21;730.8
10537/73;RICSU;2013-05-14;78.85;Röd Kaviar;24 - 150 g jars;15;0;15;9;135
10538/70;BSBEV;2013-05-15;4.87;Outback Lager;24 - 355 ml bottles;15;0;15;7;105
10538/72;BSBEV;2013-05-15;4.87;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;34.8;1;34.8
10539/13;BSBEV;2013-05-16;12.36;Konbu;2 kg box;6;0;6;8;48
10539/21;BSBEV;2013-05-16;12.36;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0;10;15;150
10539/33;BSBEV;2013-05-16;12.36;Geitost;500 g;2.5;0;2.5;15;37.5
10539/49;BSBEV;2013-05-16;12.36;Maxilaku;24 - 50 g pkgs.;20;0;20;6;120
