# lou-en2kana.csv
# Copyright 2007 Naoki Tomita <tomita@cpan.org>
# License: GPL
#
# This dictionary is based on the following resource. 
# - bep-eng.dic
#   Copyright 1999-2006 Bilingual Emacspeak Project. All rights reserved.
#   Originally created by Jun Ishikawa and GrassRoots users group.
# - General Service List Top 2000 words
# - ALC SVL12000's Level 1,2
# - Brown Corpus 2000 Most Common Words
# - Japanese junior high school English text
# - and, Lou Ohshiba's Blog (http://mycasty.jp/louooshiba/)

ability,アビリティー
sometimes,サムタイム
son,サン
song,ソング
soon,スーン
sorry,ソーリィ
sort,ソート
sound,サウンド
soup,スープ
source,ソース
south,サウス
space,スペース
spaghetti,スパゲティー
spare,スペア
speak,スピーク
speaker,スピーカー
speaking,スピーキング
special,スペシャル
spectacle,スペクタクル
speech,スピーチ
speed,スピード
spell,スペル
spelling,スペリング
spend,スペンド
spider,スパイダー
spirit,スピリット
spiritual,スピリチュアル
spoken,スポークン
sponge,スポンジ
spoon,スプーン
sport,スポート
spot,スポット
spread,スプレッド
spring,スプリング
square,スクエア
stage,ステージ
stair,ステアー
stamp,スタンプ
stand,スタンド
standard,スタンダード
star,スター
start,スタート
state,ステート
station,ステーション
stay,ステイ
steak,ステイク
steal,スティール
steel,スティール
step,ステップ
stereo,ステレオ
stick,スティック
still,スティル
stone,ストーン
stop,ストップ
store,ストアー
storm,ストーム
story,ストーリー
straight,ストレート
strange,ストレインジ
stranger,ストレンジャー
straw,ストロー
stream,ストリーム
street,ストリート
strength,ストレングス
stretch,ストレッチ
strike,ストライク
strip,ストリップ
strong,ストロング
student,スチューデント
study,スタディー
stuff,スタッフ
stupid,スチューピッド
style,スタイル
stylist,スタイリスト
subject,サブジェクト
submit,サブミット
subway,サブウェイ
succeed,サクシード
success,サクセス
such,サッチ
sudden,サドン
suddenly,サドンリー
suffer,サファー
sugar,シュガー
suggest,サジェスト
suit,スート
summer,サマー
summit,サミット
sun,サン
sunday,サンデー
super,スーパー
supper,サパー
support,サポート
sure,シュア
surprise,サプライズ
surprised,サプライズド
swallow,スワロー
swan,スワン
sweat,スウェット
sweet,スイート
swim,スウィム
swing,スウィング
switch,スイッチ
symbol,シンボル
system,システム
table,テーブル
tail,テール
take,テイク
talk,トーク
tall,トール
tape,テープ
task,タスク
taste,テイスト
tax,タックス
taxi,タクシー
tea,ティー
teach,ティーチ
teacher,ティーチャー
team,チーム
tear,ティアー
teen,ティーン
teenage,ティーンエイジ
teenager,ティーンエイジャー
telephone,テレフォン
television,テレヴィジョン
tell,テル
temple,テンプル
ten,テン
tennis,テニス
tent,テント
tenth,テンス
term,ターム
terrible,テリブル
test,テスト
text,テキスト
than,ザン
thank,サンク
thanks,サンクス
that,ザット
the,ザ
theater,シアター
their,ゼア
them,ゼム
themselves,ゼムセルブズ
then,ゼン
there,ゼア
these,ジーズ
they,ゼイ
thick,シック
thief,シーフ
thin,シン
thing,シング
think,シンク
thinking,シンキング
third,サード
thirsty,サースティ
thirteen,サーティーン
thirteenth,サーティーンス
thirtieth,サーティース
thirty,サーティ
this,ディス
those,ゾーズ
though,ゾウ
thought,ソウト
thousand,サウザンド
three,スリー
throat,スロート
through,スルー
throw,スロー
thumb,サム
thursday,サーズデー
ticket,ティケット
tiger,タイガー
tight,タイト
till,ティル
time,タイム
tiny,タイニー
tip,ティップ
tired,タイアード
title,タイトル
to,トゥ
tobacco,タバコ
today,トゥデイ
toe,トウ
together,トゥギャザー
toilet,トイレット
tomato,トマト
tomorrow,トゥモロー
ton,トン
tongue,タング
tonight,トゥナイト
too,トゥー
tool,トール
tooth,トゥース
top,トップ
topic,トピック
total,トータル
touch,タッチ
tour,ツアー
tourist,ツアーリスト
toward,トゥウォード
towel,タオル
tower,タワー
town,タウン
toy,トイ
track,トラック
trade,トレード
traffic,トラフィック
train,トレイン
training,トレーニング
translate,トランスレートゥ
travel,トラベル
tree,ツリー
trick,トリック
trip,トリップ
tropical,トロピカル
trouble,トラブル
truck,トラック
true,トゥルー
trumpet,トランペット
trust,トラスト
truth,トゥルース
try,トライ
tube,チューブ
tuesday,チューズデー
tulip,チューリップ
tunnel,トンネル
turkey,ターキー
turn,ターン
twelfth,トゥェルフス
twelve,トゥェルブ
twentieth,トゥェンティース
twenty,トゥェンティ
twice,トゥワイス
twin,トゥイン
two,トゥー
type,タイプ
umbrella,アンブレラ
unable,アネイブル
uncle,アンクル
under,アンダー
understand,アンダースタンド
understanding,アンダースタンディング
uniform,ユニフォーム
united,ユナイティド
universal,ユニバーサル
university,ユニヴァーシティー
until,アンティル
up,アップ
upon,アポン
upper,アッパー
us,アス
use,ユーズ
used,ユーズト
usual,ユージュアル
usually,ユージュアリー
vacation,バケーション
valley,バレー
valuable,バリュアブル
value,バリュー
variation,バリエーション
vegetable,ベジタブル
very,ベリィ
victory,ヴィクトリー
video,ビデオ
view,ビュー
village,ヴィレッジ
violent,ヴァイオレント
violet,ヴァイオレット
violin,ヴァイオリン
visit,ヴィジット
visitor,ヴィジター
vocabulary,ボキャブラリー
voice,ボイス
volleyball,バレーボール
volunteer,ボランティア
vote,ボート
wait,ウェイト
waiter,ウェイター
waitress,ウェイトレス
wake,ウェイク
walk,ウォーク
walker,ウォーカー
wall,ウォール
want,ウォント
war,ウォー
warm,ウォーム
warn,ウォーン
warning,ウォーニング
was,ワズ
wash,ウォッシュ
waste,ウェィスト
watch,ウォッチ
water,ウォーター
wave,ウェーブ
way,ウェイ
we,ウィー
weak,ウィーク
wealth,ウェルス
wear,ウェアー
weather,ウェザー
wedding,ウェディング
wednesday,ウェンズデー
week,ウィーク
weigh,ウェイ
weight,ウェイト
welcome,ウェルカム
well,ウェル
were,ワー
west,ウェスト
western,ウェスタン
wet,ウェット
what,ホワット
wheel,ホイール
when,ホェン
where,ホエア
whether,ホエザー
which,フィッチ
while,ホワイル
whiskey,ウィスキー
white,ホワイト
who,フー
whole,ホール
whom,フーム
whose,フーズ
why,ホワイ
wide,ワイド
wife,ワイフ
wild,ワイルド
will,ウィル
willing,ウィリング
win,ウィン
wind,ウィンド
window,ウィンドウ
wine,ワイン
wing,ウィング
wink,ウィンク
winter,ウィンター
wipe,ワイプ
wire,ワイヤー
wise,ワイズ
wish,ウィッシュ
with,ウィズ
without,ウィズアウト
wolf,ウルフ
woman,ウーマン
wonder,ワンダー
wonderful,ワンダフル
wood,ウッド
wooden,ウッドン
wool,ウール
word,ワード
work,ワーク
worker,ワーカー
world,ワールド
worried,ウォリード
worry,ウォーリィ
worse,ワース
worst,ワースト
worth,ワース
would,ウドゥ
wow,ワォ
write,ライト
writer,ライター
writing,ライティング
wrong,ロング
yard,ヤード
yeah,イェー
year,イヤー
yellow,イエロー
yes,Yes
yesterday,イエスタディ
yet,イェット
you,ユー
young,ヤング
your,ユア
yours,ユアーズ
yourself,ユアセルフ
yourselves,ユアセルブズ
youth,ユース
zoo,ズー
