Siebel Enterprise Applications Siebel Server Manager, Version 8.1.1.7 [21238] LANG_INDEPENDENT 
Copyright (c) 1990-2008, Oracle. All rights reserved.

The Programs (which include both the software and documentation) contain
proprietary information; they are provided under a license agreement containing
restrictions on use and disclosure and are also protected by copyright, patent,
and other intellectual and industrial property laws. Reverse engineering,
disassembly, or decompilation of the Programs, except to the extent required to
obtain interoperability with other independently created software or as specified
by law, is prohibited.

Oracle, JD Edwards, PeopleSoft, and Siebel are registered trademarks of
Oracle Corporation and/or its affiliates. Other names may be trademarks
of their respective owners.

If you have received this software in error, please notify Oracle Corporation
immediately at 1.800.ORACLE1.

Type "help" for list of commands, "help <topic>" for detailed help

Connected to 3 server(s) out of a total of 3 server(s) in the enterprise

srvrmgr> load preferences
File: /foo_22/siebel/81/siebsrvr/bin/.Siebel_svrmgr.pref

srvrmgr> list comp types

CT_NAME                                                                       CT_RUNMODE                       CT_ALIAS                                                       CT_DESC_TEXT                                                                                                                                                                                                                                                 
PricerPriceListCacheSize               20                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price List Cache Size                                                   
PricerPriceModelCacheSize              50                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price Model Cache Size                                                  
PricerVolDisCacheSize                  50                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price Volume discount Cache Size                                        
ProcessMode                            Remote                                                                                   String       Subsystem  Communications Outbound Manager                Default value     Valor predeterminado             N                 N                 N                  N                 Process Mode                                                            
ProductDetailView                      NONE                                                                                     String       Subsystem  Infrastructure Shopping Service Subsystem      Default value     Valor predeterminado             Y                 N                 N                  N                 ProductDetailView                                                       
ProposalReportTimeoutInSecond          1800                                                                                     Integer      Subsystem  eDoc Sub System                                Default value     Valor predeterminado             N                 N                 N                  N                 ProposalReportTimeoutInSecond                                           
RTSSleepTime                           30                                                                                       Integer      Subsystem  RTS Sub System                                 Default value     Valor predeterminado             Y                 N                 N                  N                 RTS Sleep Time                                                          
RecipSearchSpec                                                                                                                 String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Recipient Search Spec                                                   
RecipientBusComp                                                                                                                String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Recipient Business Component                                            
RecipientGroup                                                                                                                  String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Recipient Group                                                         
RegularAsgn                            True                                                                                     Boolean      Subsystem  Assignment Subsystem                           Default value     Valor predeterminado             Y                 N                 N                  N                 Regular Assignment                                                      
Repository                             Siebel Repository                                                                        String       Subsystem  Database Access                                Default value     Valor predeterminado             Y                 N                 N                  N                 Siebel Repository                                                       
RequestBodyTemplate                                                                                                             String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Body Template                                                   
RequestDefaultMedium                                                                                                            String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Default Medium                                                  
RequestLanguageCode                                                                                                             String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Language Code                                                           
RequestLocaleCode                                                                                                               String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Locale Code                                                             
RequestName                                                                                                                     String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Name                                                            
RequestSendFlag                        N                                                                                        String       Subsystem  Communications Outbound Manager                Default value     Valor predeterminado             N                 N                 N                  N                 Request Send Flag                                                       
RequestSubjectTemplate                                                                                                          String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Subject Template                                                
RequestTimeZone                                                                                                                 String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Time Zone                                                       
ResourceLanguage                                                                                                                String       Subsystem  Object Manager                                 Never set         No se estableció                 Y                 N                 N                  N                 OM - Resource Language Code                                             
RestrictPrimaryJoin                    False                                                                                    Boolean      Subsystem  Datasources Subsystem                          Default value     Valor predeterminado             Y                 N                 N                  N                 Restrict Primary Join                                                   
RetryInterval                          5                                                                                        Integer      Subsystem  Recovery                                       Default value     Valor predeterminado             Y                 N                 N                  N                 Retry Interval                                                          
RetryUpTime                            600                                                                                      Integer      Subsystem  Recovery                                       Default value     Valor predeterminado             Y                 N                 N                  N                 Retry Up Time                                                           
RootDir                                D:\foo_22\siebel\81\siebsrvr                                                             String       Server                                                    Server level      Nivel de servidor establecido    N                 N                 Y                  N                 Siebel Root Directory                                                   
RptMode                                None                                                                                     String       Subsystem  Assignment Subsystem                           Default value     Valor predeterminado             Y                 N                 N                  N                 Reporting Mode                                                          
RtdApplicationName                                                                                                              String       Subsystem  Marketing Server Subsystem                     Never set         No se estableció                 Y                 N                 N                  N                 RTD Application Name                                                    
RtdSessionCookieName                   JSESSIONID                                                                               String       Subsystem  Marketing Server Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 RTD Session Cookie Name                                                 
RtdSoapURL                             http://CHANGE_ME/rtis/sdwp                                                               String       Subsystem  Marketing Server Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 RTD SOAP URL                                                            
RtdWebServiceTimeout                   3000                                                                                     Integer      Subsystem  Marketing Server Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 RTD WebService Timeout                                                  
SAPReceiverPrtnrNum                    DFLT_PRTNR                                                                               String       Subsystem  SAP                                            Default value     Valor predeterminado             Y                 N                 N                  N                 SAP Receiver Partner Number                                             
SAPRfcConnectString                                                                                                             String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC Connect String                                                  
SAPRfcDestEntry                                                                                                                 String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC Destination Entry                                               
SAPRfcPassword                         ********                                                                                 String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC Password                                                        
SAPRfcUserName                                                                                                                  String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC User Name                                                       
SAPSenderPrtnrNum                                                                                                               String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP Sender Partner Number                                               
SARMLevel                              0                                                                                        Integer      Subsystem  (SARM) Response Measurement                    Default value     Valor predeterminado             N                 N                 N                  N                 SARM Granularity Level                                                  
SMTPServer                                                                                                                      String       Subsystem  SMTP subsystem                                 Never set         No se estableció                 Y                 N                 N                  N                 SMTP Server Name                                                        
SMTPServerPort                         25                                                                                       Integer      Subsystem  SMTP subsystem                                 Default value     Valor predeterminado             Y                 N                 N                  N                 SMTP Server Port                                                        
SRB ReqId                              0                                                                                        String       Subsystem  Infrastructure Core                            Default value     Valor predeterminado             Y                 N                 N                  N                 SRB RequestId                                                           
SearchInstallDir                                                                                                                String       Subsystem  Object Manager                                 Never set         No se estableció                 Y                 N                 N                  N                 Search - Install Directory                                              
SearchRemoteServer                     FALSE                                                                                    String       Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Search - Remote Server                                                  
SearchRemoteServerPath                                                                                                          String       Subsystem  Object Manager                                 Never set         No se estableció                 Y                 N                 N                  N                 Search - Remote Server Path                                             
SecAdptMode                            DB                                                                                       String       Subsystem  Security Manager                               Enterprise level  Nivel de Enterprise establecido  N                 Y                 N                  Y                 Security Adapter Mode                                                   
SecAdptName                            DBSecAdpt                                                                                String       Subsystem  Security Manager                               Enterprise level  Nivel de Enterprise establecido  N                 Y                 N                  Y                 Security Adapter Name                                                   
Server                                                                                                                          String       Server                                                    Never set         No se estableció                 Y                 N                 N                  N                 Siebel Server Name                                                      
SmqAlwaysAuthenticate                  False                                                                                    Boolean      Subsystem  SMQ Transport Subsystem                        Default value     Valor predeterminado             Y                 N                 N                  N                 SMQ Always Authenticate                                                 
SmqCompression                         GZIP                                                                                     String       Subsystem  SMQ Transport Subsystem                        Default value     Valor predeterminado             Y                 N                 N                  N                 SMQ Compression Algorithm                                               
SmqEncryption                          RC4                                                                                      String       Subsystem  SMQ Transport Subsystem                        Default value     Valor predeterminado             Y                 N                 N                  N                 SMQ Encryption Algorithm                                                
SourceBusObj                                                                                                                    String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Source Business Object                                                  
SourceIdList                                                                                                                    String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Source Id List                                                          
StageAllocationThreshold               0                                                                                        Integer      Subsystem  Marketing Server Subsystem                     Never set         No se estableció                 Y                 N                 N                  N                 Stage Allocation Threshold                                              
TableOwnPass                           ********                                                                                 String       Subsystem  Database Access                                Never set         No se estableció                 Y                 N                 N                  N                 Table Owner Password                                                    
TableOwner                             SIEBEL                                                                                   String       Subsystem  Database Access                                Enterprise level  Nivel de Enterprise establecido  Y                 N                 N                  N                 Table Owner                                                             
TaskRecipMin                                                                                                                    String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Task Recipient Minimum                                                  
TaskStartDate                                                                                                                   String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Task Start Date                                                         
TblSpace                                                                                                                        String       Subsystem  Database Access                                Never set         No se estableció                 Y                 N                 N                  N                 Tablespace Name                                                         
TestAddress                                                                                                                     String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Test Address                                                            
TestExecutableSearchPath                                                                                                        String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Exectuable Search Path                                             
TestExecuteMethodName                                                                                                           String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Execute Method Name                                                
TestExecuteServiceName                                                                                                          String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Execute Service Name                                               
TestInputDataSearchPath                                                                                                         String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Input Data Search Path                                             
TestResultsSearchPath                                                                                                           String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Results Search Path                                                
TestScriptSearchPath                                                                                                            String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Script Search Path                                                 
TestSuiteFileName                                                                                                               String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Suite File Name                                                    
TestSuiteTestName                                                                                                               String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Suite Test Name                                                    
TestSuiteWriteResults                  True                                                                                     Boolean      Subsystem  Testing Subsystem                              Default value     Valor predeterminado             Y                 N                 N                  N                 Test Suite Write Results                                                
UCMBatchObjectType                     Contact                                                                                  String       Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Batch Object Type                                                   
UCMBatchSize                           10                                                                                       Integer      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Batch Size                                                          
UCMCDMCleanseFlag                      False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Data Management Cleanse Flag                                        
UCMCDMExactMatchFlag                   False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Data Management Exact Match Flag                                    
UCMCDMMatchFlag                        False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Data Management Match Flag                                          
UCMPubSubFlag                          False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Publish/Subscribe Flag                                              
UCMSearchSpec                                                                                                                   String       Subsystem  Universal Customer Master Subsystem            Never set         No se estableció                 N                 N                 N                  N                 UCM Search Specification                                                
UCMSleepTime                           60                                                                                       Integer      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Sleep Time                                                          
UCMSortSpec                                                                                                                     String       Subsystem  Universal Customer Master Subsystem            Never set         No se estableció                 N                 N                 N                  N                 UCM Sort Specification                                                  
UCMSurvivorshipEngineFlag              False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Survivorship Engine Flag                                            
UpdateInterval                         1440                                                                                     Integer      Subsystem  Categorization Manager                         Default value     Valor predeterminado             N                 N                 N                  N                 KB Update Interval                                                      
UpgComponent                           Siebel HQ Server                                                                         String       Server                                                    Default value     Valor predeterminado             Y                 N                 N                  N                 Upgrade Component                                                       
UseKeyVal                              None                                                                                     String       Subsystem  Assignment Subsystem                           Default value     Valor predeterminado             Y                 N                 N                  N                 Use Key Value                                                           
Username                               SADMIN                                                                                   String       Subsystem  Database Access                                Enterprise level  Nivel de Enterprise establecido  Y                 N                 N                  N                 User Name                                                               
Vertical                               sia                                                                                      String       Subsystem  Vertical                                       Enterprise level  Nivel de Enterprise establecido  Y                 N                 N                  N                 OM - Vertical                                                           
VirtualHostsFile                                                                                                                String       Subsystem  Client Uses Session Manager                    Never set         No se estableció                 N                 N                 Y                  N                 Session manager load balancing configuration file                       
WaveBatchSize                          10000                                                                                    Integer      Subsystem  Marketing Server Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 Wave Batch Size                                                         
WebCollabEnable                        False                                                                                    Boolean      Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Enable                                                       
WebCollabEnableSimulation              False                                                                                    Boolean      Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Enable Simulation                                            
WebCollabLangCodeMap                   PIXION_LANGCODE_MAP                                                                      String       Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Language Code Map                                            
WebCollabLogFile                       WebCollab.log                                                                            String       Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Log File                                                     
WebCollabLogLevel                      0                                                                                        Integer      Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Log Level                                                    
WebCollabServer                        CHANGE_ME                                                                                String       Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Server                                                       
WebCollabType                          Siebel eCollaboration                                                                    String       Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Package                                                      
WebCollabUseSiebelSessionId            True                                                                                     Boolean      Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Using Siebel Session Id                                      
WebCollabUseSiebelUQ                   True                                                                                     Boolean      Subsystem  Web Collaboration Subsystem                    Default value     Valor predeterminado             Y                 N                 N                  N                 Web Collab Using Siebel UQ                                              
WebServer                                                                                                                       String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Web Server                                                              
XMLPReportDataDir                      /xmlp/data/                                                                              String       Subsystem  Infrastructure XMLP Reports Subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 XMLP Report Data.cfg Dir                                                
XMLPReportOutputDir                    /xmlp/reports/                                                                           String       Subsystem  Infrastructure XMLP Reports Subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 XMLP Report Output.cfg Dir                                              
XMLPReportWaitTime                     10                                                                                       Integer      Subsystem  Infrastructure XMLP Reports Subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 XMLP Report Wait Time Limit                                             
XMLPReportXdoDir                       /xmlp/templates/                                                                         String       Subsystem  Infrastructure XMLP Reports Subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 XMLP Report xdo.cfg Dir                                                 
eProdCfgKeepAliveTime                  900                                                                                      Integer      Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Product Configurator - Keep Alive Time of Idle Session                  
eProdCfgMaxNumbOfWorkerReuses          10                                                                                       Integer      Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Product Configurator - Number of Reuse for each Worker                  
eProdCfgNumbOfCachedFactories          10                                                                                       Integer      Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Product Configurator - Number of Factories Cached in Memory             
eProdCfgRemote                         False                                                                                    Boolean      Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Product Configurator - Use Remote Service                               
eProdCfgServer                                                                                                                  String       Subsystem  Object Manager                                 Never set         No se estableció                 Y                 N                 N                  N                 Product Configurator - Remote Server Name                               
eProdCfgWorkerMemReleaseFlg            False                                                                                    Boolean      Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Product Configurator - Release Worker Memory at the end of session      
ActivityId                                                                                                                      String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Activity Id                                                             
ActuateReportCastDomain                                                                                                         String       Subsystem  Infrastructure Actuate Reports Subsystem       Never set         No se estableció                 Y                 N                 N                  N                 Actuate Report Cast Domain                                              
ActuateReportCastLang                  LANG_INDEPENDENT                                                                         String       Subsystem  Infrastructure Actuate Reports Subsystem       Server level      Nivel de servidor establecido    Y                 N                 N                  N                 Actuate Server Report Cast Language                                     
AddressList                                                                                                                     String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Address List                                                            
AnonymousQuote                         FALSE                                                                                    String       Subsystem  Infrastructure Shopping Service Subsystem      Default value     Valor predeterminado             Y                 N                 N                  N                 AnonymousQuote                                                          
AppendOrigMsg                                                                                                                   String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Append Original Message                                                 
AssetBasedOrderingEnabled              False                                                                                    Boolean      Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Order Management - Enable Asset Based Ordering                          
AttachFileList                                                                                                                  String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Attachment File List                                                    
AttachNameList                                                                                                                  String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Attachment Name List                                                    
BizRuleUseLIC                          False                                                                                    Boolean      Subsystem  Rules Engine                                   Default value     Valor predeterminado             Y                 N                 N                  N                 Use LIC for Business Rules                                              
